Station,Date,Time,Lat,Long,Lat2,Long2,Lat3,Long3,Depth,Comment
01P,17.07.2018,10:20:00,21° 53.267' N,159° 31.572' W,21° 53.267',-159° 31.572',21.887783,-159.526200,2.1 m,8-12 knt NE wind
02P,17.07.2018,10:40:00,21° 53.259' N,159° 31.615' W,21° 53.259',-159° 31.615',21.887650,-159.526917,5.2 m,
03P,17.07.2018,11:00:00,21° 53.220' N,159° 31.630' W,21° 53.220',-159° 31.630',21.887000,-159.527167,6.7 m,
04P,17.07.2018,11:15:00,21° 53.223' N,159° 31.670' W,21° 53.223',-159° 31.670',21.887050,-159.527833,1.7 m,
05P,17.07.2018,11:20:00,21° 53.158' N,159° 31.649' W,21° 53.158',-159° 31.649',21.885967,-159.527483,6.9 m,
06P,17.07.2018,11:30:00,21° 53.151' N,159° 31.629' W,21° 53.151',-159° 31.629',21.885850,-159.527150,5.2 m,
07P,17.07.2018,11:45:00,21° 53.124' N,159° 31.669' W,21° 53.124',-159° 31.669',21.885400,-159.527817,6.0 m,
08P,17.07.2018,12:00:00,21° 53.120' N,159° 31.693' W,21° 53.120',-159° 31.693',21.885333,-159.528217,3.1 m,
09P,17.07.2018,12:10:00,21° 53.110' N,159° 31.643' W,21° 53.110',-159° 31.643',21.885167,-159.527383,2.1 m,
10P,17.07.2018,12:20:00,21° 53.101' N,159° 31.694' W,21° 53.101',-159° 31.694',21.885017,-159.528233,1.7 m,
11P,17.07.2018,14:10:00,21° 53.182' N,159° 31.647' W,21° 53.182',-159° 31.647',21.886367,-159.527450,7.0 m,14 knt NE wind
12P,17.07.2018,14:25:00,21° 53.201' N,159° 31.642' W,21° 53.201',-159° 31.642',21.886683,-159.527367,6.8 m,9 knt NE wind
13P,17.07.2018,14:45:00,21° 53.189' N,159° 31.656' W,21° 53.189',-159° 31.656',21.886483,-159.527600,6.4 m,
14P,17.07.2018,15:00:00,21° 53.165' N,159° 31.640' W,21° 53.165',-159° 31.640',21.886083,-159.527333,6.8 m,
15P,17.07.2018,15:10:00,21° 53.183' N,159° 31.610' W,21° 53.183',-159° 31.610',21.886383,-159.526833,5.5 m,lower salinity at bottom
16P,17.07.2018,15:20:00,21° 53.209' N,159° 31.592' W,21° 53.209',-159° 31.592',21.886817,-159.526533,4.4 m,
17P,17.07.2018,15:30:00,21° 53.164' N,159° 31.619' W,21° 53.164',-159° 31.619',21.886067,-159.526983,5.3 m,
18P,17.07.2018,15:40:00,21° 53.180' N,159° 31.601' W,21° 53.180',-159° 31.601',21.886333,-159.526683,3.2 m,
19P,17.07.2018,15:50:00,21° 53.185' N,159° 31.617' W,21° 53.185',-159° 31.617',21.886417,-159.526950,5.9 m,7 knt NE wind
20P,17.07.2018,16:30:00,21° 53.159' N,159° 31.682' W,21° 53.159',-159° 31.682',21.885983,-159.528033,5.1 m,
21.1P,18.07.2018,09:30:00,21° 53.167' N,159° 31.635' W,21° 53.167',-159° 31.635',21.886117,-159.527250,6.3 m,
22.1P,18.07.2018,14:15:00,21° 53.187' N,159° 31.641' W,21° 53.187',-159° 31.641',21.886450,-159.527350,7.0 m,"start of time series at station 22, 1st sample profile"
22.2P,18.07.2018,17:45:00,21° 53.187' N,159° 31.641' W,21° 53.187',-159° 31.641',21.886450,-159.527350,7.0 m,
22.3P,18.07.2018,21:50:00,21° 53.187' N,159° 31.641' W,21° 53.187',-159° 31.641',21.886450,-159.527350,7.0 m,"lower surface O2, shallower oxycline"
22.4P,19.07.2018,01:30:00,21° 53.187' N,159° 31.641' W,21° 53.187',-159° 31.641',21.886450,-159.527350,7.0 m,
22.5P,19.07.2018,05:50:00,21° 53.187' N,159° 31.641' W,21° 53.187',-159° 31.641',21.886450,-159.527350,7.0 m,2nd sample profile (night)
22.6P,19.07.2018,10:15:00,21° 53.187' N,159° 31.641' W,21° 53.187',-159° 31.641',21.886450,-159.527350,7.0 m,light profile additionally
23P,19.07.2018,10:50:00,21° 53.141' N,159° 31.662' W,21° 53.141',-159° 31.662',21.885683,-159.527700,,only light profile
24P,19.07.2018,10:55:00,21° 53.179' N,159° 31.601' W,21° 53.179',-159° 31.601',21.886317,-159.526683,,only light profile
22.7P,19.07.2018,13:45:00,21° 53.187' N,159° 31.641' W,21° 53.187',-159° 31.641',21.886450,-159.527350,7.0 m,
