"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW"
"1",2018-07-17 15:42:55,0,103.748,2018-07-18 01:42:55,27.1,260.921,105.099,829,26.097,0.04,0.025,1413,"49","53",0
"2",2018-07-17 15:43:02,0.141460549999999,105.169,2018-07-18 01:43:02,27.291,278.853,112.708,829,26.245,62.27,40.802,1413,"277","685",1.42099999999999
"3",2018-07-17 15:43:09,0.1505196,105.26,2018-07-18 01:43:09,27.627,287.12,116.746,829,26.729,62.275,40.377,1413,"302","676",1.512
"4",2018-07-17 15:43:15,0.322541999999999,106.988,2018-07-18 01:43:15,27.959,294.533,120.469,829,27.175,62.396,40.078,1413,"315","674",3.23999999999999
"5",2018-07-17 15:43:22,0.7022257,110.802,2018-07-18 01:43:22,28.236,298.351,122.632,829,27.58,62.397,39.731,1413,"348","694",7.054
"6",2018-07-17 15:43:29,0.6488669,110.266,2018-07-18 01:43:29,28.435,304.159,125.458,829,27.898,62.419,39.477,1413,"330","681",6.518
"7",2018-07-17 15:43:36,0.73856145,111.167,2018-07-18 01:43:36,28.562,308.112,127.373,829,28.149,62.402,39.255,1413,"333","690",7.419
"8",2018-07-17 15:43:43,0.744036699999999,111.222,2018-07-18 01:43:43,28.626,309.279,127.998,829,28.339,62.393,39.09,1413,"349","682",7.47399999999999
"9",2018-07-17 15:43:50,0.739656499999999,111.178,2018-07-18 01:43:50,28.676,309.693,128.282,829,28.405,62.402,39.042,1413,"350","686",7.42999999999999
"10",2018-07-17 15:43:56,1.0207857,114.002,2018-07-18 01:43:56,28.717,311.684,129.201,829,28.496,62.411,38.973,1413,"369","684",10.254
"11",2018-07-17 15:44:03,1.08101345,114.607,2018-07-18 01:44:03,28.745,313.448,129.997,829,28.56,62.401,38.913,1413,"390","685",10.859
"12",2018-07-17 15:44:10,1.08061525,114.603,2018-07-18 01:44:10,28.766,313.907,130.234,829,28.593,62.397,38.884,1413,"398","686",10.855
