"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW"
"1",2018-07-18 09:36:24,0.0329510500000003,104.678,"2018-07-18T19:36:24.222798","28.687","251.82","104.332","829","28.733","0.013","0.016","1413","1903","4130",0.331000000000003
"2",2018-07-18 09:36:31,0.03852585,104.734,"2018-07-18T19:36:31.036492","28.68","251.909","104.355","829","28.718","0.013","0.016","1413","1903","4130",0.387
"3",2018-07-18 09:36:37,0.0400191000000001,104.749,"2018-07-18T19:36:37.850846","28.674","252.044","104.4","829","28.715","0.013","0.016","1413","1904","4130",0.402000000000001
"4",2018-07-18 09:36:44,0.0428065000000007,104.777,"2018-07-18T19:36:44.664341","28.669","251.867","104.317","829","28.716","0.013","0.016","1413","1903","4130",0.430000000000007
"5",2018-07-18 09:36:51,0.0418110000000002,104.767,"2018-07-18T19:36:51.479297","28.664","251.882","104.314","829","28.716","0.014","0.016","1413","1904","4130",0.420000000000002
"6",2018-07-18 09:36:58,0.0377294500000005,104.726,"2018-07-18T19:36:58.290144","28.659","252.137","104.41","829","28.711","0.013","0.016","1413","1902","4130",0.379000000000005
"7",2018-07-18 09:37:05,0.0328515000000012,104.677,"2018-07-18T19:37:05.160669","28.653","251.835","104.274","829","28.701","0.014","0.016","1413","822","2415",0.330000000000013
"8",2018-07-18 09:37:11,0.0444988500000003,104.794,"2018-07-18T19:37:11.979149","28.634","253.686","105.006","829","28.71","0.013","0.016","1413","49","521",0.447000000000003
"9",2018-07-18 09:37:18,0.181181000000001,106.167,"2018-07-18T19:37:18.791140","28.559","256.263","105.933","829","28.711","61.163","37.919","1413","50","164",1.82000000000001
"10",2018-07-18 09:37:25,0.2213992,106.571,"2018-07-18T19:37:25.606215","28.41","256.308","105.673","829","28.634","61.162","37.98","1413","361","717",2.224
"11",2018-07-18 09:37:32,0.2056703,106.413,"2018-07-18T19:37:32.418862","28.298","256.427","105.514","829","28.525","61.108","38.029","1413","346","766",2.066
"12",2018-07-18 09:37:39,0.30551895,107.416,"2018-07-18T19:37:39.230837","28.183","256.999","105.535","829","28.4","61.074","38.106","1413","312","713",3.069
"13",2018-07-18 09:37:46,0.30989915,107.46,"2018-07-18T19:37:46.043772","28.108","257.934","105.779","829","28.33","61.103","38.183","1413","321","690",3.113
"14",2018-07-18 09:37:52,0.327021750000001,107.632,"2018-07-18T19:37:52.858928","28.052","258.185","105.777","829","28.208","61.107","38.285","1413","318","689",3.28500000000001
