"";"ts";"depth";"p";"dt";"Toptode";"O2Concentration";"AirSaturation";"SNoptode";"Tec";"Conductivity";"Salinity";"SNec";"Chlorophyll";"Turbidity";"pW";"station"
"1";"2018-07-17 10:25:50";0.0125432999999991;104.303;2018-07-17 20:25:50;"31.63";"237.731";"103.618";"829";"31.59";"61.805";"36.154";"1413";"80";"334";0.125999999999991;1
"2";"2018-07-17 10:25:57";0.00965634999999942;104.274;2018-07-17 20:25:57;"30.935";"241.306";"103.942";"829";"31.197";"61.115";"35.985";"1413";"108";"331";0.0969999999999942;1
"3";"2018-07-17 10:26:04";0.157687199999999;105.761;2018-07-17 20:26:04;"30.205";"246.422";"104.825";"829";"30.632";"61.281";"36.514";"1413";"316";"865";1.58399999999999;1
"4";"2018-07-17 10:26:11";0.16137055;105.798;2018-07-17 20:26:11;"29.586";"252.167";"106.127";"829";"30.076";"61.261";"36.921";"1413";"372";"899";1.621;1
"5";"2018-07-17 10:26:18";0.152411049999999;105.708;2018-07-17 20:26:18;"29.14";"254.796";"106.404";"829";"29.627";"61.207";"37.229";"1413";"437";"916";1.53099999999999;1
"6";"2018-07-17 10:26:24";0.175506649999999;105.94;2018-07-17 20:26:24;"28.808";"258.188";"107.196";"829";"29.278";"61.235";"37.52";"1413";"456";"902";1.76299999999999;1
"7";"2018-07-17 10:26:31";0.272468349999999;106.914;2018-07-17 20:26:31;"28.604";"259.977";"107.553";"829";"29.028";"61.245";"37.724";"1413";"419";"904";2.73699999999999;1
"8";"2018-07-17 10:26:38";0.539063249999999;109.592;2018-07-17 20:26:38;"28.472";"261.358";"107.874";"829";"28.85";"61.262";"37.878";"1413";"401";"888";5.41499999999999;1
"9";"2018-07-17 10:26:45";0.551706099999999;109.719;2018-07-17 20:26:45;"28.378";"262.32";"108.093";"829";"28.7";"61.27";"38.003";"1413";"399";"891";5.54199999999999;1
"10";"2018-07-17 10:26:52";0.5859513;110.063;2018-07-17 20:26:52;"28.31";"262.857";"108.183";"829";"28.603";"61.263";"38.076";"1413";"424";"906";5.886;1
"11";"2018-07-17 10:26:59";0.59819595;110.186;2018-07-17 20:26:59;"28.266";"263.285";"108.274";"829";"28.522";"61.254";"38.135";"1413";"423";"891";6.009;1
"12";"2018-07-17 10:27:06";0.587245449999999;110.076;2018-07-17 20:27:06;"28.226";"263.091";"108.12";"829";"28.461";"61.244";"38.177";"1413";"408";"897";5.89899999999999;1
"13";"2018-07-17 10:27:12";0.677139099999999;110.979;2018-07-17 20:27:12;"28.189";"262.949";"107.991";"829";"28.408";"61.205";"38.191";"1413";"442";"902";6.80199999999999;1
"14";"2018-07-17 10:27:19";1.2033604;116.265;2018-07-17 20:27:19;"28.147";"262.792";"107.845";"829";"28.344";"61.206";"38.244";"1413";"471";"912";12.088;1
"15";"2018-07-17 10:27:26";1.28150715;117.05;2018-07-17 20:27:26;"28.121";"262.623";"107.727";"829";"28.341";"61.187";"38.233";"1413";"492";"910";12.873;1
"16";"2018-07-17 10:27:33";1.2712535;116.947;2018-07-17 20:27:33;"28.097";"262.246";"107.526";"829";"28.249";"61.066";"38.223";"1413";"515";"919";12.77;1
"17";"2018-07-17 10:27:40";1.2539318;116.773;2018-07-17 20:27:40;"28.069";"261.604";"107.209";"829";"28.219";"61.031";"38.221";"1413";"622";"916";12.596;1
"18";"2018-07-17 10:27:47";1.25283675;116.762;2018-07-17 20:27:47;"28.045";"260.304";"106.632";"829";"28.19";"61.047";"38.257";"1413";"563";"898";12.585;1
"19";"2018-07-17 10:27:53";1.2529363;116.763;2018-07-17 20:27:53;"28.017";"259.624";"106.3";"829";"28.147";"61.038";"38.285";"1413";"618";"885";12.586;1
"20";"2018-07-17 10:28:00";1.218492;116.417;2018-07-17 20:28:00;"27.988";"257.855";"105.521";"829";"28.116";"61.071";"38.334";"1413";"649";"885";12.24;1
"21";"2018-07-17 10:28:07";1.29066575;117.142;2018-07-17 20:28:07;"27.973";"258.934";"105.936";"829";"28.106";"61.061";"38.335";"1413";"606";"888";12.965;1
"22";"2018-07-17 10:28:14";1.63690065;120.62;2018-07-17 20:28:14;"27.965";"259.604";"106.195";"829";"28.075";"61.066";"38.364";"1413";"624";"880";16.443;1
