,ts,depth,p,dt,Toptode,O2Concentration,AirSaturation,SNoptode,Tec,Conductivity,Salinity,SNec,Chlorophyll,Turbidity,pW,station,SA,rho,Z,O2Comp,lat,lon,Year,Month,Day,Hour,Minute,Second
1,18.07.2018 14:14,0.0151316,104.499,19.07.2018 00:14,30.9,261.2,112.442,829,31.481,62.096,36.427,1413,251,603,0.152,22,36.59899333,1022.279677,0.015156707,214.1498525,21.88645,-159.52735,2018,7,18,14,14,0
2,18.07.2018 14:14,0.02040775,104.552,19.07.2018 00:14,31.713,247.387,107.978,829,32.246,62.072,35.854,1413,238,607,0.205,22,36.02328786,1021.578658,0.020443425,203.6824345,21.88645,-159.52735,2018,7,18,14,14,0
3,18.07.2018 14:19,0.17232105,106.078,19.07.2018 00:19,26.823,107.054,42.907,829,26.612,62.072,40.33,1413,275,539,1.731,22,40.52042145,1026.863979,0.172321333,85.37641746,21.88645,-159.52735,2018,7,18,14,19,0
4,18.07.2018 14:14,0.2584318,106.943,19.07.2018 00:14,29.777,278.766,117.711,829,30.372,62.029,37.216,1413,265,561,2.596,22,37.39171832,1023.260429,0.258341092,227.2110026,21.88645,-159.52735,2018,7,18,14,14,0
5,18.07.2018 14:14,0.27067645,107.066,19.07.2018 00:14,30.28,269.471,114.778,829,30.862,62.038,36.851,1413,254,579,2.719,22,37.02499492,1022.816127,0.270596965,220.2318765,21.88645,-159.52735,2018,7,18,14,14,0
6,18.07.2018 14:14,0.8987374,113.375,19.07.2018 00:14,29.461,285.12,119.736,829,30.012,62.031,37.496,1413,268,562,9.028,22,37.67303942,1023.597716,0.899130008,231.9318633,21.88645,-159.52735,2018,7,18,14,14,0
7,18.07.2018 14:14,0.97509225,114.142,19.07.2018 00:14,29.251,289.197,121.004,829,29.745,62.043,37.712,1413,288,561,9.795,22,37.89005917,1023.85199,0.975503582,234.8975388,21.88645,-159.52735,2018,7,18,14,14,0
8,18.07.2018 14:15,1.1219285,115.617,19.07.2018 00:15,28.981,293.004,122.02,829,29.41,62.007,37.951,1413,313,567,11.27,22,38.1301874,1024.146683,1.122336472,237.5832532,21.88645,-159.52735,2018,7,18,14,15,0
9,18.07.2018 14:14,1.15308765,115.93,19.07.2018 00:14,29.095,291.61,121.682,829,29.547,62.031,37.859,1413,303,572,11.583,22,38.03775297,1024.03094,1.153492186,236.6129021,21.88645,-159.52735,2018,7,18,14,14,0
10,18.07.2018 14:15,1.4416831,118.829,19.07.2018 00:15,28.912,294.402,122.456,829,29.289,61.976,38.026,1413,310,565,14.482,22,38.20554104,1024.245608,1.442041879,238.5961168,21.88645,-159.52735,2018,7,18,14,15,0
