X,Y,NomiluSona
-159.5269584,21.88817029,0.94274
-159.5268685,21.88817029,1.33325
-159.5267787,21.88817029,1.45741
-159.5266889,21.88817029,1.28032
-159.526599,21.88817029,1.10098
-159.5265092,21.88817029,1.14701
-159.5264194,21.88817029,1.14839
-159.5263295,21.88817029,0.43356
-159.527138,21.88808693,0.69388
-159.5270482,21.88808693,1.40305
-159.5269584,21.88808693,1.92953
-159.5268685,21.88808693,2.15135
-159.5267787,21.88808693,2.16699
-159.5266889,21.88808693,2.17529
-159.526599,21.88808693,2.12162
-159.5265092,21.88808693,2.10448
-159.5264194,21.88808693,1.90397
-159.5263295,21.88808693,1.3121
-159.5272279,21.88800357,0.84345
-159.527138,21.88800357,1.75531
-159.5270482,21.88800357,2.41614
-159.5269584,21.88800357,2.71484
-159.5268685,21.88800357,2.82451
-159.5267787,21.88800357,2.80086
-159.5266889,21.88800357,2.84853
-159.526599,21.88800357,2.8508
-159.5265092,21.88800357,2.85597
-159.5264194,21.88800357,2.46094
-159.5263295,21.88800357,1.91616
-159.5262397,21.88800357,1.27664
-159.5261499,21.88800357,0.86334
-159.52606,21.88800357,0.50076
-159.5274974,21.88792022,0.37446
-159.5274075,21.88792022,1.00428
-159.5273177,21.88792022,1.54817
-159.5272279,21.88792022,2.04149
-159.527138,21.88792022,2.73767
-159.5270482,21.88792022,3.36836
-159.5269584,21.88792022,3.55948
-159.5268685,21.88792022,3.54968
-159.5267787,21.88792022,3.48024
-159.5266889,21.88792022,3.58195
-159.526599,21.88792022,3.69663
-159.5265092,21.88792022,3.57441
-159.5264194,21.88792022,3.03782
-159.5263295,21.88792022,2.43934
-159.5262397,21.88792022,1.84227
-159.5261499,21.88792022,1.3125
-159.52606,21.88792022,0.86031
-159.5274974,21.88783686,0.79398
-159.5274075,21.88783686,1.80841
-159.5273177,21.88783686,2.4113
-159.5272279,21.88783686,2.82664
-159.527138,21.88783686,3.38817
-159.5270482,21.88783686,4.03894
-159.5269584,21.88783686,4.24495
-159.5268685,21.88783686,4.23533
-159.5267787,21.88783686,4.11851
-159.5266889,21.88783686,4.20157
-159.526599,21.88783686,4.32148
-159.5265092,21.88783686,4.10366
-159.5264194,21.88783686,3.51929
-159.5263295,21.88783686,2.94755
-159.5262397,21.88783686,2.3478
-159.5261499,21.88783686,1.77032
-159.52606,21.88783686,1.18252
-159.5259702,21.88783686,0.58571
-159.5275872,21.88775351,0.50496
-159.5274974,21.88775351,1.59504
-159.5274075,21.88775351,2.52497
-159.5273177,21.88775351,3.20398
-159.5272279,21.88775351,3.63204
-159.527138,21.88775351,4.09088
-159.5270482,21.88775351,4.57724
-159.5269584,21.88775351,4.85612
-159.5268685,21.88775351,4.90642
-159.5267787,21.88775351,4.75657
-159.5266889,21.88775351,4.79845
-159.526599,21.88775351,4.82172
-159.5265092,21.88775351,4.52868
-159.5264194,21.88775351,3.96177
-159.5263295,21.88775351,3.35843
-159.5262397,21.88775351,2.70273
-159.5261499,21.88775351,2.06578
-159.52606,21.88775351,1.42086
-159.5259702,21.88775351,0.82308
-159.5275872,21.88767015,1.33999
-159.5274974,21.88767015,2.52506
-159.5274075,21.88767015,3.36674
-159.5273177,21.88767015,4.04068
-159.5272279,21.88767015,4.47826
-159.527138,21.88767015,4.86332
-159.5270482,21.88767015,5.08627
-159.5269584,21.88767015,5.21443
