position,location,oxygen_peak_current,scan_rate,oxygen_conc,oxygen_sat,h2s_peak_current,h2s_conc
-1,65,32.965,500,163.181426,77.10,,0
-25,41,31.614,500,154.3507496,72.93,,0
-50,16,32.117,500,157.6385588,74.49,,0
-60,6,32.163,500,157.9392332,74.63,,0
-62,4,32.438,500,159.7367432,75.48,,0
-64,2,25.676,500,115.5376064,54.59,,0
-65,1,,,0,0,31.004,19.3712992
-66,0,,,0,0,32.003,19.9954744
-67,-1,,,0,0,106.901,66.7917448
-68,-2,,,0,0,160.096,100.0279808
-69,-3,,,0,0,185.274,115.7591952
-70,-4,,,0,0,222.345,138.921156
-71,-5,,,0,0,252.84,157.974432
-72,-6,,,0,0,329.078,205.6079344
-73,-7,,,0,0,388.068,242.4648864
-74,-8,,,0,0,425.778,266.0260944
-75,-9,,,0,0,449.932,281.1175136
-76,-10,,,0,0,476.127,297.4841496
-77,-11,,,0,0,479.433,299.5497384
-78,-12,,,0,0,471.466,294.5719568
-80,-14,,,0,0,525.621,328.4080008
-85,-19,,,0,0,515.981,322.3849288
-90,-24,,,0,0,509.81,318.529288
-95,-29,,,0,0,543.962,339.8674576
-100,-34,,,0,0,628.66,392.786768
-105,-39,,,0,0,879.866,549.7402768
-110,-44,,,0,0,602.614,376.5132272
-120,-54,,,0,0,575.938,359.8460624
