Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.01,997.833,0.013,1719,1487.71,21.775,1550774166.395455
-0.01,997.837,0.013,1719,1487.658,21.757,1550774167.1230545
-0.01,997.837,0.013,1719,1487.659,21.757,1550774167.8431792
-0.01,997.835,0.013,1719,1487.677,21.764,1550774168.5559897
-0.009,997.836,0.013,1719,1487.663,21.759,1550774169.2917693
-0.01,997.836,0.013,1719,1487.663,21.759,1550774170.0147865
-0.01,997.836,0.013,1719,1487.672,21.762,1550774170.7437153
-0.009,997.834,0.013,1719,1487.696,21.77,1550774171.4600828
-0.01,997.834,0.013,1719,1487.691,21.769,1550774172.1791723
-0.01,997.834,0.013,1719,1487.696,21.77,1550774172.896179
-0.009,997.834,0.013,1719,1487.696,21.77,1550774173.6152303
-0.009,997.833,0.013,1719,1487.7,21.772,1550774174.3352215
-0.01,997.837,0.013,1719,1487.658,21.757,1550774175.0713742
-0.009,997.835,0.013,1719,1487.677,21.764,1550774175.8001432
-0.009,997.836,0.013,1719,1487.663,21.759,1550774176.510478
-0.01,997.837,0.013,1719,1487.659,21.757,1550774177.2204607
-0.009,997.834,0.013,1719,1487.691,21.769,1550774177.9468315
-0.009,997.833,0.013,1719,1487.71,21.775,1550774178.661568
-0.01,997.836,0.013,1719,1487.663,21.759,1550774179.376078
-0.009,997.835,0.013,1719,1487.682,21.765,1550774180.1104074
-0.009,997.836,0.013,1719,1487.663,21.759,1550774180.8257434
-0.01,997.833,0.013,1719,1487.705,21.773,1550774181.5366707
-0.009,997.835,0.013,1719,1487.677,21.764,1550774182.2572563
-0.009,997.835,0.013,1719,1487.677,21.764,1550774182.973362
-0.01,997.835,0.013,1719,1487.687,21.767,1550774183.6890209
-0.009,997.834,0.013,1719,1487.686,21.767,1550774184.4040039
-0.009,997.835,0.013,1719,1487.677,21.764,1550774185.1182644
-0.009,997.832,0.013,1719,1487.714,21.777,1550774185.8347704
-0.009,997.833,0.013,1719,1487.7,21.772,1550774186.597359
-0.01,997.832,0.013,1719,1487.719,21.778,1550774187.3170288
-0.01,997.833,0.013,1719,1487.705,21.773,1550774188.0320458
-0.009,997.833,0.013,1719,1487.7,21.772,1550774188.749157
-0.01,997.83,0.013,1719,1487.748,21.788,1550774189.4649394
-0.009,997.83,0.013,1719,1487.742,21.786,1550774190.1809835
-0.01,997.832,0.013,1719,1487.724,21.78,1550774190.8969948
-0.009,997.83,0.013,1719,1487.747,21.788,1550774191.6120334
-0.009,997.829,0.013,1719,1487.757,21.791,1550774192.3301435
-0.009,997.83,0.013,1719,1487.743,21.786,1550774193.0409498
-0.009,997.83,0.013,1719,1487.743,21.786,1550774193.7525651
-0.009,997.831,0.013,1719,1487.733,21.783,1550774194.471885
-0.009,997.829,0.013,1719,1487.752,21.789,1550774195.187079
-0.009,997.827,0.013,1719,1487.78,21.799,1550774195.902917
-0.009,997.827,0.013,1719,1487.785,21.801,1550774196.6243737
-0.009,997.829,0.013,1719,1487.752,21.789,1550774197.3400776
-0.009,997.827,0.013,1719,1487.775,21.797,1550774198.05591
-0.009,997.826,0.013,1719,1487.789,21.802,1550774198.7741914
-0.01,997.828,0.013,1719,1487.771,21.796,1550774199.492652
-0.01,997.826,0.013,1719,1487.799,21.805,1550774200.2159176
-0.008,997.827,0.013,1719,1487.78,21.799,1550774200.9321604
-0.008,997.829,0.013,1719,1487.756,21.791,1550774201.647494
-0.009,997.826,0.013,1719,1487.799,21.805,1550774202.3638797
-0.009,997.828,0.013,1719,1487.766,21.794,1550774203.074915
-0.01,997.827,0.013,1719,1487.785,21.801,1550774203.78906
-0.009,997.826,0.013,1719,1487.789,21.802,1550774204.504814
-0.009,997.826,0.013,1719,1487.789,21.802,1550774205.220177
-0.009,997.824,0.013,1719,1487.817,21.812,1550774205.935814
-0.01,997.826,0.013,1719,1487.799,21.805,1550774206.6529462
-0.01,997.827,0.013,1719,1487.785,21.801,1550774207.3878875
-0.01,997.825,0.013,1719,1487.813,21.81,1550774208.0987976
-0.01,997.826,0.013,1719,1487.804,21.807,1550774208.8148873
-0.009,997.824,0.013,1719,1487.813,21.81,1550774209.5348535
-0.009,997.824,0.013,1719,1487.822,21.813,1550774210.2509031
-0.01,997.822,0.013,1719,1487.85,21.823,1550774210.9679873
-0.009,997.826,0.013,1719,1487.799,21.805,1550774211.6839643
-0.009,997.822,0.013,1719,1487.841,21.82,1550774212.3994894
