Chlorophyll,date,Thermistor,time,ts,Turbidity
2188,02/21/19,532,08:35:55,1550774166.1198685,4130
2189,02/21/19,532,08:35:56,1550774167.194325,4130
2189,02/21/19,532,08:35:57,1550774168.2595184,4130
2190,02/21/19,532,08:35:58,1550774169.3322248,4130
2189,02/21/19,532,08:35:59,1550774170.406771,4130
2188,02/21/19,532,08:36:00,1550774171.4865472,4130
2188,02/21/19,532,08:36:01,1550774172.551905,4130
2190,02/21/19,532,08:36:02,1550774173.640629,4130
2188,02/21/19,532,08:36:05,1550774175.7751327,4130
2189,02/21/19,532,08:36:06,1550774176.8450313,4130
2189,02/21/19,532,08:36:07,1550774177.9195085,4130
2188,02/21/19,533,08:36:08,1550774178.9917064,4130
2188,02/21/19,532,08:36:09,1550774180.0730264,4130
2189,02/21/19,532,08:36:10,1550774181.1452265,4130
2189,02/21/19,532,08:36:11,1550774182.2186804,4130
2189,02/21/19,532,08:36:12,1550774183.2923472,4130
2187,02/21/19,532,08:36:13,1550774184.36605,4130
2187,02/21/19,532,08:36:14,1550774185.4411533,4130
2188,02/21/19,533,08:36:15,1550774186.5649195,4130
2187,02/21/19,532,08:36:18,1550774188.6594868,4130
2187,02/21/19,532,08:36:19,1550774189.73353,4130
2190,02/21/19,532,08:36:20,1550774190.8067126,4130
2188,02/21/19,532,08:36:21,1550774191.8803754,4130
2188,02/21/19,532,08:36:22,1550774192.9541445,4130
2189,02/21/19,532,08:36:23,1550774194.0281858,4130
2186,02/21/19,532,08:36:24,1550774195.1013434,4130
2187,02/21/19,532,08:36:25,1550774196.1841788,4130
2187,02/21/19,532,08:36:26,1550774197.2484438,4130
2186,02/21/19,532,08:36:27,1550774198.3243275,4130
2189,02/21/19,532,08:36:28,1550774199.4047325,4130
2190,02/21/19,532,08:36:29,1550774200.4697912,4130
2189,02/21/19,532,08:36:30,1550774201.5538633,4130
2188,02/21/19,532,08:36:31,1550774202.6164422,4130
2188,02/21/19,532,08:36:33,1550774203.696434,4130
2187,02/21/19,532,08:36:34,1550774204.7892635,4130
2190,02/21/19,532,08:36:36,1550774206.9175348,4130
2191,02/21/19,532,08:36:37,1550774207.9983315,4130
2190,02/21/19,532,08:36:38,1550774209.0643642,4130
2188,02/21/19,532,08:36:39,1550774210.142416,4130
2188,02/21/19,532,08:36:40,1550774211.212563,4130
2189,02/21/19,532,08:36:41,1550774212.2853274,4130
2188,02/21/19,532,08:36:42,1550774213.3600447,4130
2189,02/21/19,532,08:36:43,1550774214.4326823,4130
2189,02/21/19,532,08:36:44,1550774215.5073743,4130
2188,02/21/19,532,08:36:45,1550774216.5799816,4130
2190,02/21/19,532,08:36:47,1550774217.6536074,4130
2188,02/21/19,532,08:36:48,1550774218.7272646,4130
2189,02/21/19,532,08:36:49,1550774219.8020682,4130
2187,02/21/19,532,08:36:50,1550774220.874763,4130
2190,02/21/19,532,08:36:51,1550774221.966707,4130
2189,02/21/19,532,08:36:53,1550774224.120249,4130
2188,02/21/19,532,08:36:55,1550774226.2745154,4130
2190,02/21/19,532,08:36:57,1550774228.403486,4130
2189,02/21/19,532,08:36:59,1550774230.545691,4130
2188,02/21/19,532,08:37:00,1550774231.6142662,4130
2191,02/21/19,532,08:37:02,1550774232.6920574,4130
2190,02/21/19,532,08:37:03,1550774233.7609723,4130
2187,02/21/19,532,08:37:04,1550774234.8345351,4130
2191,02/21/19,532,08:37:09,1550774240.2012324,4130
2189,02/21/19,532,08:37:10,1550774241.283592,4130
2189,02/21/19,532,08:37:11,1550774242.3503864,4130
2189,02/21/19,532,08:37:12,1550774243.430319,4130
2191,02/21/19,532,08:37:13,1550774244.4949212,4130
2189,02/21/19,532,08:37:14,1550774245.5743682,4130
2189,02/21/19,532,08:37:16,1550774246.6421206,4130
2187,02/21/19,532,08:37:17,1550774247.7157288,4130
2188,02/21/19,532,08:37:18,1550774248.7892728,4130
2189,02/21/19,532,08:37:19,1550774249.8633657,4130
2189,02/21/19,532,08:37:20,1550774250.9427917,4130
2189,02/21/19,532,08:37:21,1550774252.016607,4130
2189,02/21/19,532,08:37:22,1550774253.0905867,4130
2188,02/21/19,532,08:37:23,1550774254.163963,4130
2188,02/21/19,532,08:37:25,1550774256.3154688,4130
2188,02/21/19,532,08:37:26,1550774257.3846614,4130
2188,02/21/19,532,08:37:27,1550774258.45839,4130
2188,02/21/19,532,08:37:28,1550774259.5325491,4130
2188,02/21/19,532,08:37:29,1550774260.605581,4130
2187,02/21/19,532,08:37:31,1550774261.679215,4130
2188,02/21/19,532,08:37:32,1550774262.7529192,4130
2188,02/21/19,532,08:37:33,1550774263.8269932,4130
2189,02/21/19,532,08:37:34,1550774264.9103951,4130
2189,02/21/19,532,08:37:35,1550774265.9733837,4130
2188,02/21/19,532,08:37:36,1550774267.047571,4130
2189,02/21/19,532,08:37:37,1550774268.120755,4130
2189,02/21/19,532,08:37:38,1550774269.1943426,4130
2188,02/21/19,532,08:37:39,1550774270.2679298,4130
2189,02/21/19,532,08:37:40,1550774271.3415792,4130
2187,02/21/19,532,08:37:41,1550774272.4152486,4130
2187,02/21/19,532,08:37:42,1550774273.4889133,4130
2187,02/21/19,532,08:37:43,1550774274.5691907,4130
2188,02/21/19,532,08:37:45,1550774275.6440473,4130
2188,02/21/19,532,08:37:46,1550774276.7164593,4130
2188,02/21/19,532,08:37:47,1550774277.790406,4130
2188,02/21/19,532,08:37:48,1550774278.8637478,4130
2189,02/21/19,532,08:37:49,1550774279.94529,4130
