Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts,p_int,rh_int,t_int,Chlorophyll,date,Thermistor,time,Turbidity,AirSaturation,O2Concentration,SN_bottlebone.optode,Temperature_bottlebone.optode,p_int_bottledeck1.bme280_topside,rh_int_bottledeck1.bme280_topside,t_int_bottledeck1.bme280_topside,alt,lat,long,ts_gps,alx,b,Deg.C,depth_m,dt,g,kPa,r,w,wlx,station
52.016999999999996,1022.785,34.248000000000005,1719,1533.523,24.962,1550777468.3040693,106.64200000000001,11.19,28.767,113,02/21/19,529,09:30:57,344,104.925,269.265,831,25.276,101.556,59.63,27.895,11.502,21.88612823,-159.5275991,2019-02-21T19:31:02.000Z,2144.6,551.4,22.169,0.16375975,2016-11-03T07:47:53.222890,1486.2,105.344,1548.6,2927.8,3140.6,1
51.975,1022.75,34.208,1719,1533.51,24.975,1550777469.0211375,106.706,11.2,28.733,112,02/21/19,529,09:30:58,330,104.925,269.265,831,25.276,101.556,59.63,27.895,11.875,21.88613661,-159.5275991,2019-02-21T19:31:04.000Z,2144.6,551.4,22.169,0.16375975,2016-11-03T07:47:53.222890,1486.2,105.344,1548.6,2927.8,3140.6,1
51.968,1022.76,34.214,1719,1533.479,24.959,1550777469.745323,106.706,11.2,28.733,112,02/21/19,529,09:30:58,330,105.73,271.657,831,25.211,101.556,59.63,27.895,11.875,21.88613661,-159.5275991,2019-02-21T19:31:05.000Z,1955.7,507.6,22.215,0.2371281,2016-11-03T07:47:54.622925,1370.1,106.081,1436.6,2758.2,2869.9,1
51.98,1022.79,34.243,1719,1533.4479999999999,24.933000000000003,1550777470.4669845,106.706,11.2,28.733,115,02/21/19,529,09:30:59,334,105.73,271.657,831,25.211,101.552,59.92,27.781,11.875,21.88613661,-159.5275991,2019-02-21T19:31:05.000Z,1955.7,507.6,22.215,0.2371281,2016-11-03T07:47:54.622925,1370.1,106.081,1436.6,2758.2,2869.9,1
51.909,1022.765,34.204,1719,1533.362,24.915,1550777471.1915267,106.706,11.2,28.733,119,02/21/19,529,09:31:00,322,107.33,276.062,831,25.153000000000002,101.552,59.92,27.781,11.875,21.88613661,-159.5275991,2019-02-21T19:31:05.000Z,1853.1,501.6,22.266,0.34384570000000003,2016-11-03T07:47:56.025669,1336.2,107.15299999999999,1405.6,2766.2,2795.1,1
51.875,1022.763,34.193000000000005,1719,1533.3039999999999,24.896,1550777471.9041018,106.706,11.2,28.733,120,02/21/19,529,09:31:01,326,108.572,279.556,831,25.094,101.552,59.92,27.781,11.378,21.88614815,-159.5275957,2019-02-21T19:31:07.000Z,1853.1,501.6,22.266,0.34384570000000003,2016-11-03T07:47:56.025669,1336.2,107.15299999999999,1405.6,2766.2,2795.1,1
51.838,1022.758,34.179,1719,1533.246,24.878,1550777472.6211212,106.706,11.2,28.733,120,02/21/19,529,09:31:01,326,108.572,279.556,831,25.094,101.552,59.92,27.781,11.378,21.88614815,-159.5275957,2019-02-21T19:31:07.000Z,2367.6,663.2,22.316,0.41363025,2016-11-03T07:47:57.424556,1666.1,107.854,1765.0,3489.0,3591.6,1
51.821999999999996,1022.7769999999999,34.192,1719,1533.182,24.846,1550777473.338007,106.706,11.2,28.733,122,02/21/19,529,09:31:02,324,109.405,282.013,831,25.034000000000002,101.556,60.18,27.68,11.378,21.88614815,-159.5275957,2019-02-21T19:31:08.000Z,2367.6,663.2,22.316,0.41363025,2016-11-03T07:47:57.424556,1666.1,107.854,1765.0,3489.0,3591.6,1
51.798,1022.779,34.187,1719,1533.134,24.828000000000003,1550777474.0650015,106.706,11.2,28.733,126,02/21/19,529,09:31:03,314,109.405,282.013,831,25.034000000000002,101.556,60.18,27.68,11.378,21.88614815,-159.5275957,2019-02-21T19:31:08.000Z,2187.7,635.0,22.351,0.5013337999999999,2016-11-03T07:47:58.823769,1600.7,108.735,1717.7,3368.5,3316.3,1
51.817,1022.801,34.211,1719,1533.128,24.816,1550777474.779193,106.706,11.2,28.733,126,02/21/19,529,09:31:03,314,110.677,285.59,831,24.978,101.556,60.18,27.68,11.378,21.88614815,-159.5275957,2019-02-21T19:31:09.000Z,2187.7,635.0,22.351,0.5013337999999999,2016-11-03T07:47:58.823769,1600.7,108.735,1717.7,3368.5,3316.3,1
51.851000000000006,1022.847,34.26,1719,1533.106,24.785,1550777475.4992182,106.706,11.2,28.733,129,02/21/19,529,09:31:05,319,110.677,285.59,831,24.978,101.554,60.4,27.579,11.378,21.88614815,-159.5275957,2019-02-21T19:31:10.000Z,2650.9,780.0,22.385,0.51975055,2016-11-03T07:48:00.224106,1923.6,108.92,2060.5,4009.3,4118.2,1
51.847,1022.878,34.286,1719,1533.0410000000002,24.746,1550777476.223509,106.706,11.2,28.733,128,02/21/19,529,09:31:06,323,111.949,289.228,831,24.910999999999998,101.554,60.4,27.579,11.378,21.88614815,-159.5275957,2019-02-21T19:31:11.000Z,2650.9,780.0,22.385,0.51975055,2016-11-03T07:48:00.224106,1923.6,108.92,2060.5,4009.3,4118.2,1
51.848,1022.913,34.316,1719,1532.98,24.708000000000002,1550777476.9360795,106.706,11.2,28.733,128,02/21/19,529,09:31:06,323,111.949,289.228,831,24.910999999999998,101.554,60.4,27.579,11.378,21.88614815,-159.5275957,2019-02-21T19:31:11.000Z,2178.6,576.1,22.413,0.5783855,2016-11-03T07:48:01.625058,1493.2,109.509,1605.0,3113.0,3159.6,1
51.841,1022.921,34.321999999999996,1719,1532.951,24.693,1550777477.6606555,106.706,11.2,28.733,128,02/21/19,529,09:31:07,319,113.125,292.60200000000003,831,24.849,101.554,60.4,27.579,11.751,21.88615653,-159.5275957,2019-02-21T19:31:12.000Z,2178.6,576.1,22.413,0.5783855,2016-11-03T07:48:01.625058,1493.2,109.509,1605.0,3113.0,3159.6,1
51.836999999999996,1022.95,34.346,1719,1532.891,24.658,1550777478.3740215,106.706,11.2,28.733,127,02/21/19,528,09:31:08,318,114.02,295.218,831,24.794,101.553,60.57,27.488000000000003,11.751,21.88615653,-159.5275957,2019-02-21T19:31:13.000Z,1844.2,515.7,22.441999999999997,0.6142234999999999,2016-11-03T07:48:03.029908,1383.7,109.869,1487.7,2824.6,2741.5,1
51.847,1022.971,34.367,1719,1532.87,24.64,1550777479.091682,106.712,11.2,28.71,127,02/21/19,528,09:31:08,318,114.02,295.218,831,24.794,101.553,60.57,27.488000000000003,11.751,21.88615653,-159.5275957,2019-02-21T19:31:14.000Z,1844.2,515.7,22.441999999999997,0.6142234999999999,2016-11-03T07:48:03.029908,1383.7,109.869,1487.7,2824.6,2741.5,1
51.865,1022.9960000000001,34.391999999999996,1719,1532.858,24.624000000000002,1550777479.8109837,106.712,11.2,28.71,128,02/21/19,529,09:31:09,320,114.81,297.586,831,24.736,101.553,60.57,27.488000000000003,11.751,21.88615653,-159.5275957,2019-02-21T19:31:14.000Z,1866.4,512.7,22.465,0.61671225,2016-11-03T07:48:04.428929,1371.9,109.89399999999999,1470.6,2803.7,2762.5,1
51.875,1023.0210000000001,34.417,1719,1532.83,24.601999999999997,1550777480.5272734,106.712,11.2,28.71,127,02/21/19,529,09:31:10,317,114.81,297.586,831,24.736,101.552,60.72,27.392,11.751,21.88615653,-159.5275957,2019-02-21T19:31:14.000Z,1866.4,512.7,22.465,0.61671225,2016-11-03T07:48:04.428929,1371.9,109.89399999999999,1470.6,2803.7,2762.5,1
51.875,1023.059,34.45,1719,1532.76,24.558000000000003,1550777481.2477653,106.712,11.2,28.71,127,02/21/19,529,09:31:10,317,115.11200000000001,298.70099999999996,831,24.676,101.552,60.72,27.392,11.751,21.88615653,-159.5275957,2019-02-21T19:31:16.000Z,1815.3,499.6,22.495,0.61750865,2016-11-03T07:48:05.827244,1342.2,109.902,1443.9,2739.5,2681.1,1
51.86600000000001,1023.071,34.459,1719,1532.7220000000002,24.539,1550777481.9651859,106.712,11.2,28.71,128,02/21/19,529,09:31:11,318,115.11200000000001,298.70099999999996,831,24.676,101.552,60.72,27.392,11.751,21.88615653,-159.5275957,2019-02-21T19:31:17.000Z,1815.3,499.6,22.495,0.61750865,2016-11-03T07:48:05.827244,1342.2,109.902,1443.9,2739.5,2681.1,1
51.828,1023.051,34.431,1719,1532.6889999999999,24.538,1550777482.6897712,106.712,11.2,28.71,127,02/21/19,529,09:31:12,318,115.335,299.585,831,24.621,101.555,60.88,27.313000000000002,11.751,21.88615653,-159.5275957,2019-02-21T19:31:17.000Z,1779.8,486.2,22.518,0.61870325,2016-11-03T07:48:07.225128,1318.0,109.914,1418.5,2678.4,2637.0,1
51.766999999999996,1023.048,34.413000000000004,1719,1532.5829999999999,24.502,1550777483.4029865,106.712,11.2,28.71,127,02/21/19,529,09:31:12,318,115.335,299.585,831,24.621,101.555,60.88,27.313000000000002,11.751,21.88615653,-159.5275957,2019-02-21T19:31:17.000Z,1779.8,486.2,22.518,0.61870325,2016-11-03T07:48:07.225128,1318.0,109.914,1418.5,2678.4,2637.0,1
51.747,1023.048,34.408,1719,1532.545,24.489,1550777484.1320314,106.712,11.2,28.71,127,02/21/19,529,09:31:13,317,115.69200000000001,300.79,831,24.570999999999998,101.555,60.88,27.313000000000002,11.751,21.88615653,-159.5275957,2019-02-21T19:31:19.000Z,1768.8,484.5,22.539,0.6273641,2016-11-03T07:48:08.623578,1310.0,110.001,1408.7,2668.6,2599.9,1
51.745,1023.076,34.431999999999995,1719,1532.489,24.456,1550777484.845999,106.712,11.2,28.71,126,02/21/19,529,09:31:14,316,115.896,301.606,831,24.52,101.555,60.88,27.313000000000002,12.124,21.88616491,-159.5275957,2019-02-21T19:31:20.000Z,1768.8,484.5,22.539,0.6273641,2016-11-03T07:48:08.623578,1310.0,110.001,1408.7,2668.6,2599.9,1
51.747,1023.086,34.441,1719,1532.475,24.445999999999998,1550777485.5591938,106.712,11.2,28.71,126,02/21/19,529,09:31:14,316,115.896,301.606,831,24.52,101.553,61.01,27.233,12.124,21.88616491,-159.5275957,2019-02-21T19:31:20.000Z,1777.6,485.0,22.555,0.61770775,2016-11-03T07:48:10.027640,1311.3,109.904,1409.2,2668.6,2616.1,1
51.746,1023.1080000000001,34.46,1719,1532.432,24.42,1550777486.2760518,106.712,11.2,28.71,128,02/21/19,528,09:31:15,318,116.101,302.423,831,24.47,101.553,61.01,27.233,12.124,21.88616491,-159.5275957,2019-02-21T19:31:20.000Z,1777.6,485.0,22.555,0.61770775,2016-11-03T07:48:10.027640,1311.3,109.904,1409.2,2668.6,2616.1,1
51.757,1023.12,34.473,1719,1532.431,24.414,1550777486.9930196,106.712,11.2,28.71,127,02/21/19,529,09:31:16,314,116.101,302.423,831,24.47,101.553,61.01,27.233,12.124,21.88616491,-159.5275957,2019-02-21T19:31:22.000Z,1835.3,507.1,22.573,0.63204295,2016-11-03T07:48:11.426438,1361.6,110.04799999999999,1464.3,2773.3,2734.5,1
51.771,1023.15,34.504,1719,1532.401,24.388,1550777487.710047,106.712,11.2,28.71,127,02/21/19,529,09:31:16,314,116.852,304.64599999999996,831,24.423000000000002,101.556,61.1,27.151999999999997,12.124,21.88616491,-159.5275957,2019-02-21T19:31:23.000Z,1835.3,507.1,22.573,0.63204295,2016-11-03T07:48:11.426438,1361.6,110.04799999999999,1464.3,2773.3,2734.5,1
