p_int,rh_int,t_int,ts
101.543,70.07,24.732,1550775639.91368
101.547,70.06,24.689,1550775642.38019
101.544,69.81,24.734,1550775644.84531
101.549,69.8,24.836,1550775647.31082
101.549,69.41,24.887,1550775649.77830
101.546,69.63,24.739,1550775652.23838
101.538,68.91,24.727,1550775654.70504
101.541,68.66,24.891,1550775657.17244
101.546,68.68,24.969,1550775659.63416
101.548,68.47,25.01,1550775662.09391
101.548,68.37,25.057,1550775664.56059
101.547,68.33,25.127,1550775667.02803
101.548,68.12,25.096,1550775669.50064
101.55,68.1,25.193,1550775671.96773
101.551,68.02,25.341,1550775674.43482
101.546,67.79,25.448,1550775676.90205
101.541,67.56,25.412,1550775679.36867
101.539,67.56,25.576,1550775685.57005
101.54,67.56,25.627,1550775688.07711
101.537,67.41,25.666,1550775690.54408
101.535,67.26,25.721,1550775693.00392
101.543,67.05,25.76,1550775695.46359
101.536,66.84,25.803,1550775697.92327
101.54,66.65,25.813,1550775700.38943
101.547,66.53,25.879,1550775702.85655
101.548,66.52,25.961,1550775705.32362
101.546,66.55,26.006,1550775707.79005
101.548,66.66,26.062,1550775710.25368
101.547,66.74,26.081,1550775712.72074
101.545,66.7,26.074,1550775715.18787
101.541,66.62,26.072,1550775717.65415
101.541,66.5,26.064,1550775720.12139
101.545,66.44,26.073,1550775722.58724
101.546,66.37,26.08,1550775725.05340
101.544,66.37,26.08,1550775727.52055
101.548,66.32,26.083,1550775729.98223
101.547,66.3,26.068,1550775732.44459
101.549,66.33,26.06,1550775734.91207
101.55,66.24,26.076,1550775737.37963
101.552,66.14,26.115,1550775739.84697
101.549,66.02,26.142,1550775742.31415
101.55,65.84,26.133,1550775744.78126
101.548,65.78,26.131,1550775747.24912
101.547,65.93,26.135,1550775749.72353
101.549,66.02,26.137,1550775752.19124
101.551,66.2,26.14,1550775754.65428
101.549,66.29,26.128,1550775757.11774
101.55,66.37,26.113,1550775759.58650
101.551,66.39,26.12,1550775762.05353
101.538,66.39,26.127,1550775764.52068
101.537,66.38,26.097,1550775766.98790
101.525,66.3,26.087,1550775769.45511
101.532,66.35,26.085,1550775771.92320
101.53,66.21,26.131,1550775774.39151
101.537,66.06,26.2,1550775776.86482
101.533,65.84,26.298,1550775779.33210
101.514,65.5,26.361,1550775781.79563
101.515,65.47,26.367,1550775784.25831
101.52,65.36,26.419,1550775786.72552
101.538,65.29,26.478,1550775789.19277
101.529,65.16,26.573,1550775791.65984
101.528,65.12,26.662,1550775794.12868
101.527,65.11,26.704,1550775796.59607
101.527,65.15,26.774,1550775799.06359
101.531,65.08,26.831,1550775801.53097
101.538,64.82,26.898,1550775803.99507
101.542,64.6,26.967,1550775806.45491
101.54,64.43,27.017,1550775808.92371
101.541,64.27,27.064,1550775811.39212
101.54,64.06,27.123,1550775813.85926
101.542,63.93,27.174,1550775816.32718
101.547,63.89,27.233,1550775818.79918
101.546,63.84,27.294,1550775821.26713
101.54,63.75,27.33,1550775823.73613
101.547,63.78,27.352,1550775826.20188
101.548,63.74,27.396,1550775828.66893
101.544,63.78,27.423,1550775831.13274
101.549,63.72,27.454,1550775833.60000
101.544,63.71,27.491,1550775836.06710
101.547,63.71,27.531,1550775838.53417
101.547,63.69,27.56,1550775840.99475
101.55,63.68,27.557,1550775843.46183
101.55,63.65,27.558,1550775845.93229
101.55,63.54,27.577,1550775848.40242
101.551,63.4,27.607,1550775850.87278
101.551,63.32,27.646,1550775853.34053
101.546,63.3,27.689,1550775855.81043
101.549,63.25,27.734,1550775858.28086
101.543,63.04,27.8,1550775860.75092
101.548,62.83,27.868,1550775863.21871
101.546,62.65,27.932,1550775865.68478
101.545,62.46,28.011,1550775868.15252
101.547,62.29,28.105,1550775870.61964
101.549,62.18,28.197,1550775873.08456
101.547,61.99,28.291,1550775875.55145
101.542,61.85,28.383,1550775878.01866
101.541,61.71,28.476,1550775880.48578
101.548,61.49,28.563,1550775882.94455
101.548,61.28,28.664,1550775885.40950
101.548,61.06,28.772,1550775887.87477
101.547,60.96,28.872,1550775890.34335
101.546,60.93,28.971,1550775892.81027
101.546,60.92,29.064,1550775895.27784
101.548,60.77,29.135,1550775897.74506
101.544,60.48,29.203,1550775900.20916
101.553,60.27,29.251,1550775902.67652
101.551,60.03,29.291,1550775905.14152
101.55,59.79,29.334,1550775907.60796
101.549,59.69,29.369,1550775910.07503
101.553,59.87,29.299,1550775912.54226
101.547,60,28.947,1550775915.00914
101.544,59.78,29.037,1550775917.47665
101.542,59.95,28.724,1550775919.94444
