p_int,rh_int,t_int,ts
113.233,8.76,45.706,1550792630.0300329
113.238,8.76,45.722,1550792640.5576096
113.235,8.76,45.708,1550792651.047307
113.244,8.76,45.715,1550792661.5522902
113.251,8.76,45.743,1550792672.078125
113.253,8.76,45.74,1550792682.6052818
113.256,8.76,45.748,1550792693.1359472
113.262,8.77,45.751,1550792703.6596227
113.262,8.76,45.737,1550792714.1615164
113.265,8.76,45.762,1550792724.696904
113.265,8.76,45.75,1550792735.1844816
113.273,8.76,45.77,1550792745.7086408
113.276,8.76,45.78,1550792756.2465584
113.281,8.76,45.785,1550792766.7745316
113.283,8.75,45.785,1550792777.3231833
113.285,8.76,45.793,1550792787.843822
113.293,8.75,45.786,1550792798.3668518
113.296,8.76,45.795,1550792808.8975563
113.297,8.76,45.801,1550792819.4266443
113.301,8.76,45.799,1550792829.9349394
113.308,8.76,45.816,1550792840.4686637
113.31,8.76,45.806,1550792850.9788337
113.317,8.76,45.814,1550792861.4991777
113.32,8.76,45.822,1550792872.019628
113.321,8.76,45.825,1550792882.5745375
113.324,8.76,45.822,1550792893.1146019
113.327,8.76,45.825,1550792903.6207182
113.334,8.75,45.846,1550792914.152199
113.337,8.76,45.834,1550792924.668527
113.343,8.75,45.837,1550792935.1727636
113.348,8.75,45.851,1550792945.6989667
113.35,8.75,45.851,1550792956.2658522
113.354,8.75,45.846,1550792966.7663538
113.358,8.75,45.858,1550792977.2912931
113.363,8.75,45.866,1550792987.8204815
113.366,8.76,45.871,1550792998.3489416
113.372,8.75,45.872,1550793008.8823707
113.374,8.76,45.866,1550793019.3934128
113.377,8.75,45.866,1550793029.889502
113.384,8.76,45.892,1550793040.4266045
113.386,8.75,45.886,1550793050.9373002
113.394,8.75,45.879,1550793061.4350543
113.397,8.76,45.897,1550793071.9619565
113.401,8.76,45.902,1550793082.4943187
113.407,8.76,45.909,1550793093.0249546
113.414,8.76,45.919,1550793103.5599954
113.419,8.76,45.919,1550793114.0888307
113.421,8.76,45.925,1550793124.624542
113.426,8.75,45.93,1550793135.1741495
113.434,8.75,45.933,1550793145.690862
113.437,8.76,45.931,1550793156.2005084
113.442,8.75,45.945,1550793166.725455
113.444,8.76,45.942,1550793177.2412274
113.447,8.76,45.941,1550793187.7527745
113.453,8.76,45.944,1550793198.267043
113.454,8.76,45.952,1550793208.790303
113.459,8.76,45.971,1550793219.3233335
113.462,8.76,45.978,1550793229.857329
113.464,8.76,45.98,1550793240.3847175
113.465,8.76,45.984,1550793250.9164941
113.467,8.76,45.982,1550793261.434416
113.472,8.76,45.993,1550793271.9804788
113.474,8.76,45.995,1550793282.5020707
113.473,8.76,45.997,1550793293.0214908
113.478,8.75,46.014,1550793303.6045208
113.479,8.75,46.013,1550793314.1149848
113.482,8.75,46.02,1550793324.6647859
113.481,8.75,46.036,1550793335.1936266
113.482,8.75,46.032,1550793345.6949084
113.486,8.75,46.057,1550793356.2244809
113.49,8.75,46.06,1550793366.7426157
113.487,8.74,46.054,1550793377.3134487
113.492,8.73,46.072,1550793387.8509774
113.495,8.74,46.064,1550793398.3383489
113.495,8.73,46.08,1550793408.877217
113.496,8.73,46.073,1550793419.3686483
113.5,8.73,46.091,1550793429.9057503
113.503,8.73,46.098,1550793440.4448278
113.506,8.74,46.09,1550793450.9826763
