Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts,p_int,rh_int,t_int,Chlorophyll,date,Thermistor,time,Turbidity,AirSaturation,O2Concentration,SN_bottlebone.optode,Temperature_bottlebone.optode,p,rh,t,alt,lat,long,ts_gps,alx,b,Deg.C,depth_m,dt,g,kPa,r,w,wlx
-0.017,991.15,0.019,1719,1533.2579999999998,42.75899999999999,1550792627.6030426,113.23299999999999,8.76,45.706,50,02/21/19,500,13:43:37,50,102.87,198.343,831,42.486999999999995,101.39399999999999,46.65,33.559,11.743,21.88471614,-159.52752130000002,2019-02-21T23:43:44.000Z,11769.5,3967.5,36.43,0.012543299999999999,2019-02-21T13:43:43.155869,6851.7,104.33200000000001,6910.4,13503.6,35161.6
-0.016,991.1510000000001,0.019,1719,1533.2520000000002,42.755,1550792628.3180425,113.23299999999999,8.76,45.706,50,02/21/19,500,13:43:37,50,102.867,198.338,831,42.486999999999995,101.39399999999999,46.65,33.559,11.046,21.88470894,-159.5275304,2019-02-21T23:43:45.000Z,11762.7,3968.2,36.435,0.01801855,2019-02-21T13:43:44.560165,6855.5,104.387,6916.4,13503.6,35140.3
-0.016,991.15,0.019,1719,1533.255,42.757,1550792629.046865,113.23299999999999,8.76,45.706,50,02/21/19,500,13:43:38,50,102.867,198.338,831,42.486999999999995,101.39399999999999,46.65,33.559,11.046,21.88470894,-159.5275304,2019-02-21T23:43:45.000Z,11762.7,3968.2,36.435,0.01801855,2019-02-21T13:43:44.560165,6855.5,104.387,6916.4,13503.6,35140.3
-0.016,991.1469999999999,0.019,1719,1533.266,42.765,1550792629.7572992,113.23299999999999,8.76,45.706,50,02/21/19,500,13:43:39,50,102.758,198.13,831,42.486000000000004,101.39200000000001,46.6,33.556999999999995,11.046,21.88470894,-159.5275304,2019-02-21T23:43:45.000Z,11749.3,3963.7,36.44,0.01383745,2019-02-21T13:43:45.964273,6840.7,104.345,6910.6,13500.9,35087.2
-0.017,991.15,0.019,1719,1533.2579999999998,42.75899999999999,1550792630.4737759,113.23299999999999,8.76,45.706,50,02/21/19,500,13:43:39,50,102.758,198.13,831,42.486000000000004,101.39200000000001,46.6,33.556999999999995,11.046,21.88470894,-159.5275304,2019-02-21T23:43:46.000Z,11749.3,3963.7,36.44,0.01383745,2019-02-21T13:43:45.964273,6840.7,104.345,6910.6,13500.9,35087.2
-0.016,991.153,0.019,1719,1533.244,42.75,1550792631.193594,113.23299999999999,8.76,45.706,50,02/21/19,500,13:43:40,50,102.666,197.955,831,42.486000000000004,101.39200000000001,46.6,33.556999999999995,11.046,21.88470894,-159.5275304,2019-02-21T23:43:47.000Z,11759.4,3962.4,36.445,0.0131406,2019-02-21T13:43:47.369008,6836.6,104.338,6915.9,13500.4,35193.5
-0.017,991.1439999999999,0.019,1719,1533.2779999999998,42.772,1550792631.9079742,113.23299999999999,8.76,45.706,50,02/21/19,500,13:43:41,50,102.666,197.955,831,42.486000000000004,101.39299999999999,46.55,33.56,11.046,21.88470894,-159.5275304,2019-02-21T23:43:48.000Z,11759.4,3962.4,36.445,0.0131406,2019-02-21T13:43:47.369008,6836.6,104.338,6915.9,13500.4,35193.5
-0.016,991.148,0.019,1719,1533.264,42.763000000000005,1550792632.6262913,113.23299999999999,8.76,45.706,50,02/21/19,500,13:43:41,50,102.57799999999999,197.78599999999997,831,42.485,101.39299999999999,46.55,33.56,11.046,21.88470894,-159.5275304,2019-02-21T23:43:48.000Z,11708.9,3961.7,36.446999999999996,0.00985545,2019-02-21T13:43:48.778875,6834.1,104.305,6914.4,13498.9,35087.2
-0.017,991.153,0.019,1719,1533.247,42.751000000000005,1550792633.3425648,113.23299999999999,8.76,45.706,50,02/21/19,500,13:43:42,50,102.57799999999999,197.78599999999997,831,42.485,101.39299999999999,46.55,33.56,11.046,21.88470894,-159.5275304,2019-02-21T23:43:49.000Z,11708.9,3961.7,36.446999999999996,0.00985545,2019-02-21T13:43:48.778875,6834.1,104.305,6914.4,13498.9,35087.2
-0.017,991.1489999999999,0.019,1719,1533.261,42.761,1550792634.0744054,113.23299999999999,8.76,45.706,50,02/21/19,500,13:43:43,50,103.146,198.88099999999997,831,42.485,101.39299999999999,46.55,33.56,11.046,21.88470894,-159.5275304,2019-02-21T23:43:50.000Z,11732.4,3961.7,36.455,0.01981045,2019-02-21T13:43:50.184588,6844.9,104.405,6903.8,13496.3,34949.5
-0.016,991.1439999999999,0.019,1719,1533.2779999999998,42.772,1550792634.7969782,113.23299999999999,8.76,45.706,50,02/21/19,500,13:43:43,50,102.964,198.532,831,42.483999999999995,101.391,46.51,33.562,11.046,21.88470894,-159.5275304,2019-02-21T23:43:51.000Z,11732.4,3961.7,36.455,0.01981045,2019-02-21T13:43:50.184588,6844.9,104.405,6903.8,13496.3,34949.5
-0.017,991.1469999999999,0.019,1719,1533.267,42.765,1550792635.510956,113.238,8.76,45.722,50,02/21/19,500,13:43:44,50,102.964,198.532,831,42.483999999999995,101.391,46.51,33.562,11.046,21.88470894,-159.5275304,2019-02-21T23:43:51.000Z,11745.9,3961.4,36.459,0.01622665,2019-02-21T13:43:51.589255,6845.2,104.369,6907.9,13499.1,34907.2
-0.016,991.1460000000001,0.019,1719,1533.269,42.766999999999996,1550792636.2249336,113.238,8.76,45.722,50,02/21/19,500,13:43:45,50,102.853,198.31799999999998,831,42.483999999999995,101.391,46.51,33.562,11.046,21.88470894,-159.5275304,2019-02-21T23:43:52.000Z,11745.9,3961.4,36.459,0.01622665,2019-02-21T13:43:51.589255,6845.2,104.369,6907.9,13499.1,34907.2
-0.017,991.1469999999999,0.019,1719,1533.267,42.765,1550792636.9400165,113.238,8.76,45.722,50,02/21/19,500,13:43:45,50,102.853,198.31799999999998,831,42.483999999999995,101.39,46.48,33.565,11.046,21.88470894,-159.5275304,2019-02-21T23:43:53.000Z,11749.3,3962.2,36.468,0.0151316,2019-02-21T13:43:52.995139,6850.7,104.35799999999999,6932.5,13505.4,34949.5
-0.017,991.1419999999999,0.019,1719,1533.286,42.778,1550792637.65511,113.238,8.76,45.722,50,02/21/19,500,13:43:46,50,102.80799999999999,198.233,831,42.483999999999995,101.39,46.48,33.565,10.177,21.88471209,-159.527527,2019-02-21T23:43:54.000Z,11749.3,3962.2,36.468,0.0151316,2019-02-21T13:43:52.995139,6850.7,104.35799999999999,6932.5,13505.4,34949.5
