alt,lat,long,ts_gps,ts
11.743,21.88471614,-159.5275213,2019-02-21T23:43:44.000Z,1550792627.74973
11.046,21.88470894,-159.5275304,2019-02-21T23:43:45.000Z,1550792628.74926
11.046,21.88470894,-159.5275304,2019-02-21T23:43:45.000Z,1550792630.08921
11.046,21.88470894,-159.5275304,2019-02-21T23:43:46.000Z,1550792630.20162
11.046,21.88470894,-159.5275304,2019-02-21T23:43:47.000Z,1550792630.74872
11.046,21.88470894,-159.5275304,2019-02-21T23:43:48.000Z,1550792631.75465
11.046,21.88470894,-159.5275304,2019-02-21T23:43:48.000Z,1550792633.08634
11.046,21.88470894,-159.5275304,2019-02-21T23:43:49.000Z,1550792633.19760
11.046,21.88470894,-159.5275304,2019-02-21T23:43:50.000Z,1550792633.74964
11.046,21.88470894,-159.5275304,2019-02-21T23:43:51.000Z,1550792634.74884
11.046,21.88470894,-159.5275304,2019-02-21T23:43:51.000Z,1550792636.09159
11.046,21.88470894,-159.5275304,2019-02-21T23:43:52.000Z,1550792636.20398
11.046,21.88470894,-159.5275304,2019-02-21T23:43:53.000Z,1550792636.74868
10.177,21.88471209,-159.527527,2019-02-21T23:43:54.000Z,1550792637.75340
10.177,21.88471209,-159.527527,2019-02-21T23:43:54.000Z,1550792639.08608
11.046,21.88470894,-159.5275304,2019-02-21T23:43:55.000Z,1550792639.19781
11.046,21.88470894,-159.5275304,2019-02-21T23:43:56.000Z,1550792639.82404
11.046,21.88470894,-159.5275304,2019-02-21T23:43:57.000Z,1550792640.74901
11.046,21.88470894,-159.5275304,2019-02-21T23:43:57.000Z,1550792642.09021
11.046,21.88470894,-159.5275304,2019-02-21T23:43:58.000Z,1550792642.20275
11.419,21.88471732,-159.5275304,2019-02-21T23:43:59.000Z,1550792642.74900
10.55,21.88472047,-159.527527,2019-02-21T23:44:00.000Z,1550792643.74965
10.55,21.88472047,-159.527527,2019-02-21T23:44:00.000Z,1550792645.08695
10.177,21.88471209,-159.527527,2019-02-21T23:44:01.000Z,1550792645.19957
10.177,21.88471209,-159.527527,2019-02-21T23:44:02.000Z,1550792645.75159
10.177,21.88471209,-159.527527,2019-02-21T23:44:03.000Z,1550792646.74878
10.177,21.88471209,-159.527527,2019-02-21T23:44:03.000Z,1550792648.09159
10.177,21.88471209,-159.527527,2019-02-21T23:44:04.000Z,1550792648.20401
10.55,21.88472047,-159.527527,2019-02-21T23:44:05.000Z,1550792648.74988
10.55,21.88472047,-159.527527,2019-02-21T23:44:06.000Z,1550792649.75281
10.55,21.88472047,-159.527527,2019-02-21T23:44:06.000Z,1550792651.08727
11.419,21.88471732,-159.5275304,2019-02-21T23:44:07.000Z,1550792651.19969
11.419,21.88471732,-159.5275304,2019-02-21T23:44:08.000Z,1550792651.75067
11.419,21.88471732,-159.5275304,2019-02-21T23:44:09.000Z,1550792652.75002
11.419,21.88471732,-159.5275304,2019-02-21T23:44:09.000Z,1550792654.08519
10.55,21.88472047,-159.527527,2019-02-21T23:44:10.000Z,1550792654.19779
10.55,21.88472047,-159.527527,2019-02-21T23:44:11.000Z,1550792654.82312
10.55,21.88472047,-159.527527,2019-02-21T23:44:12.000Z,1550792655.75276
10.55,21.88472047,-159.527527,2019-02-21T23:44:12.000Z,1550792657.08576
10.55,21.88472047,-159.527527,2019-02-21T23:44:13.000Z,1550792657.19826
10.55,21.88472047,-159.527527,2019-02-21T23:44:14.000Z,1550792657.75045
10.55,21.88472047,-159.527527,2019-02-21T23:44:15.000Z,1550792658.74880
10.55,21.88472047,-159.527527,2019-02-21T23:44:15.000Z,1550792660.08973
10.55,21.88472047,-159.527527,2019-02-21T23:44:16.000Z,1550792660.20029
10.177,21.88471209,-159.527527,2019-02-21T23:44:17.000Z,1550792660.74854
10.177,21.88471209,-159.527527,2019-02-21T23:44:18.000Z,1550792661.75448
10.177,21.88471209,-159.527527,2019-02-21T23:44:18.000Z,1550792663.08545
10.55,21.88472047,-159.527527,2019-02-21T23:44:19.000Z,1550792663.19616
10.55,21.88472047,-159.527527,2019-02-21T23:44:20.000Z,1550792663.74820
10.55,21.88472047,-159.527527,2019-02-21T23:44:21.000Z,1550792664.75238
10.55,21.88472047,-159.527527,2019-02-21T23:44:21.000Z,1550792666.08773
10.55,21.88472047,-159.527527,2019-02-21T23:44:22.000Z,1550792666.20028
12.116,21.88472452,-159.5275213,2019-02-21T23:44:23.000Z,1550792666.75320
