alx,b,Deg.C,depth_m,dt,g,kPa,r,w,wlx,ts
11769.5,3967.5,36.43,0.0125433,2019-02-21T13:43:43.155869,6851.7,104.332,6910.4,13503.6,35161.6,1550792627.58560
11762.7,3968.2,36.435,0.01801855,2019-02-21T13:43:44.560165,6855.5,104.387,6916.4,13503.6,35140.3,1550792628.98990
11749.3,3963.7,36.44,0.01383745,2019-02-21T13:43:45.964273,6840.7,104.345,6910.6,13500.9,35087.2,1550792630.39402
11759.4,3962.4,36.445,0.0131406,2019-02-21T13:43:47.369008,6836.6,104.338,6915.9,13500.4,35193.5,1550792631.79875
11708.9,3961.7,36.447,0.00985545,2019-02-21T13:43:48.778875,6834.1,104.305,6914.4,13498.9,35087.2,1550792633.20862
11732.4,3961.7,36.455,0.01981045,2019-02-21T13:43:50.184588,6844.9,104.405,6903.8,13496.3,34949.5,1550792634.61433
11745.9,3961.4,36.459,0.01622665,2019-02-21T13:43:51.589255,6845.2,104.369,6907.9,13499.1,34907.2,1550792636.01899
11749.3,3962.2,36.468,0.0151316,2019-02-21T13:43:52.995139,6850.7,104.358,6932.5,13505.4,34949.5,1550792637.42488
11752.6,3958.2,36.476,0.0105523,2019-02-21T13:43:54.399906,6852.2,104.312,6895.3,13488.8,34865,1550792638.82965
11752.6,3957.2,36.483,0.0157289,2019-02-21T13:43:55.810298,6841.2,104.364,6905.1,13495.3,34991.8,1550792640.24004
11712.3,3960.9,36.487,0.01463385,2019-02-21T13:43:57.216035,6851.5,104.353,6906.1,13497.8,35034.1,1550792641.64578
11762.7,3957.7,36.493,0.01224465,2019-02-21T13:43:58.626905,6842.9,104.329,6908.4,13487.5,34907.2,1550792643.05664
11722.4,3956.7,36.502,0.01264285,2019-02-21T13:44:00.032612,6839.4,104.333,6906.4,13486,34917.8,1550792644.46235
11715.6,3954.9,36.508,0.01443475,2019-02-21T13:44:01.441062,6836.4,104.351,6905.8,13490.8,34801.8,1550792645.87080
11742.5,3953.9,36.506,0.013937,2019-02-21T13:44:02.850404,6833.9,104.346,6897.3,13485.5,34991.8,1550792647.28014
11749.3,3952.6,36.515,0.00866085,2019-02-21T13:44:04.256242,6834.6,104.293,6888.5,13483.5,34833.4,1550792648.68598
11739.2,3951.4,36.517,0.0137379,2019-02-21T13:44:05.666491,6835.9,104.344,6894.3,13485,34981.2,1550792650.09623
11732.4,3952.9,36.518,0.0207064,2019-02-21T13:44:07.071148,6841.4,104.414,6894.8,13481.5,34928.3,1550792651.50089
11739.2,3954.9,36.518,0.0103532,2019-02-21T13:44:08.478562,6834.1,104.31,6896.3,13482.5,34780.8,1550792652.90830
11729.1,3956.2,36.514,0.01662485,2019-02-21T13:44:09.893035,6837.1,104.373,6900.8,13486.8,34875.6,1550792654.32277
11735.8,3954.1,36.516,0.01443475,2019-02-21T13:44:11.299112,6835.1,104.351,6900.3,13485.5,34833.4,1550792655.72885
11725.7,3954.1,36.521,0.0177199,2019-02-21T13:44:12.708804,6839.9,104.384,6907.9,13489.8,34833.4,1550792657.13854
11742.5,3951.6,36.518,0.0173217,2019-02-21T13:44:14.114226,6826.3,104.38,6896.3,13478.2,34833.4,1550792658.54396
11742.5,3952.9,36.52,0.01602755,2019-02-21T13:44:15.518590,6839.2,104.367,6898.8,13480.2,34854.5,1550792659.94832
11769.5,3948.4,36.525,0.01742125,2019-02-21T13:44:16.929465,6822,104.381,6889.2,13479.5,34675.8,1550792661.35920
11752.6,3950.9,36.529,0.0111496,2019-02-21T13:44:18.339747,6831.1,104.318,6898.8,13479.7,34854.5,1550792662.76948
11698.9,3949.6,36.533,0.01403655,2019-02-21T13:44:19.750447,6822,104.347,6895.3,13481.7,34886.1,1550792664.18017
11745.9,3949.4,36.537,0.0135388,2019-02-21T13:44:21.157783,6838.9,104.342,6887,13475.2,34770.3,1550792665.58752
11719,3948.6,36.543,0.0183172,2019-02-21T13:44:22.562977,6827.1,104.39,6895.3,13471.7,34843.9,1550792666.99272
11735.8,3950.1,36.547,0.01762035,2019-02-21T13:44:23.969126,6832.1,104.383,6897,13483.8,34686.3,1550792668.39886
11756,3947.9,36.554,0.02020865,2019-02-21T13:44:25.374340,6827.1,104.409,6891.8,13474.7,34865,1550792669.80408
11725.7,3947.1,36.558,0.0193127,2019-02-21T13:44:26.784319,6823.8,104.4,6887.2,13478,34696.8,1550792671.21406
11766.1,3944.8,36.564,0.0183172,2019-02-21T13:44:28.189536,6823.8,104.39,6885.7,13470.9,34886.1,1550792672.61927
11772.8,3946.6,36.564,0.0121451,2019-02-21T13:44:29.594024,6828.8,104.328,6888.7,13473.2,35023.5,1550792674.02376
11715.6,3946.1,36.57,0.0205073,2019-02-21T13:44:30.998583,6833.1,104.412,6879.7,13469.7,34886.1,1550792675.42832
