p_int,rh_int,t_int,ts
107.131,10.52,29.838,1550796628.746318
107.144,10.52,29.846,1550796639.2910833
107.163,10.52,29.871,1550796649.8109553
107.175,10.51,29.878,1550796660.3277612
107.19,10.51,29.887,1550796670.8428526
107.205,10.5,29.896,1550796681.3583076
107.227,10.5,29.903,1550796691.892696
107.245,10.5,29.915,1550796702.429359
107.267,10.5,29.938,1550796712.9421585
107.289,10.48,29.947,1550796723.5212295
107.317,10.49,29.971,1550796734.0549276
107.338,10.49,29.984,1550796744.5551982
107.366,10.48,30.014,1550796755.034726
107.398,10.48,30.034,1550796765.5423172
107.424,10.48,30.041,1550796776.077295
107.455,10.47,30.067,1550796786.615406
107.484,10.47,30.09,1550796797.1613169
107.514,10.47,30.11,1550796807.6925213
107.547,10.47,30.14,1550796818.2159002
107.579,10.46,30.168,1550796828.7324977
107.606,10.47,30.196,1550796839.2384005
107.645,10.46,30.225,1550796849.7674997
107.68,10.46,30.258,1550796860.2813983
107.713,10.45,30.299,1550796870.775949
107.747,10.45,30.314,1550796881.324834
107.785,10.46,30.364,1550796891.8433836
107.824,10.46,30.389,1550796902.3985262
107.861,10.45,30.434,1550796912.9345143
107.901,10.45,30.483,1550796923.456493
107.937,10.45,30.532,1550796933.9722948
107.979,10.45,30.578,1550796944.445399
108.02,10.43,30.622,1550796954.9903882
108.058,10.44,30.669,1550796965.5235238
108.094,10.44,30.723,1550796976.0625434
108.135,10.44,30.771,1550796986.594492
108.174,10.44,30.821,1550796997.124164
108.21,10.44,30.866,1550797007.642875
108.248,10.44,30.92,1550797018.1735468
108.294,10.45,30.989,1550797028.6743128
108.333,10.44,31.036,1550797039.2069223
108.371,10.45,31.093,1550797049.73831
108.413,10.45,31.165,1550797060.2395313
108.455,10.45,31.218,1550797070.7712963
108.5,10.47,31.286,1550797081.3035688
108.542,10.46,31.356,1550797091.836486
108.579,10.47,31.421,1550797102.3405418
108.624,10.47,31.49,1550797112.8419712
108.665,10.47,31.565,1550797123.3387446
108.704,10.47,31.628,1550797133.8587267
108.746,10.48,31.695,1550797144.379573
108.788,10.48,31.756,1550797154.923762
108.823,10.48,31.824,1550797165.450305
108.861,10.47,31.899,1550797175.937335
108.887,10.48,31.968,1550797186.4707844
108.915,10.49,32.045,1550797196.9885728
108.942,10.49,32.111,1550797207.519985
108.971,10.5,32.191,1550797218.0196695
108.995,10.5,32.261,1550797228.5444942
109.014,10.49,32.335,1550797239.0573716
109.036,10.49,32.409,1550797249.5843592
109.056,10.49,32.489,1550797260.0937393
109.081,10.49,32.563,1550797270.6260953
109.1,10.48,32.638,1550797281.121848
109.12,10.49,32.701,1550797291.6479568
109.143,10.48,32.777,1550797302.176444
109.153,10.48,32.856,1550797312.6953127
109.174,10.49,32.935,1550797323.2184913
109.192,10.49,33.019,1550797333.7364035
109.21,10.48,33.094,1550797344.2623026
109.231,10.48,33.142,1550797354.7471883
109.251,10.48,33.229,1550797365.2781422
109.265,10.47,33.309,1550797375.7827644
109.284,10.46,33.379,1550797386.3161514
109.299,10.46,33.43,1550797396.862634
109.318,10.45,33.51,1550797407.406221
109.338,10.44,33.585,1550797417.9407651
109.358,10.43,33.66,1550797428.445253
109.381,10.42,33.731,1550797438.9753938
