alt,lat,long,ts_gps,ts
16.319,21.88474821,-159.5275009,2019-02-22T00:50:18.000Z,1550796621.85372
16.319,21.88474821,-159.5275009,2019-02-22T00:50:18.000Z,1550796623.18996
16.319,21.88474821,-159.5275009,2019-02-22T00:50:19.000Z,1550796623.30249
16.319,21.88474821,-159.5275009,2019-02-22T00:50:20.000Z,1550796623.85336
16.319,21.88474821,-159.5275009,2019-02-22T00:50:21.000Z,1550796624.85277
16.319,21.88474821,-159.5275009,2019-02-22T00:50:21.000Z,1550796626.20787
15.995,21.88474938,-159.5275099,2019-02-22T00:50:22.000Z,1550796626.32041
15.995,21.88474938,-159.5275099,2019-02-22T00:50:23.000Z,1550796626.85244
15.995,21.88474938,-159.5275099,2019-02-22T00:50:24.000Z,1550796627.85341
15.995,21.88474938,-159.5275099,2019-02-22T00:50:24.000Z,1550796629.18988
15.995,21.88474938,-159.5275099,2019-02-22T00:50:25.000Z,1550796629.30244
15.995,21.88474938,-159.5275099,2019-02-22T00:50:26.000Z,1550796629.92824
15.995,21.88474938,-159.5275099,2019-02-22T00:50:27.000Z,1550796630.85387
15.995,21.88474938,-159.5275099,2019-02-22T00:50:27.000Z,1550796632.18898
15.995,21.88474938,-159.5275099,2019-02-22T00:50:28.000Z,1550796632.30179
15.995,21.88474938,-159.5275099,2019-02-22T00:50:29.000Z,1550796632.85738
16.368,21.88475776,-159.5275099,2019-02-22T00:50:30.000Z,1550796633.85365
16.368,21.88475776,-159.5275099,2019-02-22T00:50:30.000Z,1550796635.18941
16.368,21.88475776,-159.5275099,2019-02-22T00:50:31.000Z,1550796635.30193
16.692,21.88475659,-159.5275009,2019-02-22T00:50:32.000Z,1550796635.85407
16.692,21.88475659,-159.5275009,2019-02-22T00:50:33.000Z,1550796636.85409
16.692,21.88475659,-159.5275009,2019-02-22T00:50:33.000Z,1550796638.19021
16.692,21.88475659,-159.5275009,2019-02-22T00:50:34.000Z,1550796638.30276
16.692,21.88475659,-159.5275009,2019-02-22T00:50:35.000Z,1550796638.85234
16.692,21.88475659,-159.5275009,2019-02-22T00:50:36.000Z,1550796639.85306
16.692,21.88475659,-159.5275009,2019-02-22T00:50:36.000Z,1550796641.18938
16.692,21.88475659,-159.5275009,2019-02-22T00:50:37.000Z,1550796641.30186
16.692,21.88475659,-159.5275009,2019-02-22T00:50:38.000Z,1550796641.85266
16.692,21.88475659,-159.5275009,2019-02-22T00:50:39.000Z,1550796642.85278
16.692,21.88475659,-159.5275009,2019-02-22T00:50:39.000Z,1550796644.19048
16.319,21.88474821,-159.5275009,2019-02-22T00:50:40.000Z,1550796644.30308
16.319,21.88474821,-159.5275009,2019-02-22T00:50:41.000Z,1550796644.92813
16.644,21.88474703,-159.5274918,2019-02-22T00:50:42.000Z,1550796645.85659
16.644,21.88474703,-159.5274918,2019-02-22T00:50:42.000Z,1550796647.19072
16.644,21.88474703,-159.5274918,2019-02-22T00:50:43.000Z,1550796647.30323
16.644,21.88474703,-159.5274918,2019-02-22T00:50:44.000Z,1550796647.85306
16.644,21.88474703,-159.5274918,2019-02-22T00:50:45.000Z,1550796648.85264
16.644,21.88474703,-159.5274918,2019-02-22T00:50:45.000Z,1550796650.18975
16.644,21.88474703,-159.5274918,2019-02-22T00:50:46.000Z,1550796650.30234
17.513,21.88474387,-159.5274952,2019-02-22T00:50:47.000Z,1550796650.85368
17.513,21.88474387,-159.5274952,2019-02-22T00:50:48.000Z,1550796651.85266
17.513,21.88474387,-159.5274952,2019-02-22T00:50:48.000Z,1550796653.18985
17.513,21.88474387,-159.5274952,2019-02-22T00:50:49.000Z,1550796653.30218
17.513,21.88474387,-159.5274952,2019-02-22T00:50:50.000Z,1550796653.85429
17.513,21.88474387,-159.5274952,2019-02-22T00:50:51.000Z,1550796654.85379
17.513,21.88474387,-159.5274952,2019-02-22T00:50:51.000Z,1550796656.19081
17.886,21.88475225,-159.5274952,2019-02-22T00:50:52.000Z,1550796656.30345
17.886,21.88475225,-159.5274952,2019-02-22T00:50:53.000Z,1550796656.85298
17.886,21.88475225,-159.5274952,2019-02-22T00:50:54.000Z,1550796657.85265
17.886,21.88475225,-159.5274952,2019-02-22T00:50:54.000Z,1550796659.18916
17.886,21.88475225,-159.5274952,2019-02-22T00:50:55.000Z,1550796659.30249
17.341,21.88475423,-159.5274827,2019-02-22T00:50:56.000Z,1550796659.92733
17.341,21.88475423,-159.5274827,2019-02-22T00:50:57.000Z,1550796660.85324
17.341,21.88475423,-159.5274827,2019-02-22T00:50:57.000Z,1550796662.18958
17.341,21.88475423,-159.5274827,2019-02-22T00:50:58.000Z,1550796662.30216
17.341,21.88475423,-159.5274827,2019-02-22T00:50:59.000Z,1550796662.85287
17.341,21.88475423,-159.5274827,2019-02-22T00:51:00.000Z,1550796663.86881
17.341,21.88475423,-159.5274827,2019-02-22T00:51:00.000Z,1550796665.18991
17.341,21.88475423,-159.5274827,2019-02-22T00:51:01.000Z,1550796665.30244
17.666,21.88475305,-159.5274737,2019-02-22T00:51:02.000Z,1550796665.85492
17.666,21.88475305,-159.5274737,2019-02-22T00:51:03.000Z,1550796666.86926
17.666,21.88475305,-159.5274737,2019-02-22T00:51:03.000Z,1550796668.19081
18.039,21.88476143,-159.5274737,2019-02-22T00:51:04.000Z,1550796668.30257
18.039,21.88476143,-159.5274737,2019-02-22T00:51:05.000Z,1550796668.85447
18.039,21.88476143,-159.5274737,2019-02-22T00:51:06.000Z,1550796669.85344
18.039,21.88476143,-159.5274737,2019-02-22T00:51:06.000Z,1550796671.18987
16.845,21.88476577,-159.5274793,2019-02-22T00:51:07.000Z,1550796671.30247
16.845,21.88476577,-159.5274793,2019-02-22T00:51:08.000Z,1550796671.85335
16.845,21.88476577,-159.5274793,2019-02-22T00:51:09.000Z,1550796672.85436
16.845,21.88476577,-159.5274793,2019-02-22T00:51:09.000Z,1550796674.18958
17.714,21.88476261,-159.5274827,2019-02-22T00:51:10.000Z,1550796674.30205
17.714,21.88476261,-159.5274827,2019-02-22T00:51:11.000Z,1550796674.92742
17.714,21.88476261,-159.5274827,2019-02-22T00:51:12.000Z,1550796675.85338
17.714,21.88476261,-159.5274827,2019-02-22T00:51:12.000Z,1550796677.20627
17.714,21.88476261,-159.5274827,2019-02-22T00:51:13.000Z,1550796677.31864
17.714,21.88476261,-159.5274827,2019-02-22T00:51:14.000Z,1550796677.85462
17.714,21.88476261,-159.5274827,2019-02-22T00:51:15.000Z,1550796678.85285
17.714,21.88476261,-159.5274827,2019-02-22T00:51:15.000Z,1550796680.18893
17.714,21.88476261,-159.5274827,2019-02-22T00:51:16.000Z,1550796680.30149
17.714,21.88476261,-159.5274827,2019-02-22T00:51:17.000Z,1550796680.85242
17.714,21.88476261,-159.5274827,2019-02-22T00:51:18.000Z,1550796681.85246
17.714,21.88476261,-159.5274827,2019-02-22T00:51:18.000Z,1550796683.18876
17.341,21.88475423,-159.5274827,2019-02-22T00:51:19.000Z,1550796683.30174
17.341,21.88475423,-159.5274827,2019-02-22T00:51:20.000Z,1550796683.85236
17.341,21.88475423,-159.5274827,2019-02-22T00:51:21.000Z,1550796684.85413
17.341,21.88475423,-159.5274827,2019-02-22T00:51:21.000Z,1550796686.19037
17.341,21.88475423,-159.5274827,2019-02-22T00:51:22.000Z,1550796686.30341
17.341,21.88475423,-159.5274827,2019-02-22T00:51:23.000Z,1550796686.85274
17.341,21.88475423,-159.5274827,2019-02-22T00:51:24.000Z,1550796687.85221
17.341,21.88475423,-159.5274827,2019-02-22T00:51:24.000Z,1550796689.19010
17.341,21.88475423,-159.5274827,2019-02-22T00:51:25.000Z,1550796689.30252
16.472,21.88475738,-159.5274793,2019-02-22T00:51:26.000Z,1550796689.92784
16.472,21.88475738,-159.5274793,2019-02-22T00:51:27.000Z,1550796690.85252
16.472,21.88475738,-159.5274793,2019-02-22T00:51:27.000Z,1550796692.18918
16.472,21.88475738,-159.5274793,2019-02-22T00:51:28.000Z,1550796692.30202
16.472,21.88475738,-159.5274793,2019-02-22T00:51:29.000Z,1550796692.85255
16.472,21.88475738,-159.5274793,2019-02-22T00:51:30.000Z,1550796693.85198
16.472,21.88475738,-159.5274793,2019-02-22T00:51:30.000Z,1550796695.18935
16.472,21.88475738,-159.5274793,2019-02-22T00:51:31.000Z,1550796695.30240
16.472,21.88475738,-159.5274793,2019-02-22T00:51:32.000Z,1550796695.85402
16.472,21.88475738,-159.5274793,2019-02-22T00:51:33.000Z,1550796696.85373
16.472,21.88475738,-159.5274793,2019-02-22T00:51:33.000Z,1550796698.19161
16.472,21.88475738,-159.5274793,2019-02-22T00:51:34.000Z,1550796698.30441
16.472,21.88475738,-159.5274793,2019-02-22T00:51:35.000Z,1550796698.85613
16.472,21.88475738,-159.5274793,2019-02-22T00:51:36.000Z,1550796699.85399
16.472,21.88475738,-159.5274793,2019-02-22T00:51:36.000Z,1550796701.19208
16.472,21.88475738,-159.5274793,2019-02-22T00:51:37.000Z,1550796701.30338
16.472,21.88475738,-159.5274793,2019-02-22T00:51:38.000Z,1550796701.85774
16.472,21.88475738,-159.5274793,2019-02-22T00:51:39.000Z,1550796702.85423
16.472,21.88475738,-159.5274793,2019-02-22T00:51:39.000Z,1550796704.19068
16.472,21.88475738,-159.5274793,2019-02-22T00:51:40.000Z,1550796704.30325
16.472,21.88475738,-159.5274793,2019-02-22T00:51:41.000Z,1550796704.92811
16.472,21.88475738,-159.5274793,2019-02-22T00:51:42.000Z,1550796705.85296
16.472,21.88475738,-159.5274793,2019-02-22T00:51:42.000Z,1550796707.19075
16.472,21.88475738,-159.5274793,2019-02-22T00:51:43.000Z,1550796707.30330
16.472,21.88475738,-159.5274793,2019-02-22T00:51:44.000Z,1550796707.85305
16.472,21.88475738,-159.5274793,2019-02-22T00:51:45.000Z,1550796708.85373
16.472,21.88475738,-159.5274793,2019-02-22T00:51:45.000Z,1550796710.20871
16.472,21.88475738,-159.5274793,2019-02-22T00:51:46.000Z,1550796710.32143
16.472,21.88475738,-159.5274793,2019-02-22T00:51:47.000Z,1550796710.85463
16.472,21.88475738,-159.5274793,2019-02-22T00:51:48.000Z,1550796711.85289
16.472,21.88475738,-159.5274793,2019-02-22T00:51:48.000Z,1550796713.19086
16.472,21.88475738,-159.5274793,2019-02-22T00:51:49.000Z,1550796713.30335
16.472,21.88475738,-159.5274793,2019-02-22T00:51:50.000Z,1550796713.85419
16.472,21.88475738,-159.5274793,2019-02-22T00:51:51.000Z,1550796714.87111
16.472,21.88475738,-159.5274793,2019-02-22T00:51:51.000Z,1550796716.18993
16.472,21.88475738,-159.5274793,2019-02-22T00:51:52.000Z,1550796716.30273
16.472,21.88475738,-159.5274793,2019-02-22T00:51:53.000Z,1550796716.87054
16.472,21.88475738,-159.5274793,2019-02-22T00:51:54.000Z,1550796717.85335
16.472,21.88475738,-159.5274793,2019-02-22T00:51:54.000Z,1550796719.18958
16.472,21.88475738,-159.5274793,2019-02-22T00:51:55.000Z,1550796719.30243
17.341,21.88475423,-159.5274827,2019-02-22T00:51:56.000Z,1550796719.92779
17.341,21.88475423,-159.5274827,2019-02-22T00:51:57.000Z,1550796720.85403
17.341,21.88475423,-159.5274827,2019-02-22T00:51:57.000Z,1550796722.19092
17.341,21.88475423,-159.5274827,2019-02-22T00:51:58.000Z,1550796722.30336
17.341,21.88475423,-159.5274827,2019-02-22T00:51:59.000Z,1550796722.85398
17.341,21.88475423,-159.5274827,2019-02-22T00:52:00.000Z,1550796723.85387
17.341,21.88475423,-159.5274827,2019-02-22T00:52:00.000Z,1550796725.18987
17.341,21.88475423,-159.5274827,2019-02-22T00:52:01.000Z,1550796725.30204
17.341,21.88475423,-159.5274827,2019-02-22T00:52:02.000Z,1550796725.85337
