AirSaturation,O2Concentration,SN,Temperature,ts
100.122,258.983,831,24.846,1550808975.295402
100.046,258.788,831,24.846,1550808976.584365
100.166,259.101,831,24.846,1550808977.8785865
100.108,258.953,831,24.845,1550808979.1708574
100.073,258.865,831,24.845,1550808980.4615517
100.071,258.862,831,24.844,1550808981.757741
100.044,258.793,831,24.844,1550808983.0466347
100.224,259.26,831,24.844,1550808984.334682
100.436,259.811,831,24.843,1550808985.6388185
100.497,259.97,831,24.843,1550808986.9276345
100.169,259.124,831,24.842,1550808988.2218108
100.268,259.382,831,24.842,1550808989.524506
99.972,258.618,831,24.842,1550808990.816731
99.742,258.025,831,24.841,1550808992.1100986
100.339,259.569,831,24.841,1550808993.3990583
100.08,258.904,831,24.84,1550808994.7001805
99.784,258.139,831,24.84,1550808995.9879258
100.07,258.882,831,24.84,1550808997.2822
100.198,259.214,831,24.839,1550808998.6176991
100.081,258.915,831,24.838,1550808999.915226
100.335,259.574,831,24.838,1550809001.2105563
99.974,258.643,831,24.837,1550809002.5019078
100.118,259.019,831,24.837,1550809003.7954302
100.1,258.973,831,24.836,1550809005.0975978
100.337,259.592,831,24.836,1550809006.4093685
100.203,259.247,831,24.835,1550809007.7023273
100.012,258.755,831,24.835,1550809008.9913337
100.046,258.845,831,24.834,1550809010.2844932
99.821,258.267,831,24.833,1550809011.6047144
100.335,259.6,831,24.833,1550809012.9095347
100.042,258.845,831,24.832,1550809014.201229
100.306,259.53,831,24.832,1550809015.48952
99.953,258.619,831,24.831,1550809016.7877998
99.975,258.678,831,24.831,1550809018.0754046
99.986,258.709,831,24.83,1550809019.3735409
100.154,259.146,831,24.83,1550809020.6685507
100.216,259.307,831,24.829,1550809021.9736948
100.108,259.032,831,24.829,1550809023.317596
100.204,259.281,831,24.828,1550809024.6401713
100.233,259.359,831,24.828,1550809025.964706
100.161,259.175,831,24.827,1550809027.268638
100.17,259.198,831,24.827,1550809028.5621438
100.08,258.969,831,24.827,1550809029.867542
100.128,259.094,831,24.826,1550809031.1607006
99.894,258.489,831,24.826,1550809032.4565172
100.15,259.155,831,24.826,1550809033.749842
100.276,259.481,831,24.825,1550809035.04291
100.18,259.235,831,24.825,1550809036.332191
100.005,258.783,831,24.825,1550809037.6319993
100.154,259.17,831,24.824,1550809038.921009
99.773,258.186,831,24.824,1550809040.2088723
99.789,258.231,831,24.824,1550809041.5010264
100.001,258.781,831,24.823,1550809042.7947702
99.847,258.383,831,24.823,1550809044.0943072
100.201,259.301,831,24.822,1550809045.3871627
100.082,258.997,831,24.822,1550809046.6762903
100.194,259.288,831,24.821,1550809047.9682448
100.392,259.803,831,24.821,1550809049.2637897
100.099,259.048,831,24.82,1550809050.5690165
100.085,259.013,831,24.82,1550809051.8613324
100.177,259.254,831,24.819,1550809053.1535726
100.218,259.364,831,24.819,1550809054.4463823
100.227,259.389,831,24.818,1550809055.7424579
100.129,259.137,831,24.818,1550809057.0441306
99.908,258.568,831,24.817,1550809058.3322449
100.017,258.853,831,24.817,1550809059.6244495
100.417,259.889,831,24.816,1550809060.9225273
100.056,258.957,831,24.816,1550809062.2085214
99.993,258.798,831,24.816,1550809063.5056105
100.217,259.378,831,24.815,1550809064.7979488
99.9,258.561,831,24.815,1550809066.0894942
100.219,259.387,831,24.814,1550809067.3835673
100.238,259.44,831,24.814,1550809068.6766057
99.944,258.681,831,24.813,1550809069.9743927
100.004,258.838,831,24.813,1550809071.2668276
100.281,259.556,831,24.812,1550809072.5627513
99.993,258.814,831,24.812,1550809073.8695447
100.01,258.861,831,24.812,1550809075.1629095
99.849,258.446,831,24.811,1550809076.4575489
100.371,259.799,831,24.811,1550809077.7547681
100.175,259.293,831,24.81,1550809079.043957
100.434,259.966,831,24.81,1550809080.334912
100.012,258.876,831,24.809,1550809081.6269968
99.943,258.698,831,24.809,1550809082.9936523
99.942,258.701,831,24.808,1550809084.3325927
100.12,259.163,831,24.808,1550809085.6656945
100.231,259.453,831,24.807,1550809086.9784784
100.123,259.176,831,24.807,1550809088.2782624
100.007,258.879,831,24.806,1550809089.5824175
100.011,258.891,831,24.806,1550809090.876361
100.048,258.99,831,24.805,1550809092.1702874
100.005,258.881,831,24.804,1550809093.4583414
99.968,258.789,831,24.804,1550809094.7609444
99.908,258.635,831,24.803,1550809096.05111
100.184,259.353,831,24.803,1550809097.3473723
100.135,259.231,831,24.802,1550809098.6404064
100.023,258.943,831,24.801,1550809099.9300275
99.934,258.716,831,24.801,1550809101.221436
99.81,258.398,831,24.8,1550809102.513467
100.203,259.418,831,24.799,1550809103.8165486
99.922,258.694,831,24.799,1550809105.1043622
100.2,259.415,831,24.798,1550809106.3937151
99.964,258.809,831,24.797,1550809107.6857789
100.114,259.201,831,24.797,1550809108.984013
100.323,259.746,831,24.796,1550809110.2778451
99.732,258.22,831,24.795,1550809111.56982
99.801,258.402,831,24.794,1550809112.8578546
100.289,259.669,831,24.794,1550809114.1468031
100.238,259.54,831,24.793,1550809115.444308
