p,rh,t,ts
101.385,53.22,30.402,1550808974.93765
101.386,53.22,30.398,1550808977.40243
101.387,53.29,30.394,1550808979.87416
101.391,53.31,30.395,1550808982.34139
101.385,53.26,30.392,1550808984.80885
101.389,53.22,30.388,1550808987.26664
101.387,53.2,30.382,1550808989.73378
101.39,53.22,30.381,1550808992.19938
101.386,53.26,30.376,1550808994.66112
101.386,53.31,30.378,1550808997.12818
101.39,53.32,30.377,1550808999.59579
101.387,53.27,30.373,1550809002.05978
101.388,53.16,30.374,1550809004.52746
101.39,53.1,30.372,1550809006.99063
101.39,53.06,30.369,1550809009.45005
101.39,53.04,30.367,1550809011.91823
101.386,53.03,30.36,1550809014.38569
101.388,53.03,30.36,1550809016.85398
101.389,53.04,30.363,1550809019.32206
101.39,53.03,30.359,1550809021.78984
101.388,53.08,30.362,1550809024.24980
101.387,53.13,30.357,1550809026.72040
101.384,53.23,30.352,1550809029.18911
101.391,53.28,30.349,1550809031.65988
101.388,53.31,30.345,1550809034.12880
101.39,53.41,30.343,1550809036.59675
101.389,53.54,30.341,1550809039.06515
101.39,53.63,30.332,1550809041.53376
101.39,53.82,30.331,1550809044.00101
101.391,53.91,30.331,1550809046.46829
101.392,53.89,30.331,1550809048.93534
101.391,53.83,30.331,1550809051.40315
101.39,53.81,30.325,1550809053.87067
101.39,53.81,30.325,1550809056.33791
101.393,53.8,30.325,1550809058.80516
101.393,53.77,30.32,1550809061.27225
101.392,53.7,30.326,1550809063.73932
101.391,53.66,30.326,1550809066.20652
101.388,53.68,30.321,1550809068.66957
101.388,53.89,30.321,1550809071.13777
101.389,54.04,30.322,1550809073.59979
101.389,54.19,30.323,1550809076.06698
101.389,54.24,30.321,1550809078.53131
101.389,54.16,30.312,1550809080.99863
101.392,54.13,30.312,1550809083.46886
101.39,54.07,30.313,1550809085.93148
101.39,54.06,30.311,1550809088.39894
101.39,54.13,30.317,1550809090.86622
101.39,54.22,30.314,1550809093.33368
101.39,54.14,30.316,1550809095.80234
101.387,54.03,30.304,1550809098.27051
101.39,54.06,30.306,1550809100.73852
101.392,54.09,30.302,1550809103.20665
101.391,54.06,30.292,1550809105.67492
101.387,54.05,30.289,1550809108.14286
101.389,54.07,30.286,1550809110.61073
101.392,54.07,30.287,1550809113.07850
101.392,54.06,30.287,1550809115.54641
101.39,54.05,30.276,1550809118.01494
101.391,54.07,30.276,1550809120.48286
101.391,54.07,30.266,1550809122.95151
101.392,54.07,30.263,1550809125.41992
101.392,53.97,30.262,1550809127.88807
101.392,53.88,30.258,1550809130.35045
101.392,53.82,30.257,1550809132.81840
101.39,53.82,30.253,1550809135.28612
101.392,53.83,30.252,1550809137.75418
101.391,53.85,30.254,1550809140.22182
101.39,53.9,30.251,1550809142.69000
101.387,53.94,30.246,1550809145.15751
101.39,53.92,30.244,1550809147.61801
101.389,53.87,30.241,1550809150.08582
101.39,53.85,30.241,1550809152.55543
101.392,53.81,30.242,1550809155.02293
101.391,53.78,30.236,1550809157.49553
101.389,53.75,30.239,1550809159.96278
101.391,53.74,30.238,1550809162.42974
101.392,53.79,30.237,1550809164.89685
101.389,53.85,30.236,1550809167.36406
101.39,53.87,30.239,1550809169.83124
101.392,53.87,30.241,1550809172.29849
101.391,53.88,30.239,1550809174.76572
101.392,53.93,30.238,1550809177.23316
101.393,53.97,30.237,1550809179.70561
101.391,54.02,30.24,1550809182.17303
101.392,54.11,30.24,1550809184.64062
101.39,54.18,30.24,1550809187.10762
101.393,54.25,30.238,1550809189.57479
101.395,54.38,30.239,1550809192.04222
101.394,54.49,30.24,1550809194.50935
101.395,54.61,30.242,1550809196.97630
101.393,54.74,30.242,1550809199.44355
101.391,54.77,30.243,1550809201.91085
101.394,54.78,30.254,1550809204.37261
101.393,54.81,30.251,1550809206.84066
101.393,54.76,30.252,1550809209.29993
101.392,54.78,30.257,1550809211.75969
101.393,54.86,30.259,1550809214.22822
101.393,55.06,30.261,1550809216.69625
101.394,55.2,30.27,1550809219.16626
101.392,55.16,30.272,1550809221.63408
101.391,55.12,30.272,1550809224.10191
101.394,55.24,30.275,1550809226.56953
101.392,55.4,30.276,1550809229.03699
101.394,55.53,30.281,1550809231.50533
101.391,55.61,30.279,1550809233.97325
101.392,55.61,30.281,1550809236.43995
101.391,55.54,30.283,1550809238.90862
101.391,55.62,30.286,1550809241.37686
101.395,55.71,30.289,1550809243.84625
101.397,55.84,30.29,1550809246.31372
101.394,55.93,30.291,1550809248.78097
101.395,55.96,30.293,1550809251.23972
101.398,56.05,30.295,1550809253.70777
101.397,56.05,30.297,1550809256.17528
101.394,55.98,30.298,1550809258.64562
101.396,55.93,30.299,1550809261.11279
101.393,55.85,30.304,1550809263.58009
101.395,55.71,30.308,1550809266.04719
101.396,55.62,30.307,1550809268.51438
101.397,55.65,30.314,1550809270.97953
101.394,55.52,30.317,1550809273.44676
101.395,55.4,30.317,1550809275.91403
101.398,55.28,30.323,1550809278.37962
101.398,55.14,30.326,1550809280.84795
101.396,54.96,30.321,1550809283.31522
101.396,54.81,30.322,1550809285.78227
101.393,54.68,30.321,1550809288.24935
101.396,54.59,30.323,1550809290.71645
101.395,54.53,30.321,1550809293.18492
101.398,54.48,30.322,1550809295.65314
101.396,54.47,30.323,1550809298.12121
101.397,54.42,30.323,1550809300.58904
101.395,54.33,30.319,1550809303.05694
101.397,54.22,30.317,1550809305.52510
101.395,54.15,30.316,1550809307.99270
101.397,54.13,30.316,1550809310.46001
101.398,54.14,30.315,1550809312.92749
101.399,54.25,30.316,1550809315.39548
101.396,54.41,30.311,1550809317.86359
101.399,54.53,30.313,1550809320.33163
101.398,54.58,30.309,1550809322.79975
101.397,54.61,30.314,1550809325.26738
101.397,54.59,30.31,1550809327.73529
101.398,54.5,30.308,1550809330.20310
101.398,54.43,30.31,1550809332.67076
101.399,54.37,30.31,1550809335.13827
101.399,54.28,30.307,1550809337.60725
101.395,54.2,30.302,1550809340.07441
101.396,54.12,30.303,1550809342.54261
101.398,54.07,30.303,1550809345.01146
101.398,54.05,30.304,1550809347.47972
101.396,54.02,30.299,1550809349.94768
101.401,54.02,30.298,1550809352.41635
101.402,54.06,30.299,1550809354.88335
101.4,54.04,30.3,1550809357.35095
101.399,54,30.294,1550809359.80948
101.398,54.03,30.294,1550809362.27642
101.393,54.15,30.292,1550809364.74668
101.394,54.06,30.292,1550809367.21376
101.398,53.88,30.278,1550809369.68283
101.396,53.78,30.273,1550809372.15667
101.397,53.75,30.261,1550809374.61959
101.398,53.66,30.255,1550809377.08668
101.396,53.53,30.245,1550809379.55386
101.398,53.46,30.24,1550809382.02112
101.395,53.41,30.235,1550809384.48980
101.399,53.33,30.231,1550809386.95827
101.398,53.24,30.218,1550809389.42577
101.396,53.19,30.213,1550809391.89278
101.398,53.2,30.215,1550809394.36041
101.397,53.31,30.21,1550809396.82753
101.399,53.45,30.193,1550809399.29427
101.396,53.54,30.184,1550809401.75220
101.397,53.58,30.158,1550809404.22151
101.398,53.58,30.142,1550809406.68871
101.399,53.55,30.118,1550809409.15569
101.396,53.5,30.104,1550809411.62324
101.396,53.44,30.087,1550809414.08924
101.397,53.41,30.08,1550809416.54983
101.399,53.41,30.072,1550809419.00938
101.396,53.39,30.062,1550809421.47646
101.395,53.34,30.053,1550809423.94357
101.395,53.29,30.05,1550809426.41239
101.394,53.26,30.047,1550809428.87977
101.4,53.26,30.042,1550809431.34758
101.399,53.28,30.042,1550809433.81174
101.399,53.31,30.044,1550809436.27939
101.4,53.32,30.04,1550809438.74952
101.4,53.32,30.037,1550809441.21725
