p_int,rh_int,t_int,ts
111.026,14.35,34.805,1550872158.9653482
111.054,14.34,34.903,1550872169.5020776
111.08,14.33,35.004,1550872180.026874
111.102,14.31,35.095,1550872190.558423
111.128,14.31,35.201,1550872201.0895646
111.15,14.29,35.297,1550872211.6185176
111.177,14.28,35.385,1550872222.1445081
111.201,14.27,35.493,1550872232.6741114
111.222,14.25,35.568,1550872243.1659322
111.244,14.24,35.673,1550872253.6829839
111.273,14.22,35.78,1550872264.2188451
111.297,14.21,35.876,1550872274.7637
111.346,14.17,35.958,1550872285.302919
111.353,14.15,36.035,1550872295.8028927
111.375,14.13,36.149,1550872306.338539
111.394,14.12,36.242,1550872316.848237
111.417,14.11,36.33,1550872327.331112
111.439,14.09,36.424,1550872337.847657
111.471,14.07,36.517,1550872348.3685005
111.492,14.05,36.616,1550872358.9008482
111.513,14.03,36.71,1550872369.424453
111.533,14.0,36.808,1550872379.955323
111.561,13.97,36.888,1550872390.497923
111.571,13.95,36.975,1550872401.0260417
111.594,13.94,37.069,1550872411.5140443
111.614,13.91,37.158,1550872422.0450199
111.63,13.89,37.239,1550872432.5469596
111.652,13.88,37.315,1550872443.0800698
111.658,13.86,37.423,1550872453.6235805
111.679,13.86,37.507,1550872464.1197028
111.693,13.84,37.592,1550872474.6430337
111.716,13.82,37.686,1550872485.1563227
111.74,13.81,37.786,1550872495.6949127
111.768,13.79,37.864,1550872506.2649882
111.791,13.76,37.946,1550872516.8303096
111.815,13.73,38.048,1550872527.347641
111.845,13.71,38.133,1550872537.8831258
111.867,13.67,38.215,1550872548.4198956
111.894,13.63,38.285,1550872558.926206
111.906,13.6,38.381,1550872569.45636
111.919,13.58,38.467,1550872579.942963
111.94,13.56,38.554,1550872590.4284766
111.966,13.54,38.618,1550872600.954921
111.987,13.52,38.705,1550872611.4671686
112.005,13.5,38.781,1550872622.0201979
112.028,13.48,38.866,1550872632.588924
112.046,13.45,38.941,1550872643.1164532
112.062,13.43,39.034,1550872653.6286716
112.081,13.41,39.113,1550872664.1615233
112.101,13.38,39.197,1550872674.7011564
112.118,13.37,39.271,1550872685.2528126
112.139,13.32,39.372,1550872695.7949798
112.153,13.31,39.449,1550872706.3275847
112.166,13.28,39.527,1550872716.8423576
112.189,13.26,39.597,1550872727.372284
112.213,13.22,39.682,1550872737.8829806
112.227,13.18,39.76,1550872748.3974297
112.233,13.14,39.836,1550872758.8939238
112.248,13.11,39.896,1550872769.3776555
112.267,13.08,39.966,1550872779.9030778
112.275,13.04,40.044,1550872790.3925185
112.282,13.01,40.108,1550872800.8971379
112.287,13.0,40.17,1550872811.4276657
112.273,12.98,40.252,1550872821.959029
112.282,12.97,40.329,1550872832.4913375
112.301,12.96,40.415,1550872842.9793525
112.303,13.04,40.457,1550872853.511656
112.486,13.1,40.502,1550872864.0342443
112.574,12.92,40.511,1550872874.5694683
112.611,12.8,40.518,1550872885.0927987
112.629,12.72,40.539,1550872895.6238687
112.642,12.67,40.578,1550872906.1380436
112.648,12.64,40.599,1550872916.6710114
112.642,12.62,40.628,1550872927.196445
112.627,12.6,40.675,1550872937.6981318
112.595,12.58,40.691,1550872948.1797318
112.552,12.57,40.718,1550872958.683747
112.508,12.56,40.748,1550872969.170049
112.456,12.54,40.75,1550872979.6959267
112.4,12.54,40.775,1550872990.191358
112.343,12.52,40.788,1550873000.735924
112.277,12.52,40.797,1550873011.2714987
112.215,12.51,40.821,1550873021.800203
112.152,12.49,40.835,1550873032.3300993
112.084,12.48,40.841,1550873042.8541744
112.022,12.46,40.85,1550873053.3887346
111.951,12.44,40.856,1550873063.8957493
111.883,12.43,40.847,1550873074.435059
111.811,12.42,40.84,1550873084.962942
111.74,12.39,40.845,1550873095.4673324
111.671,12.38,40.838,1550873106.0850916
111.604,12.36,40.833,1550873116.6286294
111.531,12.34,40.81,1550873127.1619987
111.47,12.32,40.798,1550873137.6470385
111.396,12.31,40.772,1550873148.157564
111.34,12.29,40.751,1550873158.6807063
111.272,12.27,40.721,1550873169.2034695
111.21,12.24,40.704,1550873179.6963356
111.151,12.23,40.668,1550873190.211967
111.081,12.21,40.625,1550873200.7420285
111.014,12.19,40.575,1550873211.277517
110.95,12.17,40.517,1550873221.891795
110.901,12.16,40.49,1550873232.4454308
110.838,12.13,40.445,1550873242.9956121
110.778,12.11,40.4,1550873253.4999218
110.724,12.09,40.348,1550873264.024536
110.667,12.07,40.304,1550873274.530193
110.615,12.05,40.246,1550873285.0560858
110.559,12.03,40.186,1550873295.5863278
110.502,12.01,40.132,1550873306.1043262
110.456,11.99,40.077,1550873316.6219237
110.404,11.97,40.023,1550873327.1399453
110.349,11.95,39.958,1550873337.6784635
110.298,11.93,39.893,1550873348.202127
110.253,11.9,39.835,1550873358.7143054
110.203,11.88,39.764,1550873369.229084
110.158,11.88,39.703,1550873379.764656
110.116,11.86,39.642,1550873390.272608
110.063,11.84,39.554,1550873400.8068771
110.026,11.83,39.484,1550873411.3439147
109.989,11.81,39.418,1550873421.869772
109.942,11.8,39.347,1550873432.4100542
109.904,11.78,39.264,1550873442.9381044
109.86,11.77,39.182,1550873453.4596953
109.831,11.75,39.107,1550873463.9814005
109.79,11.74,39.032,1550873474.5183568
109.755,11.72,38.964,1550873485.0355425
109.711,11.72,38.883,1550873495.5716138
109.678,11.7,38.811,1550873506.065907
109.632,11.69,38.73,1550873516.5678837
109.602,11.68,38.634,1550873527.107278
109.551,11.67,38.559,1550873537.6451304
109.517,11.67,38.486,1550873548.1597903
109.483,11.64,38.406,1550873558.6723301
109.451,11.63,38.326,1550873569.177302
109.414,11.63,38.242,1550873579.6678708
109.371,11.62,38.158,1550873590.155502
109.334,11.61,38.066,1550873600.6857312
109.297,11.6,37.977,1550873611.2189198
109.273,11.6,37.897,1550873621.750909
109.23,11.59,37.818,1550873632.28794
109.19,11.58,37.741,1550873642.8476794
109.165,11.58,37.662,1550873653.475895
109.136,11.57,37.578,1550873664.0116155
109.091,11.56,37.491,1550873674.5415912
109.058,11.56,37.412,1550873685.0218587
109.036,11.55,37.315,1550873695.5180392
108.991,11.55,37.238,1550873706.0450797
108.974,11.54,37.166,1550873716.5860841
108.936,11.54,37.076,1550873727.0838797
108.895,11.53,36.992,1550873737.5926926
108.874,11.53,36.925,1550873748.1211612
108.843,11.52,36.84,1550873758.616925
108.827,11.52,36.757,1550873769.1500313
108.786,11.51,36.677,1550873779.6869268
108.76,11.5,36.596,1550873790.2180786
108.724,11.5,36.512,1550873800.750067
108.701,11.49,36.435,1550873811.282983
108.672,11.48,36.352,1550873821.863683
108.657,11.48,36.258,1550873832.4329212
108.627,11.47,36.191,1550873842.9629655
108.59,11.47,36.1,1550873853.4918964
108.568,11.47,36.029,1550873864.0206003
108.551,11.46,35.947,1550873874.5500371
108.512,11.46,35.864,1550873885.0627563
108.487,11.46,35.777,1550873895.5742245
108.48,11.45,35.71,1550873906.1067915
108.44,11.45,35.628,1550873916.6380131
108.413,11.45,35.546,1550873927.1561763
108.399,11.45,35.479,1550873937.696187
108.373,11.44,35.39,1550873948.2233753
108.349,11.44,35.312,1550873958.760123
108.338,11.44,35.227,1550873969.264415
108.315,11.44,35.169,1550873979.80319
108.282,11.44,35.079,1550873990.282902
108.262,11.43,35.022,1550874000.8119693
108.254,11.43,34.948,1550874011.346327
108.218,11.43,34.861,1550874021.8604178
108.204,11.42,34.789,1550874032.4010684
108.189,11.42,34.716,1550874042.9164255
