Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.009,996.379,0.015,1719,1503.257,27.529,1550872149.2758427
-0.01,996.388,0.015,1719,1503.177,27.496,1550872149.992709
-0.01,996.389,0.015,1719,1503.173,27.495,1550872150.712617
-0.01,996.387,0.015,1719,1503.193,27.503,1550872151.4391863
-0.01,996.388,0.015,1719,1503.181,27.498,1550872152.1558206
-0.01,996.379,0.015,1719,1503.258,27.529,1550872152.871898
-0.01,996.355,0.015,1719,1503.475,27.616,1550872153.585687
-0.01,996.384,0.015,1719,1503.213,27.511,1550872154.2995763
-0.009,996.384,0.014,1719,1503.213,27.511,1550872155.016589
-0.01,996.374,0.015,1719,1503.302,27.547,1550872155.7326603
-0.009,996.369,0.015,1719,1503.35,27.566,1550872156.4425693
-0.009,996.381,0.015,1719,1503.241,27.522,1550872157.1631124
-0.009,996.382,0.015,1719,1503.229,27.517,1550872157.8751624
-0.01,996.381,0.015,1719,1503.246,27.524,1550872158.5898404
-0.01,996.366,0.015,1719,1503.378,27.577,1550872159.3268807
-0.009,996.38,0.015,1719,1503.253,27.527,1550872160.0447524
-0.01,996.374,0.015,1719,1503.306,27.548,1550872160.7547843
-0.01,996.381,0.015,1719,1503.245,27.524,1550872161.4727075
-0.01,996.366,0.015,1719,1503.375,27.576,1550872162.1869612
-0.009,996.375,0.015,1719,1503.29,27.542,1550872162.9024603
-0.01,996.363,0.015,1719,1503.403,27.587,1550872163.6201332
-0.01,996.372,0.015,1719,1503.326,27.556,1550872164.3462765
-0.01,996.362,0.015,1719,1503.415,27.592,1550872165.0621316
-0.01,996.354,0.015,1719,1503.479,27.618,1550872165.7923713
-0.01,996.367,0.015,1719,1503.37,27.574,1550872166.5272028
-0.009,996.354,0.015,1719,1503.483,27.62,1550872167.2425406
-0.01,996.371,0.015,1719,1503.334,27.56,1550872167.9832594
-0.01,996.37,0.015,1719,1503.338,27.561,1550872168.6939821
-0.009,996.365,0.015,1719,1503.386,27.581,1550872169.4053168
-0.01,996.367,0.015,1719,1503.366,27.573,1550872170.1212366
-0.01,996.368,0.015,1719,1503.354,27.568,1550872170.8375108
-0.01,996.341,0.015,1719,1503.6,27.667,1550872171.5531433
-0.01,996.367,0.015,1719,1503.371,27.574,1550872172.2922904
-0.009,996.363,0.015,1719,1503.398,27.586,1550872173.0032177
-0.01,996.338,0.015,1719,1503.624,27.677,1550872173.718155
-0.01,996.357,0.015,1719,1503.451,27.607,1550872174.4331722
-0.01,996.362,0.015,1719,1503.411,27.59,1550872175.149474
-0.009,996.36,0.015,1719,1503.423,27.595,1550872175.865143
-0.01,996.359,0.015,1719,1503.435,27.6,1550872176.5812929
-0.01,996.363,0.015,1719,1503.399,27.586,1550872177.3057656
-0.009,996.339,0.015,1719,1503.612,27.672,1550872178.021162
-0.01,996.356,0.015,1719,1503.467,27.613,1550872178.746368
-0.01,996.358,0.015,1719,1503.443,27.603,1550872179.4720926
-0.009,996.357,0.014,1719,1503.451,27.607,1550872180.1856031
-0.009,996.341,0.015,1719,1503.596,27.665,1550872180.900549
-0.009,996.364,0.015,1719,1503.395,27.584,1550872181.6255214
-0.009,996.36,0.015,1719,1503.431,27.599,1550872182.340544
-0.009,996.35,0.014,1719,1503.511,27.631,1550872183.0556276
-0.009,996.354,0.015,1719,1503.479,27.618,1550872183.7685585
-0.01,996.357,0.015,1719,1503.459,27.61,1550872184.490995
-0.009,996.344,0.015,1719,1503.568,27.654,1550872185.2054656
-0.009,996.354,0.014,1719,1503.479,27.618,1550872185.9244683
-0.009,996.333,0.015,1719,1503.66,27.691,1550872186.6419961
-0.009,996.351,0.014,1719,1503.507,27.629,1550872187.3524497
-0.01,996.35,0.015,1719,1503.519,27.634,1550872188.0623732
-0.01,996.36,0.015,1719,1503.427,27.597,1550872188.7764928
-0.009,996.331,0.015,1719,1503.684,27.701,1550872189.4915383
-0.01,996.356,0.015,1719,1503.459,27.61,1550872190.213897
-0.01,996.357,0.015,1719,1503.451,27.607,1550872190.934577
-0.009,996.338,0.014,1719,1503.624,27.677,1550872191.6528409
-0.009,996.357,0.015,1719,1503.451,27.607,1550872192.3684752
-0.009,996.348,0.014,1719,1503.535,27.641,1550872193.0834446
-0.01,996.346,0.015,1719,1503.556,27.649,1550872193.7986088
-0.009,996.333,0.014,1719,1503.66,27.691,1550872194.5104868
-0.01,996.356,0.015,1719,1503.467,27.613,1550872195.2214801
-0.01,996.353,0.015,1719,1503.487,27.621,1550872195.9348974
-0.009,996.328,0.015,1719,1503.704,27.709,1550872196.6494398
-0.009,996.354,0.015,1719,1503.483,27.62,1550872197.3676264
-0.009,996.34,0.015,1719,1503.6,27.667,1550872198.0839205
-0.009,996.321,0.015,1719,1503.769,27.735,1550872198.8028252
-0.01,996.343,0.015,1719,1503.576,27.657,1550872199.524581
-0.01,996.351,0.015,1719,1503.511,27.631,1550872200.2428916
-0.009,996.321,0.014,1719,1503.772,27.737,1550872200.9576905
-0.009,996.348,0.015,1719,1503.531,27.639,1550872201.6725037
-0.01,996.347,0.015,1719,1503.544,27.644,1550872202.415375
-0.01,996.327,0.015,1719,1503.721,27.716,1550872203.1753898
-0.009,996.328,0.015,1719,1503.712,27.712,1550872203.9193478
-0.01,996.347,0.015,1719,1503.544,27.644,1550872204.6833258
-0.009,996.331,0.015,1719,1503.68,27.699,1550872205.4474976
-0.009,996.34,0.014,1719,1503.604,27.668,1550872206.2010658
-0.009,996.342,0.015,1719,1503.584,27.66,1550872206.928208
-0.01,996.334,0.015,1719,1503.661,27.691,1550872207.6403592
-0.009,996.34,0.015,1719,1503.6,27.667,1550872208.3505454
-0.009,996.314,0.015,1719,1503.829,27.76,1550872209.0623763
-0.01,996.341,0.015,1719,1503.6,27.667,1550872209.7874289
-0.009,996.329,0.014,1719,1503.7,27.707,1550872210.5009487
-0.009,996.314,0.015,1719,1503.829,27.76,1550872211.2231884
-0.009,996.319,0.015,1719,1503.785,27.742,1550872211.9399762
-0.009,996.316,0.015,1719,1503.817,27.755,1550872212.6579537
-0.01,996.337,0.015,1719,1503.628,27.678,1550872213.37308
-0.01,996.336,0.015,1719,1503.636,27.681,1550872214.0902004
-0.01,996.335,0.015,1719,1503.648,27.686,1550872214.8052866
-0.009,996.334,0.015,1719,1503.656,27.69,1550872215.5256684
-0.01,996.316,0.015,1719,1503.813,27.753,1550872216.2540164
-0.01,996.325,0.015,1719,1503.737,27.722,1550872216.9690893
-0.009,996.313,0.015,1719,1503.845,27.766,1550872217.6956048
-0.01,996.317,0.015,1719,1503.805,27.75,1550872218.4090974
-0.01,996.329,0.015,1719,1503.705,27.709,1550872219.1274128
-0.01,996.328,0.015,1719,1503.709,27.711,1550872219.8441556
-0.009,996.318,0.015,1719,1503.793,27.745,1550872220.5601368
-0.01,996.332,0.015,1719,1503.677,27.698,1550872221.2751424
-0.01,996.303,0.015,1719,1503.925,27.799,1550872221.9912062
-0.009,996.31,0.015,1719,1503.865,27.774,1550872222.7110553
-0.01,996.323,0.015,1719,1503.757,27.73,1550872223.4313548
-0.01,996.325,0.015,1719,1503.733,27.721,1550872224.147112
-0.009,996.321,0.015,1719,1503.773,27.737,1550872224.8650267
-0.01,996.318,0.015,1719,1503.801,27.748,1550872225.5831614
-0.009,996.321,0.015,1719,1503.773,27.737,1550872226.29846
-0.01,996.324,0.015,1719,1503.741,27.724,1550872227.0138853
-0.01,996.309,0.015,1719,1503.877,27.779,1550872227.7277143
-0.01,996.315,0.015,1719,1503.825,27.758,1550872228.4374866
-0.01,996.312,0.015,1719,1503.853,27.769,1550872229.1539047
-0.01,996.322,0.015,1719,1503.761,27.732,1550872229.8694997
-0.01,996.287,0.015,1719,1504.07,27.857,1550872230.5978053
-0.009,996.298,0.015,1719,1503.969,27.816,1550872231.3134782
-0.01,996.319,0.015,1719,1503.789,27.743,1550872232.0295317
-0.01,996.309,0.015,1719,1503.881,27.781,1550872232.748178
-0.01,996.317,0.015,1719,1503.809,27.751,1550872233.463337
-0.009,996.307,0.015,1719,1503.897,27.787,1550872234.1799755
-0.01,996.291,0.015,1719,1504.038,27.844,1550872234.8953311
-0.009,996.316,0.015,1719,1503.817,27.755,1550872235.6123292
-0.01,996.299,0.015,1719,1503.966,27.815,1550872236.3256404
-0.009,996.312,0.015,1719,1503.853,27.769,1550872237.036034
-0.01,996.29,0.015,1719,1504.042,27.846,1550872237.7513254
-0.01,996.296,0.015,1719,1503.994,27.826,1550872238.4898748
-0.01,996.303,0.015,1719,1503.929,27.8,1550872239.206494
-0.01,996.311,0.015,1719,1503.861,27.773,1550872239.9192665
-0.009,996.309,0.015,1719,1503.873,27.777,1550872240.632369
-0.01,996.308,0.015,1719,1503.885,27.782,1550872241.3422694
-0.009,996.297,0.015,1719,1503.977,27.82,1550872242.0580497
-0.01,996.308,0.015,1719,1503.885,27.782,1550872242.7767992
-0.009,996.28,0.015,1719,1504.125,27.88,1550872243.5010092
-0.009,996.303,0.015,1719,1503.925,27.799,1550872244.2177644
-0.01,996.298,0.015,1719,1503.969,27.816,1550872244.944865
-0.01,996.296,0.015,1719,1503.994,27.826,1550872245.67631
-0.009,996.278,0.014,1719,1504.145,27.888,1550872246.3934102
-0.01,996.304,0.015,1719,1503.917,27.795,1550872247.1079895
-0.009,996.299,0.014,1719,1503.957,27.812,1550872247.8195944
-0.01,996.304,0.015,1719,1503.917,27.795,1550872248.5296881
-0.009,996.303,0.015,1719,1503.929,27.8,1550872249.2443116
-0.01,996.3,0.015,1719,1503.957,27.812,1550872249.9597301
-0.009,996.303,0.015,1719,1503.925,27.799,1550872250.6762803
-0.009,996.296,0.014,1719,1503.989,27.825,1550872251.396971
-0.01,996.27,0.015,1719,1504.214,27.916,1550872252.1118913
-0.009,996.298,0.015,1719,1503.973,27.818,1550872252.8310692
-0.009,996.273,0.015,1719,1504.186,27.904,1550872253.5448618
-0.009,996.276,0.014,1719,1504.161,27.895,1550872254.2555835
-0.01,996.297,0.015,1719,1503.977,27.82,1550872254.9652193
-0.01,996.291,0.015,1719,1504.03,27.841,1550872255.6802766
-0.009,996.277,0.015,1719,1504.154,27.891,1550872256.3957102
-0.009,996.291,0.015,1719,1504.029,27.841,1550872257.120491
-0.009,996.289,0.015,1719,1504.049,27.849,1550872257.8354375
-0.01,996.262,0.015,1719,1504.286,27.945,1550872258.5664654
