Chlorophyll,date,Thermistor,time,ts,Turbidity
50,02/22/19,521,11:48:58,1550872149.759924,50
50,02/22/19,521,11:48:59,1550872150.829912,50
50,02/22/19,521,11:49:00,1550872151.8994088,50
50,02/22/19,521,11:49:01,1550872152.9690855,50
50,02/22/19,521,11:49:02,1550872154.0388253,50
50,02/22/19,521,11:49:03,1550872155.1150515,50
50,02/22/19,521,11:49:04,1550872156.1846309,50
50,02/22/19,521,11:49:05,1550872157.2564313,50
50,02/22/19,521,11:49:06,1550872158.3239806,50
50,02/22/19,521,11:49:08,1550872159.3936245,50
50,02/22/19,521,11:49:09,1550872160.4632926,50
50,02/22/19,521,11:49:10,1550872161.536605,50
50,02/22/19,521,11:49:11,1550872162.6034446,50
50,02/22/19,521,11:49:12,1550872163.6731555,50
50,02/22/19,521,11:49:13,1550872164.7430885,50
50,02/22/19,521,11:49:14,1550872165.8302264,50
50,02/22/19,521,11:49:16,1550872167.959065,50
50,02/22/19,521,11:49:17,1550872169.0228753,50
50,02/22/19,521,11:49:18,1550872170.0923686,50
50,02/22/19,521,11:49:19,1550872171.1623192,50
50,02/22/19,521,11:49:20,1550872172.2322068,50
50,02/22/19,521,11:49:21,1550872173.302357,50
50,02/22/19,521,11:49:22,1550872174.379035,50
50,02/22/19,521,11:49:24,1550872175.4419897,50
50,02/22/19,521,11:49:25,1550872176.511935,50
50,02/22/19,521,11:49:26,1550872177.5820413,50
50,02/22/19,521,11:49:27,1550872178.6581924,50
50,02/22/19,521,11:49:28,1550872179.7279384,50
50,02/22/19,521,11:49:29,1550872180.8044817,50
50,02/22/19,521,11:49:30,1550872181.8681805,50
50,02/22/19,521,11:49:31,1550872182.9377215,50
50,02/22/19,521,11:49:32,1550872184.0077994,50
50,02/22/19,521,11:49:33,1550872185.0823693,50
50,02/22/19,521,11:49:35,1550872187.2189214,50
50,02/22/19,521,11:49:36,1550872188.287168,50
50,02/22/19,521,11:49:37,1550872189.357089,50
50,02/22/19,521,11:49:39,1550872190.4449835,50
50,02/22/19,521,11:49:41,1550872192.5665572,50
50,02/22/19,521,11:49:42,1550872193.6365356,50
50,02/22/19,521,11:49:43,1550872194.706428,50
50,02/22/19,521,11:49:44,1550872195.7765179,50
50,02/22/19,521,11:49:45,1550872196.8477788,50
50,02/22/19,521,11:49:46,1550872197.917787,50
50,02/22/19,521,11:49:47,1550872198.987474,50
50,02/22/19,521,11:49:48,1550872200.0561426,50
50,02/22/19,521,11:49:49,1550872201.1263268,50
50,02/22/19,521,11:49:50,1550872202.2170613,50
50,02/22/19,521,11:49:54,1550872205.4409723,50
50,02/22/19,520,11:49:56,1550872207.5498378,50
50,02/22/19,520,11:49:57,1550872208.6198118,50
50,02/22/19,520,11:49:58,1550872209.6908658,50
50,02/22/19,520,11:49:59,1550872210.7596269,50
50,02/22/19,520,11:50:00,1550872211.8361087,50
50,02/22/19,520,11:50:01,1550872212.8985813,50
50,02/22/19,520,11:50:02,1550872213.9683256,50
50,02/22/19,520,11:50:03,1550872215.0379891,50
50,02/22/19,520,11:50:04,1550872216.1076999,50
50,02/22/19,520,11:50:05,1550872217.177846,50
50,02/22/19,520,11:50:06,1550872218.2470875,50
50,02/22/19,520,11:50:07,1550872219.3182223,50
50,02/22/19,520,11:50:08,1550872220.3870656,50
50,02/22/19,520,11:50:10,1550872221.4591691,50
50,02/22/19,520,11:50:11,1550872222.5261993,50
50,02/22/19,520,11:50:12,1550872223.5958872,50
50,02/22/19,520,11:50:13,1550872224.665801,50
50,02/22/19,520,11:50:14,1550872225.741945,50
50,02/22/19,520,11:50:15,1550872226.8231204,50
50,02/22/19,520,11:50:16,1550872227.8815842,50
50,02/22/19,520,11:50:17,1550872228.9517343,50
50,02/22/19,520,11:50:18,1550872230.02148,50
50,02/22/19,520,11:50:19,1550872231.0915012,50
50,02/22/19,520,11:50:20,1550872232.163818,50
50,02/22/19,520,11:50:21,1550872233.2369215,50
50,02/22/19,520,11:50:22,1550872234.301328,50
50,02/22/19,520,11:50:23,1550872235.371617,50
50,02/22/19,520,11:50:25,1550872236.4412827,50
50,02/22/19,520,11:50:26,1550872237.511281,50
