AirSaturation,O2Concentration,SN,Temperature,ts
101.589,227.994,831,32.943,1550872148.9422855
102.206,229.371,831,32.945,1550872150.2374027
101.551,227.896,831,32.947,1550872151.5275447
101.589,227.973,831,32.948,1550872152.8268993
101.631,228.06,831,32.95,1550872154.1215012
101.558,227.89,831,32.952,1550872155.4125502
101.642,228.071,831,32.954,1550872156.7065206
101.338,227.38,831,32.956,1550872157.999742
101.514,227.768,831,32.958,1550872159.2959855
101.884,228.589,831,32.96,1550872160.5959442
101.42,227.541,831,32.963,1550872161.8905487
101.901,228.612,831,32.965,1550872163.1868408
101.72,228.198,831,32.967,1550872164.4807308
101.994,228.805,831,32.969,1550872165.7882109
101.945,228.685,831,32.971,1550872167.0900326
101.535,227.758,831,32.973,1550872168.3798149
101.852,228.461,831,32.975,1550872169.6750371
101.664,228.031,831,32.977,1550872170.965876
101.337,227.292,831,32.979,1550872172.2695227
101.367,227.352,831,32.981,1550872173.5639222
101.629,227.933,831,32.983,1550872174.8579376
101.771,228.243,831,32.985,1550872176.1533256
102.071,228.909,831,32.986,1550872177.4434686
101.493,227.608,831,32.988,1550872178.7502816
101.766,228.213,831,32.99,1550872180.0570607
101.915,228.54,831,32.992,1550872181.3472176
101.957,228.628,831,32.993,1550872182.6445622
101.537,227.68,831,32.995,1550872183.9352658
101.344,227.24,831,32.997,1550872185.2345219
101.797,228.249,831,32.999,1550872186.5361042
101.461,227.488,831,33.001,1550872187.8353782
101.727,228.077,831,33.002,1550872189.1275277
101.545,227.662,831,33.004,1550872190.426232
101.514,227.585,831,33.006,1550872191.7234888
101.314,227.13,831,33.008,1550872193.0185773
101.102,226.646,831,33.01,1550872194.3168657
101.487,227.502,831,33.012,1550872195.6125686
101.535,227.6,831,33.015,1550872196.9046345
101.62,227.783,831,33.017,1550872198.199553
101.677,227.902,831,33.019,1550872199.4935927
101.446,227.374,831,33.022,1550872200.7926457
101.833,228.233,831,33.024,1550872202.1193492
101.625,227.756,831,33.027,1550872203.4451392
101.533,227.538,831,33.03,1550872204.7596269
101.768,228.055,831,33.033,1550872206.0791705
101.35,227.105,831,33.036,1550872207.388059
101.54,227.518,831,33.04,1550872208.6828883
101.59,227.617,831,33.043,1550872209.9728377
101.517,227.441,831,33.046,1550872211.2755067
101.653,227.733,831,33.05,1550872212.5659218
101.578,227.552,831,33.053,1550872213.8608124
101.738,227.895,831,33.057,1550872215.1519828
101.236,226.757,831,33.061,1550872216.4419653
101.488,227.307,831,33.064,1550872217.737659
101.845,228.092,831,33.068,1550872219.0337245
101.79,227.953,831,33.072,1550872220.3312445
101.561,227.426,831,33.076,1550872221.6235416
101.803,227.952,831,33.081,1550872222.9172854
101.834,228.004,831,33.085,1550872224.213236
101.43,227.082,831,33.089,1550872225.5032785
101.744,227.768,831,33.094,1550872226.7993293
101.796,227.866,831,33.099,1550872228.0933075
101.721,227.68,831,33.103,1550872229.3894413
101.873,228.003,831,33.108,1550872230.6844997
101.855,227.943,831,33.113,1550872231.9857848
101.722,227.625,831,33.119,1550872233.2774215
101.576,227.278,831,33.124,1550872234.5673714
101.746,227.639,831,33.129,1550872235.8614337
101.933,228.039,831,33.134,1550872237.1540866
101.681,227.456,831,33.139,1550872238.4616492
101.834,227.779,831,33.144,1550872239.7606745
101.796,227.675,831,33.15,1550872241.055738
101.84,227.755,831,33.154,1550872242.3458064
101.734,227.5,831,33.159,1550872243.6408281
101.849,227.739,831,33.164,1550872244.9512954
101.769,227.541,831,33.169,1550872246.2558944
101.387,226.669,831,33.174,1550872247.5487862
101.976,227.969,831,33.178,1550872248.8390963
101.434,226.741,831,33.183,1550872250.1312604
102.002,227.991,831,33.187,1550872251.4403825
101.49,226.829,831,33.192,1550872252.7452815
101.95,227.839,831,33.197,1550872254.0363355
101.891,227.691,831,33.202,1550872255.330063
101.795,227.459,831,33.206,1550872256.620196
101.485,226.747,831,33.211,1550872257.9098976
101.661,227.121,831,33.216,1550872259.2051857
101.797,227.407,831,33.221,1550872260.4993358
101.782,227.354,831,33.226,1550872261.8233263
101.729,227.217,831,33.231,1550872263.199354
101.39,226.443,831,33.235,1550872264.5377352
101.637,226.976,831,33.24,1550872265.864981
101.797,227.316,831,33.245,1550872267.1734605
101.85,227.418,831,33.249,1550872268.4666061
101.534,226.696,831,33.254,1550872269.7641156
102.03,227.788,831,33.258,1550872271.0610857
101.757,227.162,831,33.262,1550872272.356552
101.617,226.836,831,33.266,1550872273.6525488
101.562,226.697,831,33.27,1550872274.9485054
101.609,226.788,831,33.274,1550872276.2485616
101.738,227.059,831,33.278,1550872277.5446246
100.23,223.681,831,33.282,1550872278.8389595
101.155,225.741,831,33.283,1550872280.1356478
101.494,226.516,831,33.278,1550872281.4339428
101.904,227.477,831,33.266,1550872282.7297406
102.065,227.901,831,33.248,1550872284.038344
101.229,226.112,831,33.228,1550872285.3358893
101.575,226.961,831,33.207,1550872286.626971
101.601,227.094,831,33.188,1550872287.922058
101.75,227.492,831,33.17,1550872289.2160692
101.633,227.292,831,33.155,1550872290.5149229
101.454,226.941,831,33.141,1550872291.8129246
101.77,227.691,831,33.129,1550872293.1059663
102.145,228.568,831,33.12,1550872294.4013894
101.794,227.816,831,33.111,1550872295.69268
101.635,227.487,831,33.104,1550872296.9991734
101.68,227.609,831,33.098,1550872298.3109436
101.868,228.049,831,33.093,1550872299.6088333
101.858,228.043,831,33.089,1550872300.9042802
101.51,227.279,831,33.085,1550872302.2015524
101.766,227.863,831,33.082,1550872303.500289
101.856,228.077,831,33.079,1550872304.8011262
101.709,227.757,831,33.076,1550872306.0924575
101.695,227.735,831,33.074,1550872307.3884995
101.285,226.825,831,33.072,1550872308.6834548
101.58,227.494,831,33.07,1550872309.9743745
101.805,228.007,831,33.067,1550872311.2762372
101.562,227.471,831,33.065,1550872312.5729206
101.874,228.177,831,33.063,1550872313.8701265
101.624,227.622,831,33.061,1550872315.1606429
101.854,228.146,831,33.059,1550872316.4592533
101.875,228.2,831,33.058,1550872317.748582
101.71,227.836,831,33.056,1550872319.045672
101.376,227.096,831,33.054,1550872320.3407133
101.305,226.944,831,33.052,1550872321.6349263
101.697,227.83,831,33.05,1550872323.0153632
101.504,227.407,831,33.048,1550872324.371329
101.398,227.177,831,33.046,1550872325.6833396
101.77,228.018,831,33.043,1550872326.9943624
