Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts,p_int,rh_int,t_int,Chlorophyll,date,Thermistor,time,Turbidity,AirSaturation,O2Concentration,SN_bottlebone.optode,Temperature_bottlebone.optode,p,rh,t,alt,lat,long,ts_gps,alx,b,Deg.C,depth_m,dt,g,kPa,r,w,wlx
-0.009000000000000001,996.3789999999999,0.015,1719,1503.257,27.529,1550872149.2758427,111.02600000000001,14.35,34.805,50,02/22/19,521,11:48:58,50,101.589,227.99400000000003,831,32.943000000000005,101.521,49.87,30.537,10.099,21.88460532,-159.527553,2019-02-22T21:49:06.000Z,48553.3,12998.0,39.047,0.0,2016-11-03T07:20:09.508700,15035.1,104.85799999999999,15968.3,16493.8,128127.5
-0.01,996.388,0.015,1719,1503.1770000000001,27.496,1550872149.992709,111.02600000000001,14.35,34.805,50,02/22/19,521,11:48:58,50,102.206,229.37099999999998,831,32.945,101.521,49.87,30.537,10.099,21.88460532,-159.527553,2019-02-22T21:49:06.000Z,48553.3,12998.0,39.047,0.0,2016-11-03T07:20:09.508700,15035.1,104.85799999999999,15968.3,16493.8,128127.5
-0.01,996.3889999999999,0.015,1719,1503.1729999999998,27.495,1550872150.712617,111.02600000000001,14.35,34.805,50,02/22/19,521,11:48:59,50,102.206,229.37099999999998,831,32.945,101.521,49.87,30.537,10.099,21.88460532,-159.527553,2019-02-22T21:49:06.000Z,48314.5,13096.9,39.047,0.00189145,2016-11-03T07:20:10.960947,15125.5,104.87700000000001,16014.9,16493.8,130191.9
-0.01,996.387,0.015,1719,1503.193,27.503,1550872151.4391866,111.02600000000001,14.35,34.805,50,02/22/19,521,11:49:00,50,101.551,227.896,831,32.946999999999996,101.521,49.88,30.551,10.099,21.88460532,-159.527553,2019-02-22T21:49:06.000Z,47546.9,12969.3,39.043,0.00428065,2016-11-03T07:20:12.374024,15053.0,104.90100000000001,15910.0,16493.8,128314.0
-0.01,996.388,0.015,1719,1503.181,27.498,1550872152.1558206,111.02600000000001,14.35,34.805,50,02/22/19,521,11:49:00,50,101.551,227.896,831,32.946999999999996,101.521,49.88,30.551,10.099,21.88460532,-159.527553,2019-02-22T21:49:06.000Z,47546.9,12969.3,39.043,0.00428065,2016-11-03T07:20:12.374024,15053.0,104.90100000000001,15910.0,16493.8,128314.0
-0.01,996.3789999999999,0.015,1719,1503.2579999999998,27.529,1550872152.871898,111.02600000000001,14.35,34.805,50,02/22/19,521,11:49:01,50,101.589,227.97299999999998,831,32.948,101.521,49.88,30.551,10.099,21.88460532,-159.527553,2019-02-22T21:49:06.000Z,46518.9,12860.6,39.035,0.0,2016-11-03T07:20:13.785497,14945.8,104.845,15814.8,16493.8,122858.1
-0.01,996.355,0.015,1719,1503.475,27.616,1550872153.585687,111.02600000000001,14.35,34.805,50,02/22/19,521,11:49:02,50,101.631,228.06,831,32.95,101.521,49.88,30.551,12.86,21.88467316,-159.52753140000002,2019-02-22T21:49:10.220Z,46518.9,12860.6,39.035,0.0,2016-11-03T07:20:13.785497,14945.8,104.845,15814.8,16493.8,122858.1
-0.01,996.3839999999999,0.015,1719,1503.213,27.511,1550872154.2995765,111.02600000000001,14.35,34.805,50,02/22/19,521,11:49:02,50,101.631,228.06,831,32.95,101.521,49.85,30.554000000000002,12.86,21.88467316,-159.52753140000002,2019-02-22T21:49:10.220Z,47444.5,13112.8,39.034,0.00268785,2016-11-03T07:20:15.195562,15086.0,104.87200000000001,15930.1,16493.8,129965.3
-0.009000000000000001,996.3839999999999,0.013999999999999999,1719,1503.213,27.511,1550872155.0165892,111.02600000000001,14.35,34.805,50,02/22/19,521,11:49:03,50,101.55799999999999,227.89,831,32.952,101.521,49.85,30.554000000000002,12.86,21.88467316,-159.52753140000002,2019-02-22T21:49:10.220Z,47444.5,13112.8,39.034,0.00268785,2016-11-03T07:20:15.195562,15086.0,104.87200000000001,15930.1,16493.8,129965.3
-0.01,996.3739999999999,0.015,1719,1503.3020000000001,27.546999999999997,1550872155.7326605,111.02600000000001,14.35,34.805,50,02/22/19,521,11:49:04,50,101.55799999999999,227.89,831,32.952,101.521,49.85,30.554000000000002,12.86,21.88467316,-159.52753140000002,2019-02-22T21:49:10.220Z,48613.1,13094.9,39.034,0.008561299999999999,2016-11-03T07:20:16.606890,15099.8,104.931,15961.5,16493.8,131216.0
