p,rh,t,ts
101.521,49.87,30.537,1550872150.04371
101.521,49.88,30.551,1550872152.55160
101.521,49.85,30.554,1550872155.01885
101.52,49.83,30.564,1550872157.48308
101.52,49.61,30.586,1550872159.94918
101.517,49.29,30.597,1550872162.41175
101.516,49.26,30.603,1550872164.87897
101.518,49.29,30.62,1550872167.34619
101.516,49.2,30.627,1550872169.81420
101.517,49.15,30.638,1550872172.28215
101.517,49.2,30.649,1550872174.74938
101.518,49.27,30.659,1550872177.21670
101.519,49.31,30.671,1550872179.68415
101.519,49.2,30.685,1550872182.15171
101.521,49.06,30.694,1550872184.61917
101.522,49.03,30.703,1550872187.08154
101.517,49.03,30.719,1550872189.54925
101.519,48.99,30.768,1550872192.01704
101.519,48.85,31.001,1550872194.48427
101.523,48.45,31.313,1550872196.94271
101.523,48.4,31.441,1550872199.40973
101.521,48.55,31.337,1550872201.87695
101.521,48.75,31.246,1550872204.34237
101.521,48.95,31.176,1550872206.80965
101.52,49.14,31.112,1550872209.27718
101.52,49.3,31.051,1550872211.74498
101.521,49.41,31.003,1550872214.21369
101.523,49.53,30.965,1550872216.68091
101.521,49.62,30.925,1550872219.14792
101.522,49.72,30.895,1550872221.61851
101.522,49.81,30.868,1550872224.08137
101.523,49.86,30.829,1550872226.54851
101.524,49.94,30.789,1550872229.01146
101.522,50.08,30.75,1550872231.47864
101.521,50.18,30.703,1550872233.94139
101.521,50.27,30.668,1550872236.40849
101.522,50.35,30.631,1550872238.87250
101.521,50.42,30.597,1550872241.33978
101.523,50.51,30.569,1550872243.80821
101.523,50.6,30.537,1550872246.27526
101.523,50.71,30.509,1550872248.74261
101.523,50.82,30.485,1550872251.20059
101.53,50.96,30.459,1550872253.66804
101.524,51.11,30.429,1550872256.13519
101.524,51.24,30.404,1550872258.60242
101.524,51.35,30.381,1550872261.07467
101.525,51.45,30.357,1550872263.54196
101.524,51.55,30.34,1550872266.00926
101.526,51.64,30.319,1550872268.47652
101.526,51.71,30.304,1550872270.93652
101.532,51.8,30.286,1550872273.40493
101.527,51.9,30.268,1550872275.87171
101.528,51.98,30.255,1550872278.33144
101.525,52.07,30.24,1550872280.79842
101.526,52.16,30.225,1550872283.26094
101.527,52.25,30.219,1550872285.72277
101.525,52.32,30.203,1550872288.19007
101.525,52.38,30.191,1550872290.65734
101.524,52.46,30.175,1550872293.12504
101.524,52.53,30.169,1550872295.59251
101.524,52.56,30.15,1550872298.05962
101.525,52.53,30.143,1550872300.52757
101.528,52.45,30.14,1550872302.99474
101.525,52.38,30.127,1550872305.46264
101.527,52.32,30.124,1550872307.92963
101.528,52.3,30.109,1550872310.39719
101.523,52.34,30.099,1550872312.86447
101.524,52.38,30.091,1550872315.33175
101.524,52.41,30.073,1550872317.79890
101.525,52.45,30.076,1550872320.26155
101.525,52.47,30.063,1550872322.72358
