alt,lat,long,ts_gps,ts
10.099,21.88460532,-159.527553,2019-02-22T21:49:06.000Z,1550872150.42350
12.86,21.88467316,-159.5275314,2019-02-22T21:49:10.220Z,1550872155.40933
12.86,21.88467316,-159.5275314,2019-02-22T21:49:10.220Z,1550872156.00159
12.86,21.88467316,-159.5275314,2019-02-22T21:49:10.530Z,1550872156.11396
13.233,21.88468154,-159.5275314,2019-02-22T21:49:11.000Z,1550872156.54233
14.102,21.88467839,-159.5275348,2019-02-22T21:49:12.000Z,1550872156.99324
14.102,21.88467839,-159.5275348,2019-02-22T21:49:12.000Z,1550872157.78137
14.972,21.88467524,-159.5275382,2019-02-22T21:49:13.000Z,1550872157.89419
15.344,21.88468362,-159.5275382,2019-02-22T21:49:14.000Z,1550872158.36577
15.717,21.884692,-159.5275382,2019-02-22T21:49:15.000Z,1550872159.36570
15.717,21.884692,-159.5275382,2019-02-22T21:49:15.000Z,1550872160.70725
15.717,21.884692,-159.5275382,2019-02-22T21:49:16.000Z,1550872160.81952
16.959,21.88469722,-159.5275416,2019-02-22T21:49:17.000Z,1550872161.36637
16.959,21.88469722,-159.5275416,2019-02-22T21:49:18.000Z,1550872162.36572
16.959,21.88469722,-159.5275416,2019-02-22T21:49:18.000Z,1550872163.70492
16.959,21.88469722,-159.5275416,2019-02-22T21:49:19.000Z,1550872163.81613
16.959,21.88469722,-159.5275416,2019-02-22T21:49:20.000Z,1550872164.36829
16.959,21.88469722,-159.5275416,2019-02-22T21:49:21.000Z,1550872165.36740
16.959,21.88469722,-159.5275416,2019-02-22T21:49:21.000Z,1550872166.70410
15.717,21.884692,-159.5275382,2019-02-22T21:49:22.000Z,1550872166.81652
15.172,21.88469397,-159.5275258,2019-02-22T21:49:23.000Z,1550872167.36861
15.172,21.88469397,-159.5275258,2019-02-22T21:49:24.000Z,1550872168.36824
15.172,21.88469397,-159.5275258,2019-02-22T21:49:24.000Z,1550872169.70384
15.172,21.88469397,-159.5275258,2019-02-22T21:49:25.000Z,1550872169.81653
15.172,21.88469397,-159.5275258,2019-02-22T21:49:26.000Z,1550872170.46135
15.87,21.88470117,-159.5275167,2019-02-22T21:49:27.000Z,1550872171.36975
15.87,21.88470117,-159.5275167,2019-02-22T21:49:27.000Z,1550872172.70536
15.87,21.88470117,-159.5275167,2019-02-22T21:49:28.000Z,1550872172.81772
15.87,21.88470117,-159.5275167,2019-02-22T21:49:29.000Z,1550872173.36849
15.373,21.88471271,-159.5275133,2019-02-22T21:49:30.000Z,1550872174.36809
15.373,21.88471271,-159.5275133,2019-02-22T21:49:30.000Z,1550872175.70550
15.698,21.88471153,-159.5275042,2019-02-22T21:49:31.000Z,1550872175.81818
15.698,21.88471153,-159.5275042,2019-02-22T21:49:32.000Z,1550872176.36884
15.698,21.88471153,-159.5275042,2019-02-22T21:49:33.000Z,1550872177.36725
15.698,21.88471153,-159.5275042,2019-02-22T21:49:33.000Z,1550872178.70382
15.698,21.88471153,-159.5275042,2019-02-22T21:49:34.000Z,1550872178.81628
16.071,21.88471991,-159.5275042,2019-02-22T21:49:35.000Z,1550872179.36846
16.94,21.88471676,-159.5275076,2019-02-22T21:49:36.000Z,1550872180.36899
16.94,21.88471676,-159.5275076,2019-02-22T21:49:36.000Z,1550872181.70542
17.313,21.88472514,-159.5275076,2019-02-22T21:49:37.000Z,1550872181.81791
16.94,21.88471676,-159.5275076,2019-02-22T21:49:38.000Z,1550872182.36893
16.071,21.88471991,-159.5275042,2019-02-22T21:49:39.000Z,1550872183.36850
16.071,21.88471991,-159.5275042,2019-02-22T21:49:39.000Z,1550872184.70515
15.698,21.88471153,-159.5275042,2019-02-22T21:49:40.000Z,1550872184.81804
15.698,21.88471153,-159.5275042,2019-02-22T21:49:41.000Z,1550872185.44318
15.698,21.88471153,-159.5275042,2019-02-22T21:49:42.000Z,1550872186.36791
15.698,21.88471153,-159.5275042,2019-02-22T21:49:42.000Z,1550872187.70298
15.698,21.88471153,-159.5275042,2019-02-22T21:49:43.000Z,1550872187.81530
15,21.88470433,-159.5275133,2019-02-22T21:49:44.000Z,1550872188.36878
13.93,21.88468875,-159.5275224,2019-02-22T21:49:45.000Z,1550872189.36725
13.93,21.88468875,-159.5275224,2019-02-22T21:49:45.000Z,1550872190.70602
13.93,21.88468875,-159.5275224,2019-02-22T21:49:46.000Z,1550872190.81844
12.688,21.88468352,-159.527519,2019-02-22T21:49:47.000Z,1550872191.36903
12.316,21.88467514,-159.527519,2019-02-22T21:49:48.000Z,1550872192.37021
12.316,21.88467514,-159.527519,2019-02-22T21:49:48.000Z,1550872193.70542
12.688,21.88468352,-159.527519,2019-02-22T21:49:49.000Z,1550872193.81791
12.688,21.88468352,-159.527519,2019-02-22T21:49:50.000Z,1550872194.36868
13.061,21.8846919,-159.527519,2019-02-22T21:49:51.000Z,1550872195.37186
13.061,21.8846919,-159.527519,2019-02-22T21:49:51.000Z,1550872196.70831
13.061,21.8846919,-159.527519,2019-02-22T21:49:52.000Z,1550872196.82112
12.688,21.88468352,-159.527519,2019-02-22T21:49:53.000Z,1550872197.37070
12.688,21.88468352,-159.527519,2019-02-22T21:49:54.000Z,1550872198.36998
12.688,21.88468352,-159.527519,2019-02-22T21:49:54.000Z,1550872199.70792
12.316,21.88467514,-159.527519,2019-02-22T21:49:55.000Z,1550872199.82041
11.819,21.88468667,-159.5275156,2019-02-22T21:49:56.000Z,1550872200.44597
11.446,21.88467829,-159.5275156,2019-02-22T21:49:57.000Z,1550872201.36814
11.446,21.88467829,-159.5275156,2019-02-22T21:49:57.000Z,1550872202.70705
11.446,21.88467829,-159.5275156,2019-02-22T21:49:58.000Z,1550872202.81973
11.446,21.88467829,-159.5275156,2019-02-22T21:49:59.000Z,1550872203.37157
10.749,21.88467109,-159.5275247,2019-02-22T21:50:00.000Z,1550872204.37156
10.749,21.88467109,-159.5275247,2019-02-22T21:50:00.000Z,1550872205.72357
10.749,21.88467109,-159.5275247,2019-02-22T21:50:01.000Z,1550872205.83597
10.749,21.88467109,-159.5275247,2019-02-22T21:50:02.000Z,1550872206.38863
10.749,21.88467109,-159.5275247,2019-02-22T21:50:03.000Z,1550872207.37176
10.749,21.88467109,-159.5275247,2019-02-22T21:50:03.000Z,1550872208.70695
11.122,21.88467947,-159.5275247,2019-02-22T21:50:04.000Z,1550872208.81935
11.122,21.88467947,-159.5275247,2019-02-22T21:50:05.000Z,1550872209.37027
11.122,21.88467947,-159.5275247,2019-02-22T21:50:06.000Z,1550872210.37075
11.122,21.88467947,-159.5275247,2019-02-22T21:50:06.000Z,1550872211.70353
11.122,21.88467947,-159.5275247,2019-02-22T21:50:07.000Z,1550872211.81593
11.122,21.88467947,-159.5275247,2019-02-22T21:50:08.000Z,1550872212.38734
11.494,21.88468785,-159.5275247,2019-02-22T21:50:09.000Z,1550872213.38808
11.494,21.88468785,-159.5275247,2019-02-22T21:50:09.000Z,1550872214.70820
11.494,21.88468785,-159.5275247,2019-02-22T21:50:10.000Z,1550872214.82101
11.494,21.88468785,-159.5275247,2019-02-22T21:50:11.000Z,1550872215.44589
11.494,21.88468785,-159.5275247,2019-02-22T21:50:12.000Z,1550872216.37171
11.494,21.88468785,-159.5275247,2019-02-22T21:50:12.000Z,1550872217.72240
11.494,21.88468785,-159.5275247,2019-02-22T21:50:13.000Z,1550872217.83388
11.122,21.88467947,-159.5275247,2019-02-22T21:50:14.000Z,1550872218.38964
11.122,21.88467947,-159.5275247,2019-02-22T21:50:15.000Z,1550872219.38815
11.122,21.88467947,-159.5275247,2019-02-22T21:50:15.000Z,1550872220.70896
11.446,21.88467829,-159.5275156,2019-02-22T21:50:16.000Z,1550872220.82161
11.074,21.88466991,-159.5275156,2019-02-22T21:50:17.000Z,1550872221.38730
11.074,21.88466991,-159.5275156,2019-02-22T21:50:18.000Z,1550872222.38686
11.074,21.88466991,-159.5275156,2019-02-22T21:50:18.000Z,1550872223.70725
11.398,21.88466873,-159.5275065,2019-02-22T21:50:19.000Z,1550872223.81960
11.398,21.88466873,-159.5275065,2019-02-22T21:50:20.000Z,1550872224.38801
11.723,21.88466756,-159.5274975,2019-02-22T21:50:21.000Z,1550872225.36958
11.723,21.88466756,-159.5274975,2019-02-22T21:50:21.000Z,1550872226.72262
12.095,21.88467594,-159.5274975,2019-02-22T21:50:22.000Z,1550872226.83497
11.599,21.88468747,-159.5274941,2019-02-22T21:50:23.000Z,1550872227.36870
