alx,b,Deg.C,depth_m,dt,g,kPa,r,w,wlx,ts
48553.3,12998,39.047,0,2016-11-03T07:20:09.508700,15035.1,104.858,15968.3,16493.8,128127.5,1550872149.27868
48314.5,13096.9,39.047,0.00189145,2016-11-03T07:20:10.960947,15125.5,104.877,16014.9,16493.8,130191.9,1550872150.73091
47546.9,12969.3,39.043,0.00428065,2016-11-03T07:20:12.374024,15053,104.901,15910,16493.8,128314,1550872152.14400
46518.9,12860.6,39.035,0,2016-11-03T07:20:13.785497,14945.8,104.845,15814.8,16493.8,122858.1,1550872153.55547
47444.5,13112.8,39.034,0.00268785,2016-11-03T07:20:15.195562,15086,104.872,15930.1,16493.8,129965.3,1550872154.96553
48613.1,13094.9,39.034,0.0085613,2016-11-03T07:20:16.606890,15099.8,104.931,15961.5,16493.8,131216,1550872156.37685
45893.4,12633.8,39.027,0.01065185,2016-11-03T07:20:18.022023,14866,104.952,15684.9,16493.8,113691.8,1550872157.79199
46633.6,12861.6,39.009,0.0053757,2016-11-03T07:20:19.432818,14945,104.899,15782.6,16493.8,121784.6,1550872159.20279
46950.5,13001,39.005,0.00288695,2016-11-03T07:20:20.842627,14965.4,104.874,15808,16493.8,125981.7,1550872160.61260
46276.2,12804.2,38.992,0.00547525,2016-11-03T07:20:22.252542,14954.3,104.9,15772.3,16493.8,119592.2,1550872162.02251
47342.4,13012.1,38.981,0,2016-11-03T07:20:23.663845,15021.3,104.816,15855.3,16493.8,128164.8,1550872163.43381
47269.5,13024.9,38.978,0.0073667,2016-11-03T07:20:25.079952,15005.2,104.89,15856.6,16493.8,126865.8,1550872164.84992
47929.1,13055.1,38.966,0.0049775,2016-11-03T07:20:26.490923,15089.7,104.866,15902.4,16493.8,130229.7,1550872166.26089
48598.2,13150.3,38.962,0.0045793,2016-11-03T07:20:27.906701,15139.3,104.862,15942.7,16493.8,131482.5,1550872167.67667
47708.2,13036.3,38.946,0.0061721,2016-11-03T07:20:29.317708,15054.5,104.878,15862.1,16493.8,128800,1550872169.08768
47576.2,12919.2,38.942,0.00866085,2016-11-03T07:20:30.729072,14956.3,104.903,15773.5,16493.8,125651.6,1550872170.49904
44041.6,12317.5,38.925,0.00726715,2016-11-03T07:20:32.145008,14728.1,104.889,15474.8,16493.8,126791.9,1550872171.91498
44028.1,12238.7,38.906,0.00308605,2016-11-03T07:20:33.556212,14712,104.847,15430.2,16493.8,125505.1,1550872173.32618
43920,12300.6,38.893,0.0075658,2016-11-03T07:20:34.974227,14730.3,104.892,15428.5,16493.8,125761.5,1550872174.74419
43758.5,12153.6,38.882,0.003982,2016-11-03T07:20:36.388504,14715,104.856,15381.4,16493.8,124483.9,1550872176.15847
44272.2,12382.4,38.871,0.0051766,2016-11-03T07:20:37.798904,14736.4,104.868,15486.9,16493.8,128276.7,1550872177.56887
44394.7,12383.2,38.867,0.0077649,2016-11-03T07:20:39.209938,14725,104.894,15442.1,16493.8,128388.7,1550872178.97990
43879.6,12194.7,38.855,0.00666985,2016-11-03T07:20:40.620239,14710.4,104.883,15412.4,16493.8,125614.9,1550872180.39021
43624.3,12139,38.851,0.0061721,2016-11-03T07:20:42.038901,14663.1,104.878,15343.2,16493.8,124048.5,1550872181.80887
42658,11968.6,38.838,0.0055748,2016-11-03T07:20:43.449919,14467.3,104.872,15172.3,16493.8,118718.1,1550872183.21988
42073.6,11999.8,38.821,0.0057739,2016-11-03T07:20:44.865840,14510.6,104.874,15150.1,16493.8,118543.9,1550872184.63581
41944.8,11798,38.809,0.0029865,2016-11-03T07:20:46.276845,14267.7,104.846,15109.1,16493.8,117607.5,1550872186.04682
41042.7,11527.2,38.793,0.0023892,2016-11-03T07:20:47.686908,14130.3,104.84,14969.2,16493.8,113256.5,1550872187.45687
