Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.011,995.826,0.015,1719,1507.896,29.449,1550888447.16121
-0.011,995.829,0.016,1719,1507.87,29.438,1550888447.87625
-0.01,995.829,0.015,1719,1507.869,29.438,1550888448.59363
-0.011,995.823,0.016,1719,1507.916,29.457,1550888449.30797
-0.011,995.825,0.015,1719,1507.904,29.452,1550888450.02182
-0.01,995.822,0.015,1719,1507.927,29.462,1550888450.73191
-0.011,995.826,0.015,1719,1507.893,29.448,1550888451.44653
-0.011,995.821,0.016,1719,1507.935,29.466,1550888452.16079
-0.012,995.821,0.016,1719,1507.935,29.466,1550888452.87785
-0.011,995.823,0.015,1719,1507.916,29.457,1550888453.59200
-0.01,995.825,0.015,1719,1507.9,29.451,1550888454.31837
-0.01,995.824,0.015,1719,1507.912,29.456,1550888455.03413
-0.01,995.818,0.015,1719,1507.95,29.472,1550888455.74809
-0.011,995.822,0.015,1719,1507.924,29.461,1550888456.46596
-0.01,995.824,0.015,1719,1507.908,29.454,1550888457.18318
-0.011,995.823,0.015,1719,1507.92,29.459,1550888457.90070
-0.011,995.822,0.015,1719,1507.927,29.462,1550888458.61142
-0.01,995.822,0.015,1719,1507.927,29.462,1550888459.32990
-0.01,995.819,0.015,1719,1507.95,29.472,1550888460.04115
-0.011,995.821,0.015,1719,1507.931,29.464,1550888460.76905
-0.011,995.818,0.016,1719,1507.954,29.474,1550888461.51931
-0.01,995.82,0.015,1719,1507.943,29.469,1550888462.30034
-0.01,995.82,0.015,1719,1507.939,29.467,1550888463.04838
-0.01,995.823,0.015,1719,1507.916,29.457,1550888463.78846
-0.011,995.821,0.015,1719,1507.931,29.464,1550888464.52849
-0.01,995.815,0.015,1719,1507.981,29.485,1550888465.27063
-0.01,995.821,0.015,1719,1507.935,29.466,1550888466.04431
-0.01,995.822,0.015,1719,1507.923,29.461,1550888466.76007
-0.01,995.823,0.015,1719,1507.915,29.457,1550888467.48027
-0.011,995.821,0.015,1719,1507.935,29.466,1550888468.19519
-0.01,995.823,0.015,1719,1507.915,29.457,1550888468.90981
-0.01,995.818,0.015,1719,1507.954,29.474,1550888469.62536
-0.011,995.823,0.015,1719,1507.92,29.459,1550888470.34480
-0.01,995.818,0.015,1719,1507.958,29.475,1550888471.06109
-0.01,995.817,0.015,1719,1507.962,29.477,1550888471.79376
-0.011,995.816,0.015,1719,1507.974,29.482,1550888472.52026
-0.01,995.816,0.015,1719,1507.97,29.48,1550888473.23568
-0.012,995.823,0.016,1719,1507.92,29.459,1550888473.95148
