AirSaturation,O2Concentration,SN,Temperature,ts
101.302,238.237,831,30.181,1550888447.80140
101.284,238.191,831,30.182,1550888449.12114
101.164,237.904,831,30.183,1550888450.41557
100.714,236.841,831,30.185,1550888451.70793
101.232,238.055,831,30.186,1550888453.00061
101.241,238.071,831,30.187,1550888454.28861
101.537,238.76,831,30.189,1550888455.58470
101.114,237.758,831,30.19,1550888456.87769
101.344,238.295,831,30.192,1550888458.16795
101.259,238.087,831,30.193,1550888459.45962
101.363,238.324,831,30.195,1550888460.76476
101.117,237.738,831,30.197,1550888462.08917
101.253,238.05,831,30.199,1550888463.42150
100.776,236.918,831,30.201,1550888464.73261
101.24,238,831,30.204,1550888466.06510
101.246,238.007,831,30.206,1550888467.35300
101.62,238.877,831,30.208,1550888468.64691
101.476,238.528,831,30.21,1550888469.94062
101.69,239.023,831,30.212,1550888471.23094
101.059,237.529,831,30.215,1550888472.54356
101.337,238.174,831,30.217,1550888473.84652
101.218,237.885,831,30.219,1550888475.15224
101.427,238.366,831,30.221,1550888476.44521
100.934,237.198,831,30.224,1550888477.73320
101.422,238.335,831,30.226,1550888479.02492
101.351,238.158,831,30.229,1550888480.32683
101.374,238.203,831,30.231,1550888481.62051
101.228,237.849,831,30.234,1550888482.91330
101.139,237.629,831,30.236,1550888484.20630
101.481,238.423,831,30.239,1550888485.49925
101.317,238.026,831,30.242,1550888486.79623
101.256,237.871,831,30.244,1550888488.09423
101.419,238.243,831,30.247,1550888489.38346
101.071,237.413,831,30.25,1550888490.67651
101.484,238.371,831,30.253,1550888491.96962
100.898,236.983,831,30.256,1550888493.28472
101.433,238.229,831,30.259,1550888494.59149
100.978,237.146,831,30.262,1550888495.88126
101.088,237.392,831,30.265,1550888497.17063
101.107,237.424,831,30.268,1550888498.46361
101.548,238.447,831,30.271,1550888499.75803
100.791,236.657,831,30.274,1550888501.05066
101.472,238.242,831,30.278,1550888502.34395
101.532,238.37,831,30.281,1550888503.63286
101.181,237.534,831,30.284,1550888504.92810
101.008,237.117,831,30.286,1550888506.22990
101.162,237.467,831,30.29,1550888507.52684
101.494,238.233,831,30.293,1550888508.81627
101.066,237.214,831,30.296,1550888510.10499
101.371,237.917,831,30.299,1550888511.39815
101.335,237.821,831,30.302,1550888512.70021
101.286,237.691,831,30.305,1550888514.00020
101.162,237.388,831,30.309,1550888515.29008
101.147,237.337,831,30.312,1550888516.58218
101.403,237.924,831,30.316,1550888517.87503
101.303,237.674,831,30.319,1550888519.18864
101.254,237.545,831,30.323,1550888520.47726
101.156,237.299,831,30.327,1550888521.79247
101.063,237.062,831,30.331,1550888523.11682
101.499,238.068,831,30.335,1550888524.42437
101.453,237.944,831,30.34,1550888525.74444
101.295,237.554,831,30.344,1550888527.05591
101.262,237.457,831,30.349,1550888528.34992
101.246,237.401,831,30.354,1550888529.64336
101.344,237.611,831,30.359,1550888530.93651
100.909,236.571,831,30.363,1550888532.22994
101.384,237.664,831,30.368,1550888533.52347
100.945,236.613,831,30.374,1550888534.81848
100.93,236.557,831,30.379,1550888536.11279
100.924,236.522,831,30.384,1550888537.40569
101.4,237.618,831,30.389,1550888538.69467
100.994,236.644,831,30.394,1550888539.99072
101.323,237.394,831,30.4,1550888541.28478
101.381,237.506,831,30.405,1550888542.57378
101.094,236.812,831,30.41,1550888543.86798
101.198,237.036,831,30.416,1550888545.17228
101.765,238.341,831,30.421,1550888546.47013
101.116,236.798,831,30.427,1550888547.75885
101.196,236.963,831,30.432,1550888549.05303
100.972,236.417,831,30.438,1550888550.34596
101.079,236.644,831,30.443,1550888551.64198
101.281,237.095,831,30.449,1550888552.94575
101.1,236.646,831,30.455,1550888554.24078
101.254,236.985,831,30.461,1550888555.53316
101.023,236.422,831,30.466,1550888556.82118
101.575,237.689,831,30.472,1550888558.11453
101.165,236.704,831,30.478,1550888559.41381
101.431,237.304,831,30.484,1550888560.72409
101.017,236.311,831,30.49,1550888562.01230
101.543,237.517,831,30.496,1550888563.30724
101.403,237.165,831,30.502,1550888564.59824
101.296,236.892,831,30.508,1550888565.89717
101.048,236.287,831,30.514,1550888567.19243
101.394,237.071,831,30.519,1550888568.48042
101.23,236.664,831,30.526,1550888569.77345
101.246,236.677,831,30.532,1550888571.06680
101.26,236.684,831,30.538,1550888572.35546
101.36,236.895,831,30.544,1550888573.65053
101.441,237.059,831,30.55,1550888574.94655
101.412,236.965,831,30.556,1550888576.23954
101.06,236.116,831,30.563,1550888577.53266
101.442,236.984,831,30.568,1550888578.83547
101.175,236.337,831,30.575,1550888580.13272
101.131,236.207,831,30.581,1550888581.44202
101.115,236.145,831,30.587,1550888582.76435
101.174,236.257,831,30.593,1550888584.08227
101.372,236.694,831,30.6,1550888585.41242
101.028,235.865,831,30.606,1550888586.71994
101.137,236.093,831,30.613,1550888588.00808
101.232,236.292,831,30.619,1550888589.30002
101.254,236.318,831,30.625,1550888590.59350
101.134,236.012,831,30.631,1550888591.88510
101.13,235.977,831,30.638,1550888593.18020
101.432,236.656,831,30.644,1550888594.47510
101.294,236.309,831,30.65,1550888595.76819
101.086,235.8,831,30.656,1550888597.06555
101.351,236.39,831,30.663,1550888598.36791
100.943,235.416,831,30.668,1550888599.66347
101.141,235.852,831,30.675,1550888600.95815
101.082,235.69,831,30.681,1550888602.25122
101.376,236.351,831,30.687,1550888603.54033
101.515,236.65,831,30.693,1550888604.83337
101.367,236.281,831,30.699,1550888606.12842
101.194,235.855,831,30.705,1550888607.41636
101.536,236.627,831,30.711,1550888608.70841
101.395,236.276,831,30.717,1550888610.00169
101.24,235.889,831,30.722,1550888611.29052
101.337,236.092,831,30.728,1550888612.58751
101.448,236.328,831,30.734,1550888613.88054
101.194,235.71,831,30.74,1550888615.17458
101.251,235.821,831,30.746,1550888616.46870
