alt,lat,long,ts_gps,ts
0.394,21.88474758,-159.5274682,2019-02-23T02:19:21.000Z,1550888447.16121
0.394,21.88474758,-159.5274682,2019-02-23T02:19:21.000Z,1550888448.49892
1.263,21.88474443,-159.5274716,2019-02-23T02:19:22.000Z,1550888448.61145
1.636,21.88475281,-159.5274716,2019-02-23T02:19:23.000Z,1550888449.16119
1.636,21.88475281,-159.5274716,2019-02-23T02:19:24.000Z,1550888450.16640
1.636,21.88475281,-159.5274716,2019-02-23T02:19:24.000Z,1550888451.51019
1.263,21.88474443,-159.5274716,2019-02-23T02:19:25.000Z,1550888451.62108
1.263,21.88474443,-159.5274716,2019-02-23T02:19:26.000Z,1550888452.16745
2.133,21.88474128,-159.527475,2019-02-23T02:19:27.000Z,1550888453.16493
2.133,21.88474128,-159.527475,2019-02-23T02:19:27.000Z,1550888454.49869
2.133,21.88474128,-159.527475,2019-02-23T02:19:28.000Z,1550888454.61166
3.002,21.88473812,-159.5274784,2019-02-23T02:19:29.000Z,1550888455.16640
2.954,21.88472856,-159.5274693,2019-02-23T02:19:30.000Z,1550888456.16665
2.954,21.88472856,-159.5274693,2019-02-23T02:19:30.000Z,1550888457.49973
2.954,21.88472856,-159.5274693,2019-02-23T02:19:31.000Z,1550888457.61244
3.499,21.88472659,-159.5274818,2019-02-23T02:19:32.000Z,1550888458.16625
3.499,21.88472659,-159.5274818,2019-02-23T02:19:33.000Z,1550888459.16487
3.499,21.88472659,-159.5274818,2019-02-23T02:19:33.000Z,1550888460.50293
4.368,21.88472344,-159.5274851,2019-02-23T02:19:34.000Z,1550888460.61459
4.368,21.88472344,-159.5274851,2019-02-23T02:19:35.000Z,1550888461.16593
4.368,21.88472344,-159.5274851,2019-02-23T02:19:36.000Z,1550888462.16570
4.368,21.88472344,-159.5274851,2019-02-23T02:19:36.000Z,1550888463.50409
5.237,21.88472028,-159.5274885,2019-02-23T02:19:37.000Z,1550888463.61662
4.913,21.88472146,-159.5274976,2019-02-23T02:19:38.000Z,1550888464.16621
4.913,21.88472146,-159.5274976,2019-02-23T02:19:39.000Z,1550888465.16765
4.913,21.88472146,-159.5274976,2019-02-23T02:19:39.000Z,1550888466.50470
4.913,21.88472146,-159.5274976,2019-02-23T02:19:40.000Z,1550888466.61722
5.285,21.88472984,-159.5274976,2019-02-23T02:19:41.000Z,1550888467.17605
5.285,21.88472984,-159.5274976,2019-02-23T02:19:42.000Z,1550888468.16778
5.285,21.88472984,-159.5274976,2019-02-23T02:19:42.000Z,1550888469.50580
4.588,21.88472264,-159.5275067,2019-02-23T02:19:43.000Z,1550888469.61838
4.588,21.88472264,-159.5275067,2019-02-23T02:19:44.000Z,1550888470.16939
4.588,21.88472264,-159.5275067,2019-02-23T02:19:45.000Z,1550888471.16674
4.588,21.88472264,-159.5275067,2019-02-23T02:19:45.000Z,1550888472.50511
4.588,21.88472264,-159.5275067,2019-02-23T02:19:46.000Z,1550888472.61686
4.264,21.88472381,-159.5275157,2019-02-23T02:19:47.000Z,1550888473.16814
4.264,21.88472381,-159.5275157,2019-02-23T02:19:48.000Z,1550888474.16284
4.264,21.88472381,-159.5275157,2019-02-23T02:19:48.000Z,1550888475.50190
5.133,21.88472066,-159.5275191,2019-02-23T02:19:49.000Z,1550888475.61452
4.808,21.88472184,-159.5275282,2019-02-23T02:19:50.000Z,1550888476.16711
4.808,21.88472184,-159.5275282,2019-02-23T02:19:51.000Z,1550888477.16979
4.808,21.88472184,-159.5275282,2019-02-23T02:19:51.000Z,1550888478.50460
4.808,21.88472184,-159.5275282,2019-02-23T02:19:52.000Z,1550888478.61711
4.808,21.88472184,-159.5275282,2019-02-23T02:19:53.000Z,1550888479.16934
4.808,21.88472184,-159.5275282,2019-02-23T02:19:54.000Z,1550888480.17036
4.808,21.88472184,-159.5275282,2019-02-23T02:19:54.000Z,1550888481.51171
4.808,21.88472184,-159.5275282,2019-02-23T02:19:55.000Z,1550888481.62303
4.808,21.88472184,-159.5275282,2019-02-23T02:19:56.000Z,1550888482.17059
4.808,21.88472184,-159.5275282,2019-02-23T02:19:57.000Z,1550888483.17050
4.808,21.88472184,-159.5275282,2019-02-23T02:19:57.000Z,1550888484.50679
4.808,21.88472184,-159.5275282,2019-02-23T02:19:58.000Z,1550888484.61932
4.808,21.88472184,-159.5275282,2019-02-23T02:19:59.000Z,1550888485.16938
4.808,21.88472184,-159.5275282,2019-02-23T02:20:00.000Z,1550888486.16831
4.808,21.88472184,-159.5275282,2019-02-23T02:20:00.000Z,1550888487.50792
4.808,21.88472184,-159.5275282,2019-02-23T02:20:01.000Z,1550888487.61925
4.808,21.88472184,-159.5275282,2019-02-23T02:20:02.000Z,1550888488.65821
5.133,21.88472066,-159.5275191,2019-02-23T02:20:03.000Z,1550888489.35727
5.133,21.88472066,-159.5275191,2019-02-23T02:20:03.000Z,1550888490.69577
5.133,21.88472066,-159.5275191,2019-02-23T02:20:05.000Z,1550888491.35161
5.133,21.88472066,-159.5275191,2019-02-23T02:20:06.060Z,1550888492.33380
5.133,21.88472066,-159.5275191,2019-02-23T02:20:06.060Z,1550888493.69294
6.002,21.88471751,-159.5275225,2019-02-23T02:20:07.000Z,1550888493.80543
6.002,21.88471751,-159.5275225,2019-02-23T02:20:08.000Z,1550888494.43078
6.327,21.88471633,-159.5275134,2019-02-23T02:20:09.000Z,1550888495.35661
6.327,21.88471633,-159.5275134,2019-02-23T02:20:09.000Z,1550888496.69458
6.699,21.88472471,-159.5275134,2019-02-23T02:20:10.000Z,1550888496.80710
6.375,21.88472589,-159.5275225,2019-02-23T02:20:11.000Z,1550888497.33794
6.699,21.88472471,-159.5275134,2019-02-23T02:20:12.000Z,1550888498.33747
6.699,21.88472471,-159.5275134,2019-02-23T02:20:12.000Z,1550888499.67369
6.699,21.88472471,-159.5275134,2019-02-23T02:20:13.000Z,1550888499.78624
7.244,21.88472273,-159.5275259,2019-02-23T02:20:14.000Z,1550888500.35620
7.244,21.88472273,-159.5275259,2019-02-23T02:20:15.000Z,1550888501.33690
7.244,21.88472273,-159.5275259,2019-02-23T02:20:15.000Z,1550888502.69248
7.244,21.88472273,-159.5275259,2019-02-23T02:20:16.000Z,1550888502.80523
8.114,21.88471958,-159.5275293,2019-02-23T02:20:17.000Z,1550888503.35784
7.789,21.88472076,-159.5275383,2019-02-23T02:20:18.000Z,1550888504.33979
7.789,21.88472076,-159.5275383,2019-02-23T02:20:18.000Z,1550888505.69606
7.789,21.88472076,-159.5275383,2019-02-23T02:20:19.000Z,1550888505.80851
7.789,21.88472076,-159.5275383,2019-02-23T02:20:20.000Z,1550888506.33817
7.789,21.88472076,-159.5275383,2019-02-23T02:20:21.000Z,1550888507.35779
7.789,21.88472076,-159.5275383,2019-02-23T02:20:21.000Z,1550888508.67812
7.789,21.88472076,-159.5275383,2019-02-23T02:20:22.000Z,1550888508.79081
7.789,21.88472076,-159.5275383,2019-02-23T02:20:23.000Z,1550888509.41603
8.658,21.8847176,-159.5275417,2019-02-23T02:20:24.000Z,1550888510.34480
8.658,21.8847176,-159.5275417,2019-02-23T02:20:24.000Z,1550888511.67479
8.114,21.88471958,-159.5275293,2019-02-23T02:20:25.000Z,1550888511.78731
8.983,21.88471643,-159.5275327,2019-02-23T02:20:26.000Z,1550888512.33860
9.356,21.88472481,-159.5275327,2019-02-23T02:20:27.000Z,1550888513.33838
9.356,21.88472481,-159.5275327,2019-02-23T02:20:27.000Z,1550888514.67418
9.356,21.88472481,-159.5275327,2019-02-23T02:20:28.000Z,1550888514.78699
9.68,21.88472363,-159.5275236,2019-02-23T02:20:29.000Z,1550888515.33803
9.68,21.88472363,-159.5275236,2019-02-23T02:20:30.000Z,1550888516.34322
9.68,21.88472363,-159.5275236,2019-02-23T02:20:30.000Z,1550888517.67846
10.55,21.88472047,-159.527527,2019-02-23T02:20:31.000Z,1550888517.79103
10.874,21.8847193,-159.5275179,2019-02-23T02:20:32.000Z,1550888518.33821
11.247,21.88472768,-159.5275179,2019-02-23T02:20:33.000Z,1550888519.33594
11.247,21.88472768,-159.5275179,2019-02-23T02:20:33.000Z,1550888520.67434
11.247,21.88472768,-159.5275179,2019-02-23T02:20:34.000Z,1550888520.78559
11.571,21.8847265,-159.5275088,2019-02-23T02:20:35.000Z,1550888521.33630
11.247,21.88472768,-159.5275179,2019-02-23T02:20:36.000Z,1550888522.33730
11.247,21.88472768,-159.5275179,2019-02-23T02:20:36.000Z,1550888523.67211
12.116,21.88472452,-159.5275213,2019-02-23T02:20:37.000Z,1550888523.78477
12.116,21.88472452,-159.5275213,2019-02-23T02:20:38.000Z,1550888524.41005
11.792,21.8847257,-159.5275304,2019-02-23T02:20:39.000Z,1550888525.33759
11.792,21.8847257,-159.5275304,2019-02-23T02:20:39.000Z,1550888526.67386
11.419,21.88471732,-159.5275304,2019-02-23T02:20:40.000Z,1550888526.78682
11.419,21.88471732,-159.5275304,2019-02-23T02:20:41.000Z,1550888527.33620
11.419,21.88471732,-159.5275304,2019-02-23T02:20:42.000Z,1550888528.33618
11.419,21.88471732,-159.5275304,2019-02-23T02:20:42.000Z,1550888529.67327
11.046,21.88470894,-159.5275304,2019-02-23T02:20:43.000Z,1550888529.78597
11.046,21.88470894,-159.5275304,2019-02-23T02:20:44.000Z,1550888530.33801
11.046,21.88470894,-159.5275304,2019-02-23T02:20:45.000Z,1550888531.33751
11.046,21.88470894,-159.5275304,2019-02-23T02:20:45.000Z,1550888532.67393
11.046,21.88470894,-159.5275304,2019-02-23T02:20:46.000Z,1550888532.78628
11.046,21.88470894,-159.5275304,2019-02-23T02:20:47.000Z,1550888533.33715
11.046,21.88470894,-159.5275304,2019-02-23T02:20:48.000Z,1550888534.33673
