alx,b,Deg.C,depth_m,dt,g,kPa,r,w,wlx,ts
2699.6,1141.4,32.132,0.00069685,2016-11-03T07:17:22.384949,1774.3,104.282,1742.9,5455.7,6355.7,1550888447.16121
3235.4,1436.6,32.116,0,2016-11-03T07:17:23.790183,2277.7,104.265,2154.1,6275.6,7435.9,1550888448.56644
3555.6,1420.7,32.102,0.00228965,2016-11-03T07:17:25.191555,2257.8,104.288,2138,6223.8,7648.2,1550888449.96781
6227.9,2429,32.097,0.00328515,2016-11-03T07:17:26.597500,3880.7,104.298,3632,8843.5,12752.5,1550888451.37377
6421.1,2469.7,32.09,0.00547525,2016-11-03T07:17:27.998020,3963,104.32,3705.5,8963.6,12990.9,1550888452.77429
6431.6,2472.3,32.089,0.0007964,2016-11-03T07:17:29.398777,3969.2,104.273,3713,8979.2,13056.5,1550888454.17504
6473.6,2497.9,32.084,0.00228965,2016-11-03T07:17:30.806025,4008.5,104.288,3763.1,9043.9,13240.3,1550888455.58229
6591.8,2537.9,32.076,0.00746625,2016-11-03T07:17:32.208686,4063.6,104.34,3826,9141.5,13486.3,1550888456.98494
6721.1,2580.5,32.069,0.00368335,2016-11-03T07:17:33.615996,4142.9,104.302,3888.2,9254.3,13816.7,1550888458.39225
6813.8,2615.5,32.063,0.00029865,2016-11-03T07:17:35.017510,4190,104.268,3937.5,9336.6,13998.2,1550888459.79378
6946.8,2662.8,32.054,0.00189145,2016-11-03T07:17:36.418675,4241.3,104.284,3993.4,9424.4,14256.8,1550888461.19493
7032.2,2713.6,32.05,0.0029865,2016-11-03T07:17:37.824217,4322.6,104.295,4065.9,9546,14560,1550888462.60048
7190.3,2759.7,32.048,0,2016-11-03T07:17:39.225807,4398.1,104.264,4135.6,9645.9,14939.5,1550888464.00206
7141.9,2745.1,32.04,0.0047784,2016-11-03T07:17:40.633186,4389.6,104.312,4110.7,9615.4,14824.2,1550888465.40944
7093.7,2732.2,32.035,0.0035838,2016-11-03T07:17:42.035598,4364.9,104.3,4096.6,9570.4,14669.2,1550888466.81186
7244.1,2776.3,32.027,0,2016-11-03T07:17:43.437244,4427.1,104.244,4160.8,9691.7,14960.1,1550888468.21351
7069.6,2714.9,32.022,0.00447975,2016-11-03T07:17:44.837520,4347,104.289,4078,9573.4,14592.3,1550888469.61378
7244.1,2798.9,32.017,0.00209055,2016-11-03T07:17:46.237867,4449.7,104.265,4188.5,9725.4,15063.9,1550888471.01412
7460.3,2903.6,32.012,0.00507705,2016-11-03T07:17:47.645274,4629.7,104.295,4343,9966.3,15701.5,1550888472.42154
8203.4,3112.3,32.008,0.0013937,2016-11-03T07:17:49.047516,4958.3,104.258,4685.8,10424.8,17356.8,1550888473.82377
8197.8,3120.1,32.006,0.00527615,2016-11-03T07:17:50.451258,5069.8,104.297,4801.8,10611.1,17806.3,1550888475.22752
10053.4,3695.9,32.008,0.0029865,2016-11-03T07:17:51.854870,6033,104.274,5646.2,11651.3,22435.6,1550888476.63113
10648.9,3898.8,32.014,0.00288695,2016-11-03T07:17:53.260212,6266.8,104.273,5924,11975.7,24261.9,1550888478.03647
9595.2,3712,32.013,0.00766535,2016-11-03T07:17:54.669080,5997,104.321,5651.5,11690.5,21471.4,1550888479.44534
9940.8,3733.4,32.018,0.00328515,2016-11-03T07:17:56.069992,6081.8,104.277,5693.3,11698.3,22759.2,1550888480.84625
10194.3,3755.1,32.021,0.0047784,2016-11-03T07:17:57.476797,6101,104.292,5735.8,11761.3,22818,1550888482.25306
9571.3,3562,32.023,0.0095568,2016-11-03T07:17:58.884226,5820.1,104.34,5480.1,11447.4,21198.6,1550888483.66048
9411.3,3485,32.021,0.0089595,2016-11-03T07:18:00.292730,5626.8,104.334,5320.5,11246.1,20374.8,1550888485.06899
8843.5,3372.8,32.022,0.0017919,2016-11-03T07:18:01.701410,5325,104.262,5074.6,10856.2,18801.5,1550888486.47766
8419.5,3225.3,32.013,0.00587345,2016-11-03T07:18:03.104027,5104.1,104.303,4835.5,10521.5,17545.8,1550888487.88029
8128.1,3110.8,32.011,0.0041811,2016-11-03T07:18:04.505029,4964.9,104.286,4675.5,10336.5,16867.9,1550888489.28129
7997.6,3064.2,32.005,0.0013937,2016-11-03T07:18:05.908074,4886.4,104.258,4627.6,10257.5,16544.1,1550888490.68434
7972.6,3054.6,32.004,0.0069685,2016-11-03T07:18:07.310707,4878.6,104.314,4609,10231.5,16534.9,1550888492.08697
7947.7,3050.9,31.998,0.00925815,2016-11-03T07:18:08.717523,4875,104.337,4605.7,10235.3,16534.9,1550888493.49378
8044.7,3092.9,31.993,0.0029865,2016-11-03T07:18:10.120382,4945.3,104.274,4669.4,10323.4,16751.5,1550888494.89664
8172.7,3140.7,31.99,0.00607255,2016-11-03T07:18:11.529090,5005.2,104.305,4738.9,10418.8,17131.9,1550888496.30535
8312.6,3215.2,31.985,0.0089595,2016-11-03T07:18:12.932602,5067.1,104.334,4812.1,10528.8,17506.8,1550888497.70886
8529.7,3293.7,31.982,0.00826265,2016-11-03T07:18:14.335583,5171.8,104.327,4913,10649.1,18086,1550888499.11183
8643.3,3347.8,31.982,0.0041811,2016-11-03T07:18:15.744238,5253.3,104.286,4985.5,10757.1,18411.7,1550888500.52050
8883.8,3357.2,31.982,0.00228965,2016-11-03T07:18:17.146670,5374.1,104.267,5155.4,10951.6,18986.6,1550888501.92293
9237.9,3452.3,31.978,0.0091586,2016-11-03T07:18:18.554162,5577.5,104.336,5278.2,11185.7,19982.2,1550888503.33042
9586.2,3552,31.979,0.0073667,2016-11-03T07:18:19.958913,5786.1,104.318,5465,11412.7,21090.6,1550888504.73517
9825.9,3634,31.976,0.00925815,2016-11-03T07:18:21.365238,5912.2,104.337,5581.3,11558.7,21878.7,1550888506.14149
