p,rh,t,ts
101.594,85.74,19.082,1550939768.00000
101.597,85.79,19.084,1550939770.46617
101.593,85.8,19.085,1550939772.93171
101.593,85.79,19.091,1550939775.39888
101.594,85.75,19.085,1550939777.87459
101.592,85.7,19.093,1550939780.34620
101.593,85.67,19.087,1550939782.80799
101.594,85.61,19.087,1550939785.27419
101.593,85.56,19.087,1550939787.74158
101.592,85.52,19.082,1550939790.20663
101.595,85.51,19.087,1550939792.67372
101.598,85.49,19.084,1550939795.14101
101.595,85.48,19.083,1550939797.61234
101.593,85.51,19.083,1550939800.07813
101.593,85.45,19.083,1550939802.54571
101.593,85.39,19.072,1550939805.01278
101.595,85.34,19.077,1550939807.47757
101.597,85.39,19.069,1550939809.94314
101.594,85.42,19.071,1550939812.41054
101.596,85.46,19.071,1550939814.87795
101.593,85.54,19.073,1550939817.34514
101.6,85.59,19.082,1550939819.82041
101.599,85.63,19.08,1550939822.28540
101.594,85.69,19.081,1550939824.75334
101.594,85.75,19.082,1550939827.22079
101.597,85.8,19.086,1550939829.68892
101.594,85.84,19.087,1550939832.16419
101.597,85.82,19.093,1550939834.63021
101.597,85.89,19.08,1550939839.70077
101.599,85.99,19.097,1550939842.21294
101.595,86.06,19.099,1550939844.68031
101.594,86.14,19.102,1550939847.13776
101.595,86.27,19.108,1550939849.60552
101.599,86.34,19.113,1550939852.06809
101.596,86.3,19.111,1550939854.52964
101.597,86.21,19.11,1550939856.99610
101.598,86.17,19.115,1550939859.46323
101.597,86.17,19.113,1550939861.93042
101.597,86.13,19.112,1550939864.39781
101.595,86.08,19.108,1550939866.86478
101.597,86.01,19.103,1550939869.33187
101.597,85.96,19.101,1550939871.79918
101.597,85.88,19.098,1550939874.26341
101.599,85.79,19.093,1550939876.72964
101.596,85.73,19.092,1550939879.19605
101.598,85.71,19.083,1550939881.66321
101.601,85.7,19.089,1550939884.13022
101.598,85.74,19.087,1550939886.59772
101.599,85.77,19.09,1550939889.06453
101.599,85.76,19.087,1550939891.53163
101.603,85.65,19.089,1550939893.99789
101.597,85.69,19.091,1550939896.46251
101.602,85.8,19.1,1550939898.92960
101.594,85.88,19.101,1550939901.39783
101.597,85.92,19.113,1550939903.86617
101.599,85.96,19.123,1550939906.33346
101.597,86.01,19.136,1550939908.80275
101.601,86.04,19.154,1550939911.26994
101.598,86.05,19.168,1550939913.73716
101.596,86.02,19.176,1550939916.20428
101.594,85.96,19.19,1550939918.67358
101.6,85.91,19.2,1550939921.14078
101.599,85.7,19.21,1550939923.60500
101.598,85.57,19.223,1550939926.06791
101.596,85.55,19.236,1550939928.53485
101.598,85.56,19.25,1550939930.99776
101.601,85.57,19.265,1550939933.45848
101.599,85.56,19.278,1550939935.92845
101.603,85.52,19.285,1550939938.39554
101.599,85.49,19.298,1550939940.86253
101.593,85.38,19.302,1550939943.32984
101.597,85.31,19.309,1550939945.79682
101.6,85.31,19.317,1550939948.26386
101.601,85.31,19.32,1550939950.73098
101.599,85.33,19.329,1550939953.19780
101.596,85.34,19.339,1550939955.66491
101.597,85.36,19.345,1550939958.12773
101.597,85.37,19.357,1550939960.59540
101.6,85.39,19.37,1550939963.06289
101.601,85.41,19.39,1550939965.53097
101.6,85.43,19.397,1550939967.99822
101.598,85.45,19.412,1550939970.46548
101.6,85.43,19.43,1550939972.93285
101.598,85.33,19.449,1550939975.40009
101.6,85.25,19.453,1550939977.85795
101.599,85.2,19.469,1550939980.31798
101.597,85.19,19.484,1550939982.77813
101.601,85.2,19.496,1550939985.23780
101.602,85.19,19.51,1550939987.70018
101.603,85.18,19.529,1550939990.16855
101.597,85.16,19.535,1550939992.63644
101.602,85.08,19.552,1550939995.09813
101.601,85,19.556,1550939997.56515
101.601,84.95,19.565,1550940000.02812
101.599,84.91,19.572,1550940002.49771
101.599,84.86,19.58,1550940004.96546
101.6,84.82,19.584,1550940007.43288
101.599,84.79,19.587,1550940009.90063
101.601,84.76,19.596,1550940012.36825
101.6,84.75,19.6,1550940014.83621
101.603,84.73,19.602,1550940017.30356
101.604,84.71,19.611,1550940019.77552
101.6,84.7,19.609,1550940022.24468
101.598,84.68,19.612,1550940024.71205
101.6,84.67,19.615,1550940027.17819
101.6,84.68,19.622,1550940029.64631
101.6,84.69,19.624,1550940032.10821
101.601,84.68,19.636,1550940034.57914
101.6,84.67,19.64,1550940037.04979
101.602,84.67,19.648,1550940039.51711
101.605,84.68,19.658,1550940041.98402
101.601,84.7,19.668,1550940044.44788
101.601,84.71,19.679,1550940046.91491
101.601,84.72,19.686,1550940049.38195
101.6,84.74,19.699,1550940051.84905
101.604,84.74,19.713,1550940054.31621
101.602,84.72,19.728,1550940056.78442
101.603,84.68,19.744,1550940059.25144
101.604,84.63,19.755,1550940061.71914
101.604,84.59,19.766,1550940064.18628
101.602,84.55,19.773,1550940066.65373
101.599,84.53,19.79,1550940069.11577
101.6,84.52,19.806,1550940071.58335
101.602,84.53,19.815,1550940074.05035
101.6,84.54,19.834,1550940076.51746
101.601,84.56,19.852,1550940078.98461
101.602,84.57,19.876,1550940081.45190
101.599,84.57,19.892,1550940083.91937
101.603,84.55,19.92,1550940086.38658
101.602,84.55,19.934,1550940088.85574
101.599,84.53,19.954,1550940091.32290
101.597,84.52,19.98,1550940093.78784
101.598,84.51,19.998,1550940096.25514
101.598,84.49,20.019,1550940098.72327
