Chlorophyll,date,Thermistor,time,ts,Turbidity
50,02/23/19,521,16:31:48,1550975520.64536,50
50,02/23/19,521,16:31:49,1550975521.76583,50
50,02/23/19,521,16:31:51,1550975523.86242,50
50,02/23/19,521,16:31:54,1550975527.06623,50
921,02/23/19,521,16:31:55,1550975528.13659,1703
1520,02/23/19,520,16:31:57,1550975529.21088,4130
1532,02/23/19,520,16:31:58,1550975530.28449,4130
1530,02/23/19,520,16:31:59,1550975531.36736,4130
1532,02/23/19,521,16:32:00,1550975532.43839,4130
1532,02/23/19,520,16:32:01,1550975533.51174,4130
1530,02/23/19,521,16:32:02,1550975534.58555,4130
1530,02/23/19,520,16:32:03,1550975535.65896,4130
1532,02/23/19,520,16:32:04,1550975536.73257,4130
1528,02/23/19,520,16:32:05,1550975537.80624,4130
1532,02/23/19,520,16:32:06,1550975538.88010,4130
1532,02/23/19,520,16:32:07,1550975539.95354,4130
1535,02/23/19,520,16:32:08,1550975541.02729,4130
1534,02/23/19,520,16:32:09,1550975542.10187,4130
1531,02/23/19,520,16:32:11,1550975543.17479,4130
1531,02/23/19,520,16:32:12,1550975544.24861,4130
1533,02/23/19,521,16:32:13,1550975545.32251,4130
1532,02/23/19,520,16:32:14,1550975546.39811,4130
1532,02/23/19,520,16:32:15,1550975547.47033,4130
1531,02/23/19,520,16:32:16,1550975548.54784,4130
1531,02/23/19,520,16:32:17,1550975549.61834,4130
1531,02/23/19,520,16:32:18,1550975550.69490,4130
1532,02/23/19,520,16:32:19,1550975551.76552,4130
1530,02/23/19,520,16:32:20,1550975552.83926,4130
1530,02/23/19,520,16:32:21,1550975553.91397,4130
1532,02/23/19,520,16:32:22,1550975554.98719,4130
1533,02/23/19,520,16:32:23,1550975556.06733,4130
1531,02/23/19,520,16:32:24,1550975557.15136,4130
1513,02/23/19,520,16:32:27,1550975559.28893,4130
1528,02/23/19,520,16:32:28,1550975560.36304,4130
1532,02/23/19,520,16:32:29,1550975561.43672,4130
1532,02/23/19,520,16:32:30,1550975562.51180,4130
1532,02/23/19,520,16:32:31,1550975563.58460,4130
1532,02/23/19,520,16:32:32,1550975564.65876,4130
1531,02/23/19,520,16:32:33,1550975565.73251,4130
1532,02/23/19,520,16:32:34,1550975566.80615,4130
1530,02/23/19,520,16:32:35,1550975567.88024,4130
1531,02/23/19,520,16:32:36,1550975568.96348,4130
1531,02/23/19,520,16:32:37,1550975570.02754,4130
1531,02/23/19,520,16:32:38,1550975571.10162,4130
1531,02/23/19,520,16:32:40,1550975572.17591,4130
