Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.013,996.192,0.016,1719,1504.896,28.194,1550879724.4121652
-0.013,996.195,0.016,1719,1504.864,28.181,1550879725.1251535
-0.013,996.197,0.016,1719,1504.852,28.176,1550879725.8370888
-0.014,996.192,0.016,1719,1504.892,28.193,1550879726.5530803
-0.013,996.193,0.016,1719,1504.888,28.191,1550879727.268751
-0.013,996.191,0.016,1719,1504.904,28.197,1550879727.982091
-0.013,996.197,0.016,1719,1504.857,28.178,1550879728.6976447
-0.013,996.196,0.016,1719,1504.86,28.18,1550879729.4123652
-0.013,996.194,0.016,1719,1504.876,28.186,1550879730.1224124
-0.013,996.191,0.016,1719,1504.9,28.196,1550879730.840537
-0.013,996.194,0.016,1719,1504.88,28.188,1550879731.5571
-0.013,996.193,0.016,1719,1504.884,28.189,1550879732.271139
-0.012,996.191,0.016,1719,1504.904,28.197,1550879732.9911902
-0.013,996.195,0.016,1719,1504.869,28.183,1550879733.7123191
-0.013,996.194,0.016,1719,1504.876,28.186,1550879734.4283686
-0.013,996.193,0.016,1719,1504.888,28.191,1550879735.1423776
-0.013,996.189,0.016,1719,1504.92,28.204,1550879735.8637261
-0.013,996.19,0.016,1719,1504.908,28.199,1550879736.578195
-0.013,996.191,0.016,1719,1504.904,28.197,1550879737.2920883
-0.013,996.189,0.016,1719,1504.92,28.204,1550879738.0060108
-0.013,996.189,0.016,1719,1504.92,28.204,1550879738.7207584
-0.013,996.186,0.016,1719,1504.944,28.214,1550879739.4311714
-0.013,996.19,0.016,1719,1504.908,28.199,1550879740.1551998
-0.013,996.186,0.016,1719,1504.944,28.214,1550879740.8691525
-0.013,996.182,0.016,1719,1504.98,28.228,1550879741.5850806
-0.013,996.182,0.016,1719,1504.984,28.23,1550879742.303194
-0.013,996.188,0.016,1719,1504.932,28.209,1550879743.017103
-0.013,996.182,0.016,1719,1504.984,28.23,1550879743.738572
-0.013,996.181,0.016,1719,1504.992,28.233,1550879744.4531302
-0.013,996.186,0.016,1719,1504.944,28.214,1550879745.173351
-0.013,996.177,0.016,1719,1505.023,28.246,1550879745.8952293
-0.013,996.179,0.016,1719,1505.004,28.238,1550879746.611115
-0.013,996.175,0.016,1719,1505.039,28.253,1550879747.3260431
-0.014,996.179,0.016,1719,1505.004,28.238,1550879748.0400229
-0.014,996.179,0.016,1719,1505.008,28.24,1550879748.753896
-0.015,996.174,0.017,1719,1505.052,28.258,1550879749.465516
-0.013,996.176,0.016,1719,1505.031,28.25,1550879750.180097
