AirSaturation,O2Concentration,SN,Temperature,ts
100.473,240.728,831,29.108,1550879724.6245446
100.149,239.943,831,29.11,1550879725.9185116
100.788,241.464,831,29.113,1550879727.217015
100.174,239.981,831,29.115,1550879728.5158901
100.672,241.165,831,29.117,1550879729.8046892
100.541,240.84,831,29.12,1550879731.093607
100.501,240.734,831,29.122,1550879732.3890781
100.404,240.493,831,29.125,1550879733.6813784
100.435,240.555,831,29.127,1550879734.9789662
100.285,240.186,831,29.13,1550879736.2717702
100.514,240.722,831,29.132,1550879737.5598922
100.147,239.831,831,29.135,1550879738.85409
100.538,240.758,831,29.138,1550879740.1703389
100.212,239.965,831,29.141,1550879741.4641352
100.603,240.891,831,29.143,1550879742.7615995
100.503,240.638,831,29.146,1550879744.0551088
100.527,240.684,831,29.149,1550879745.3440256
100.348,240.242,831,29.152,1550879746.6371808
100.167,239.795,831,29.156,1550879747.9312742
100.056,239.517,831,29.159,1550879749.22614
100.437,240.416,831,29.162,1550879750.5224938
100.558,240.692,831,29.165,1550879751.8201935
100.422,240.354,831,29.168,1550879753.1131656
100.813,241.276,831,29.171,1550879754.4030387
100.425,240.332,831,29.175,1550879755.696245
100.304,240.03,831,29.178,1550879756.991326
99.986,239.254,831,29.181,1550879758.2872257
100.209,239.774,831,29.185,1550879759.5805259
100.511,240.482,831,29.188,1550879760.8791463
100.275,239.905,831,29.191,1550879762.203296
100.417,240.234,831,29.194,1550879763.53184
100.433,240.259,831,29.197,1550879764.8433096
100.778,241.072,831,29.2,1550879766.1713538
100.808,241.13,831,29.203,1550879767.4896803
99.994,239.172,831,29.206,1550879768.781008
100.562,240.516,831,29.209,1550879770.074914
100.332,239.954,831,29.212,1550879771.3637621
100.272,239.8,831,29.214,1550879772.6607177
100.328,239.922,831,29.217,1550879773.95655
100.694,240.786,831,29.22,1550879775.251111
100.578,240.496,831,29.223,1550879776.5509515
100.035,239.186,831,29.226,1550879777.8398895
100.479,240.236,831,29.229,1550879779.1319444
100.298,239.79,831,29.231,1550879780.429988
100.215,239.58,831,29.234,1550879781.7240005
100.294,239.755,831,29.237,1550879783.017252
100.303,239.767,831,29.24,1550879784.3059762
100.558,240.364,831,29.243,1550879785.6109965
100.233,239.575,831,29.246,1550879786.9000986
100.643,240.541,831,29.249,1550879788.192126
100.407,239.965,831,29.252,1550879789.487156
100.533,240.252,831,29.256,1550879790.7782822
100.275,239.622,831,29.259,1550879792.0722256
100.791,240.84,831,29.262,1550879793.3642185
100.486,240.1,831,29.265,1550879794.6535077
100.428,239.948,831,29.268,1550879795.9462774
100.357,239.763,831,29.272,1550879797.240325
100.699,240.567,831,29.275,1550879798.535157
100.303,239.608,831,29.278,1550879799.8333807
100.356,239.718,831,29.282,1550879801.1294162
100.349,239.689,831,29.285,1550879802.4224882
100.914,241.024,831,29.288,1550879803.7116623
100.374,239.721,831,29.292,1550879805.0202148
100.173,239.227,831,29.295,1550879806.3215225
100.381,239.71,831,29.298,1550879807.6148891
100.209,239.286,831,29.301,1550879808.9036837
100.477,239.913,831,29.305,1550879810.1965947
100.771,240.602,831,29.308,1550879811.5007784
100.481,239.896,831,29.311,1550879812.8093536
100.313,239.481,831,29.314,1550879814.1044447
100.474,239.853,831,29.317,1550879815.3977494
100.392,239.644,831,29.321,1550879816.6950066
