alt,lat,long,ts,ts_gps
11.102,21.884699004,-159.527490709,1478201184.5991287,2019-02-22T23:55:20.000Z
11.102,21.884699004,-159.527490709,1478201185.6378896,2019-02-22T23:55:21.000Z
11.102,21.884699004,-159.527490709,1478201186.974414,2019-02-22T23:55:21.000Z
11.102,21.884699004,-159.527490709,1478201187.0869584,2019-02-22T23:55:22.000Z
11.102,21.884699004,-159.527490709,1478201187.5980873,2019-02-22T23:55:23.000Z
11.102,21.884699004,-159.527490709,1478201188.6377094,2019-02-22T23:55:24.000Z
11.102,21.884699004,-159.527490709,1478201189.929042,2019-02-22T23:55:24.000Z
11.102,21.884699004,-159.527490709,1478201190.041478,2019-02-22T23:55:25.000Z
11.102,21.884699004,-159.527490709,1478201190.6674204,2019-02-22T23:55:26.000Z
11.102,21.884699004,-159.527490709,1478201191.5986307,2019-02-22T23:55:27.000Z
11.102,21.884699004,-159.527490709,1478201192.9743495,2019-02-22T23:55:27.000Z
11.102,21.884699004,-159.527490709,1478201193.086956,2019-02-22T23:55:28.000Z
11.102,21.884699004,-159.527490709,1478201193.596445,2019-02-22T23:55:29.000Z
11.102,21.884699004,-159.527490709,1478201194.6386938,2019-02-22T23:55:30.000Z
11.102,21.884699004,-159.527490709,1478201195.9333868,2019-02-22T23:55:30.000Z
11.102,21.884699004,-159.527490709,1478201196.0461807,2019-02-22T23:55:31.000Z
11.102,21.884699004,-159.527490709,1478201196.6393466,2019-02-22T23:55:32.000Z
11.102,21.884699004,-159.527490709,1478201197.5927052,2019-02-22T23:55:33.000Z
11.102,21.884699004,-159.527490709,1478201198.9342372,2019-02-22T23:55:33.000Z
11.102,21.884699004,-159.527490709,1478201199.0479634,2019-02-22T23:55:34.000Z
11.102,21.884699004,-159.527490709,1478201199.6392076,2019-02-22T23:55:35.000Z
11.102,21.884699004,-159.527490709,1478201200.597259,2019-02-22T23:55:36.000Z
11.102,21.884699004,-159.527490709,1478201201.974625,2019-02-22T23:55:36.000Z
11.102,21.884699004,-159.527490709,1478201202.0871317,2019-02-22T23:55:37.000Z
11.102,21.884699004,-159.527490709,1478201202.639259,2019-02-22T23:55:38.000Z
11.102,21.884699004,-159.527490709,1478201203.5976489,2019-02-22T23:55:39.000Z
11.102,21.884699004,-159.527490709,1478201204.9343278,2019-02-22T23:55:39.000Z
11.102,21.884699004,-159.527490709,1478201205.0467904,2019-02-22T23:55:40.000Z
11.102,21.884699004,-159.527490709,1478201205.672078,2019-02-22T23:55:41.000Z
11.102,21.884699004,-159.527490709,1478201206.5967643,2019-02-22T23:55:42.000Z
11.102,21.884699004,-159.527490709,1478201207.9295628,2019-02-22T23:55:42.000Z
11.102,21.884699004,-159.527490709,1478201208.042059,2019-02-22T23:55:43.000Z
11.102,21.884699004,-159.527490709,1478201208.5983677,2019-02-22T23:55:44.000Z
11.102,21.884699004,-159.527490709,1478201209.596369,2019-02-22T23:55:45.000Z
11.102,21.884699004,-159.527490709,1478201210.933723,2019-02-22T23:55:45.000Z
11.102,21.884699004,-159.527490709,1478201211.0479445,2019-02-22T23:55:46.000Z
11.102,21.884699004,-159.527490709,1478201211.5970967,2019-02-22T23:55:47.000Z
11.102,21.884699004,-159.527490709,1478201212.5971034,2019-02-22T23:55:48.000Z
11.102,21.884699004,-159.527490709,1478201213.9336748,2019-02-22T23:55:48.000Z
11.102,21.884699004,-159.527490709,1478201214.0458343,2019-02-22T23:55:49.000Z
11.102,21.884699004,-159.527490709,1478201214.5928285,2019-02-22T23:55:50.000Z
11.102,21.884699004,-159.527490709,1478201215.597075,2019-02-22T23:55:51.000Z
11.102,21.884699004,-159.527490709,1478201216.9336574,2019-02-22T23:55:51.000Z
11.102,21.884699004,-159.527490709,1478201217.0467637,2019-02-22T23:55:52.000Z
11.102,21.884699004,-159.527490709,1478201217.5970356,2019-02-22T23:55:53.000Z
11.102,21.884699004,-159.527490709,1478201218.597413,2019-02-22T23:55:54.000Z
11.102,21.884699004,-159.527490709,1478201219.9348109,2019-02-22T23:55:54.000Z
11.102,21.884699004,-159.527490709,1478201220.0474322,2019-02-22T23:55:55.000Z
11.102,21.884699004,-159.527490709,1478201220.672756,2019-02-22T23:55:56.000Z
11.102,21.884699004,-159.527490709,1478201221.5922875,2019-02-22T23:55:57.000Z
11.102,21.884699004,-159.527490709,1478201222.9337304,2019-02-22T23:55:57.000Z
11.102,21.884699004,-159.527490709,1478201223.0467358,2019-02-22T23:55:58.000Z
11.102,21.884699004,-159.527490709,1478201223.5984156,2019-02-22T23:55:59.000Z
11.102,21.884699004,-159.527490709,1478201224.5969708,2019-02-22T23:56:00.000Z
11.102,21.884699004,-159.527490709,1478201225.934297,2019-02-22T23:56:00.000Z
11.102,21.884699004,-159.527490709,1478201226.047323,2019-02-22T23:56:01.000Z
11.102,21.884699004,-159.527490709,1478201226.5993986,2019-02-22T23:56:02.000Z
11.102,21.884699004,-159.527490709,1478201227.5973086,2019-02-22T23:56:03.000Z
11.102,21.884699004,-159.527490709,1478201228.9338334,2019-02-22T23:56:03.000Z
11.102,21.884699004,-159.527490709,1478201229.046362,2019-02-22T23:56:04.000Z
11.102,21.884699004,-159.527490709,1478201229.597521,2019-02-22T23:56:05.000Z
11.102,21.884699004,-159.527490709,1478201230.5963671,2019-02-22T23:56:06.000Z
11.102,21.884699004,-159.527490709,1478201231.9292095,2019-02-22T23:56:06.000Z
11.102,21.884699004,-159.527490709,1478201232.0422244,2019-02-22T23:56:07.000Z
11.102,21.884699004,-159.527490709,1478201232.597637,2019-02-22T23:56:08.000Z
11.102,21.884699004,-159.527490709,1478201233.5972843,2019-02-22T23:56:09.000Z
11.102,21.884699004,-159.527490709,1478201234.9338236,2019-02-22T23:56:09.000Z
11.102,21.884699004,-159.527490709,1478201235.046696,2019-02-22T23:56:10.000Z
