alx,b,Deg.C,depth_m,dt,g,kPa,r,ts,w,wlx
20829.2,6503.4,35.593,0.026181649999999102,2016-11-03T09:26:24.547248,10022.7,104.24,9588.8,1478201184.547224,15512.0,57723.3
20589.0,6512.5,35.604,0.02976544999999924,2016-11-03T09:26:25.959556,10034.5,104.276,9570.4,1478201185.9595258,15518.1,57758.9
20817.4,6509.7,35.615,0.03484249999999943,2016-11-03T09:26:27.367338,10037.8,104.327,9571.1,1478201187.367313,15519.1,57848.0
20659.0,6519.8,35.622,0.03105959999999976,2016-11-03T09:26:28.776296,10038.8,104.289,9573.7,1478201188.7762523,15518.3,57634.3
20858.7,6505.7,35.632,0.03265240000000029,2016-11-03T09:26:30.185148,10023.4,104.305,9591.3,1478201190.1851237,15514.6,57403.7
20705.8,6510.0,35.643,0.03195554999999979,2016-11-03T09:26:31.594958,10037.5,104.298,9581.7,1478201191.5949275,15522.1,57812.3
20793.9,6507.9,35.653,0.028969049999999684,2016-11-03T09:26:33.013317,10034.2,104.268,9570.9,1478201193.0132864,15517.3,57776.7
20594.8,6501.6,35.661,0.02628119999999958,2016-11-03T09:26:34.421157,10055.4,104.241,9606.9,1478201194.4211278,15524.6,58026.6
20788.0,6519.0,35.674,0.028969049999999684,2016-11-03T09:26:35.834254,10062.9,104.268,9580.2,1478201195.8342242,15524.6,58080.3
20923.9,6519.5,35.684,0.03324970000000032,2016-11-03T09:26:37.241684,10053.1,104.311,9595.0,1478201197.2416563,15520.3,57973.0
20852.8,6523.5,35.698,0.03185599999999932,2016-11-03T09:26:38.649082,10057.9,104.297,9595.8,1478201198.6490588,15521.9,57937.3
20782.1,6505.7,35.71,0.03534024999999898,2016-11-03T09:26:40.061789,10028.4,104.332,9586.5,1478201200.0617585,15515.1,57386.0
20618.1,6494.9,35.716,0.0339465499999994,2016-11-03T09:26:41.468669,10023.4,104.318,9584.0,1478201201.4686396,15513.8,57990.9
20653.1,6517.0,35.732,0.03534024999999898,2016-11-03T09:26:42.880270,10030.7,104.332,9572.1,1478201202.880241,15513.8,57758.9
20764.5,6510.2,35.739,0.030860500000000225,2016-11-03T09:26:44.286155,10034.7,104.287,9584.7,1478201204.2861319,15522.4,58080.3
20711.6,6527.3,35.749,0.02916814999999922,2016-11-03T09:26:45.692775,10043.3,104.27,9576.9,1478201205.6927528,15517.8,57794.5
20782.1,6525.6,35.762,0.034643399999999894,2016-11-03T09:26:47.105111,10031.5,104.325,9560.3,1478201207.105086,15508.3,57865.8
20670.6,6502.9,35.772,0.02966590000000018,2016-11-03T09:26:48.512387,10036.7,104.275,9583.7,1478201208.512359,15514.3,57794.5
20676.5,6504.2,35.78,0.027177149999999612,2016-11-03T09:26:49.924420,10041.0,104.25,9576.9,1478201209.9243908,15512.5,57510.1
20641.4,6515.5,35.792,0.03583799999999994,2016-11-03T09:26:51.331042,10042.0,104.337,9582.5,1478201211.3310122,15516.8,57973.0
20682.3,6513.5,35.796,0.02677894999999913,2016-11-03T09:26:52.738726,10041.3,104.246,9587.2,1478201212.738703,15512.5,57705.5
20764.5,6512.5,35.795,0.0329510500000003,2016-11-03T09:26:54.146067,10048.8,104.308,9581.2,1478201214.1460452,15522.1,57919.4
20870.6,6528.1,35.789,0.03225419999999981,2016-11-03T09:26:55.554011,10053.9,104.301,9599.1,1478201215.553979,15525.9,58044.5
20635.6,6488.6,35.783,0.03553934999999993,2016-11-03T09:26:56.966517,10056.1,104.334,9593.3,1478201216.9664955,15514.8,57456.9
20571.5,6490.8,35.777,0.030661399999999277,2016-11-03T09:26:58.373926,10042.0,104.285,9598.3,1478201218.3739,15520.9,58223.8
20888.3,6527.8,35.77,0.032353750000000285,2016-11-03T09:26:59.783506,10053.1,104.302,9601.3,1478201219.783479,15527.6,58331.6
20900.1,6523.3,35.76,0.03016364999999973,2016-11-03T09:27:01.190793,10059.6,104.28,9604.4,1478201221.1907692,15522.6,58241.7
20723.4,6504.2,35.762,0.02946679999999923,2016-11-03T09:27:02.597312,10061.9,104.273,9599.8,1478201222.597289,15529.9,58080.3
20782.1,6514.2,35.761,0.03245329999999934,2016-11-03T09:27:04.009506,10060.2,104.303,9596.8,1478201224.0094814,15524.6,58152.0
20699.9,6533.6,35.766,0.03165689999999979,2016-11-03T09:27:05.417136,10051.6,104.295,9601.8,1478201225.417106,15525.1,57973.0
20746.8,6532.4,35.773,0.03165689999999979,2016-11-03T09:27:06.823918,10049.3,104.295,9601.6,1478201226.823892,15530.2,58169.9
20811.5,6516.2,35.778,0.03384699999999892,2016-11-03T09:27:08.231211,10062.7,104.317,9610.7,1478201228.2311873,15532.4,57990.9
20676.5,6514.7,35.784,0.03534024999999898,2016-11-03T09:27:09.638721,10059.9,104.332,9598.8,1478201229.638693,15527.1,57955.1
20906.1,6512.7,35.785,0.03185599999999932,2016-11-03T09:27:11.052154,10062.4,104.297,9605.9,1478201231.052125,15531.4,57865.8
20746.8,6508.2,35.789,0.028969049999999684,2016-11-03T09:27:12.460588,10052.1,104.268,9594.0,1478201232.460559,15526.1,57901.5
20729.2,6508.9,35.795,0.03414564999999894,2016-11-03T09:27:13.875726,10064.9,104.32,9605.9,1478201233.875702,15520.6,57794.5
20776.2,6510.0,35.795,0.02777444999999964,2016-11-03T09:27:15.286136,10051.1,104.256,9601.6,1478201235.28611,15529.4,57883.7
20811.5,6523.5,35.794,0.03324970000000032,2016-11-03T09:27:16.693658,10057.6,104.311,9597.3,1478201236.6936362,15526.1,58134.1
20823.3,6513.2,35.794,0.03315014999999984,2016-11-03T09:27:18.105516,10059.6,104.31,9614.4,1478201238.105489,15525.6,58223.8
20788.0,6511.5,35.799,0.03444429999999895,2016-11-03T09:27:19.512976,10066.9,104.323,9601.8,1478201239.5129447,15532.2,58062.4
20776.2,6510.0,35.809,0.03006409999999925,2016-11-03T09:27:20.925297,10071.2,104.279,9599.8,1478201240.925269,15533.4,58223.8
20852.8,6495.9,35.819,0.028172650000000122,2016-11-03T09:27:22.332929,10054.1,104.26,9602.1,1478201242.332899,15528.9,57669.9
20647.3,6543.2,35.832,0.03285149999999983,2016-11-03T09:27:23.740166,10056.1,104.307,9603.1,1478201243.740143,15530.9,57990.9
20659.0,6498.9,35.844,0.03454384999999942,2016-11-03T09:27:25.147434,10043.8,104.324,9586.7,1478201245.1474085,15524.6,57990.9
