potential,current
-101.125,-2.2617978567041383e-09
-101.625,-2.9238068569270994e-09
-102.125,-3.668467641091463e-09
-102.625,-3.381570583371788e-09
-103.125,-3.7654245414842614e-09
-103.625,-3.609657717902388e-09
-104.125,-4.07934237472324e-09
-104.625,-5.196730915315657e-09
-105.125,-4.439354472083386e-09
-105.625,-3.805160976071474e-09
-106.125,-4.3193504396300045e-09
-106.625,-4.215240981011507e-09
-107.125,-3.983180203022186e-09
-107.625,-4.131794468378361e-09
-108.125,-4.482269821437576e-09
-108.625,-2.563794759566954e-09
-109.125,-4.126231367536151e-09
-109.625,-4.054705785279169e-09
-110.125,-4.38769710712001e-09
-110.625,-4.370213075901636e-09
-111.125,-4.164378344739876e-09
-111.625,-4.212856794936275e-09
-112.125,-4.700820211667245e-09
-112.625,-4.274050904200582e-09
-113.125,-4.1842465620334816e-09
-113.625,-4.513264240415602e-09
-114.125,-4.505316953498159e-09
-114.625,-4.269282532050117e-09
-115.125,-5.7641672012210525e-09
-115.625,-4.575253078371653e-09
-116.125,-4.765193235698529e-09
-116.625,-4.157225786514177e-09
-117.125,-4.731814630645271e-09
-117.625,-4.1508679569802235e-09
-118.125,-4.734198816720503e-09
-118.625,-3.5198533757352877e-09
-119.125,-3.827413379440313e-09
-119.625,-4.100800049400335e-09
-120.125,-4.598300210432236e-09
-120.625,-4.374981448052102e-09
-121.125,-4.677773079606661e-09
-121.625,-4.212062066244531e-09
-122.125,-4.556179589769791e-09
-122.625,-4.6340630015607274e-09
-123.125,-4.479885635362343e-09
-123.5625,-4.447301759000829e-09
-124.0625,-4.460017418068737e-09
-124.5625,-4.414717882639315e-09
-125.0625,-5.62350022278232e-09
-125.5625,-4.9074496715207505e-09
-126.0625,-4.894734012452842e-09
-126.5625,-4.4441228442338516e-09
-127.0625,-4.444917572925596e-09
-127.5625,-4.702409669050733e-09
-128.0625,-4.8494344770234195e-09
-128.5625,-4.36703416113466e-09
-129.0625,-3.3322974044836446e-09
-129.5625,-4.309813695329074e-09
-130.0625,-4.55776904715328e-09
-130.5625,-4.479885635362343e-09
-131.0625,-4.5116747830321134e-09
-131.5625,-4.435380828624665e-09
-132.0625,-4.728635715878294e-09
-132.5625,-4.2406722991473235e-09
-133.0625,-4.595916024357004e-09
-133.5625,-4.576842535755141e-09
-134.0625,-4.661878505771777e-09
-134.5625,-4.3201451683217486e-09
-135.0625,-4.4655805189109465e-09
-135.5625,-6.0009963513608394e-09
-136.0625,-4.992485641537385e-09
-136.5625,-4.460017418068737e-09
-137.0625,-4.537106101167929e-09
-137.5625,-4.690488738674569e-09
-138.0625,-4.462401604143969e-09
-138.5625,-4.652341761470846e-09
-139.0625,-4.274050904200582e-09
-139.5625,-3.1224890298631625e-09
-140.0625,-4.667441606613986e-09
-140.5625,-4.44014920077513e-09
-141.0625,-4.580816179213863e-09
-141.5625,-4.237493384380346e-09
-142.0625,-4.627705172026774e-09
-142.5625,-4.487038193588041e-09
-143.0625,-4.5108800543403685e-09
-143.5625,-4.391670750578731e-09
-144.0625,-4.761219592239808e-09
-144.5625,-4.574458349679909e-09
-145.0625,-4.402796952263151e-09
-145.5625,-4.671415250072708e-09
-146.0625,-5.8778134041404805e-09
-146.5625,-4.513264240415602e-09
-147.0625,-4.76916687915725e-09
-147.5625,-4.4902171083550186e-09
-148.0625,-4.5108800543403685e-09
-148.5625,-4.394849665345708e-09
-149.0625,-4.587174008747817e-09
-149.5625,-3.112952285562231e-09
-150.0625,-4.537106101167929e-09
-150.5625,-4.358292145525473e-09
-151.0625,-4.328092455239191e-09
-151.5625,-4.2732561755088375e-09
-152.0625,-4.923344245355635e-09
-152.5625,-4.394054936653964e-09
-153.0625,-4.487038193588041e-09
-153.5625,-4.224777725312438e-09
-154.0625,-4.532337729017463e-09
-154.5625,-4.575253078371653e-09
-155.0625,-4.474322534520133e-09
-155.5625,-4.3074295092538405e-09
-156.0625,-5.76734611598803e-09
-156.5625,-4.862150136091328e-09
-157.0625,-4.454454317226527e-09
-157.5625,-4.539490287243162e-09
-158.0625,-4.461606875452225e-09
-158.5625,-4.343192300382332e-09
-159.0625,-4.700820211667245e-09
-159.5625,-4.394849665345708e-09
-160.0625,-3.048579261530947e-09
-160.5625,-4.214446252319763e-09
-161.0625,-4.549821760235837e-09
-161.5625,-4.345576486457565e-09
-162.0625,-4.429817727782455e-09
-162.5625,-4.290740206727211e-09
-163.0625,-4.599094939123981e-09
-163.5625,-4.378160362819079e-09
-164.0625,-4.560947961920257e-09
-164.5625,-4.390081293195243e-09
-165.0625,-4.214446252319763e-09
-165.5625,-4.562537419303745e-09
-166.0625,-4.575253078371653e-09
-166.5625,-5.733967510934771e-09
-167.0625,-4.649957575395613e-09
-167.5625,-4.383723463661289e-09
-168.0625,-4.435380828624665e-09
-168.5625,-4.547437574160605e-09
-169.0625,-4.255772144290464e-09
-169.5625,-4.5688952488376995e-09
-170.0625,-3.4968062436747046e-09
-170.5625,-3.6454205090308793e-09
-171.0625,-4.570484706221188e-09
-171.5625,-4.239082841763835e-09
-172.0625,-4.311403152712562e-09
-172.5625,-4.5228009847165325e-09
-173.0625,-4.3646499750594265e-09
-173.5625,-4.2517985008317434e-09
-174.0625,-4.41948625478978e-09
-174.5625,-4.515648426490835e-09
-175.0625,-4.35590795945024e-09
-175.5625,-4.436970286008154e-09
-176.0625,-4.591942380898283e-09
-176.5625,-5.040964091733784e-09
-177.0625,-5.1999098300826345e-09
-177.5625,-4.4091547817971045e-09
-178.0625,-4.31299261009605e-09
-178.5625,-4.564126876687234e-09
-179.0625,-4.462401604143969e-09
-179.5625,-4.291534935418956e-09
-180.0625,-4.38769710712001e-09
-180.5625,-3.1042102699530444e-09
-181.0625,-4.022916637609399e-09
-181.5625,-4.23828811307209e-09
-182.0625,-4.616578970342354e-09
-182.5625,-4.2629247025161625e-09
-183.0625,-4.212856794936275e-09
-183.5625,-4.4878329222797854e-09
-184.0625,-4.592737109590027e-09
-184.5625,-4.2303408261546485e-09
-185.0625,-4.446507030309085e-09
-185.5625,-4.245440671297789e-09
-186.0625,-4.363060517675938e-09
-186.5625,-4.2923296641107e-09
-187.0625,-5.95808100200665e-09
-187.5625,-4.541874473318394e-09
-188.0625,-4.5466428454688605e-09
-188.5625,-4.3439870290740766e-09
-189.0625,-4.2859718345767456e-09
-189.5625,-4.503727496114671e-09
-190.0625,-4.389286564503499e-09
-190.5625,-3.9362912102092755e-09
-191.0625,-3.392696785056208e-09
-191.5625,-4.178683461191272e-09
-192.0625,-4.255772144290464e-09
-192.5625,-4.479090906670599e-09
-193.0625,-4.210472608861042e-09
-193.5625,-4.344781757765821e-09
-194.0625,-4.583200365289096e-09
-194.5625,-4.309813695329074e-09
-195.0625,-4.418691526098035e-09
-195.5625,-4.120668266693942e-09
-196.0625,-4.661878505771777e-09
-196.5625,-4.189809662875691e-09
-197.0625,-4.761219592239808e-09
-197.5625,-5.609989835022668e-09
-198.0625,-4.6237315285680525e-09
-198.5625,-4.212856794936275e-09
-199.0625,-4.573663620988165e-09
-199.5625,-4.374981448052102e-09
-200.0625,-4.508495868265136e-09
-200.5625,-4.40836005310536e-09
-201.0625,-3.090699882193392e-09
-201.5625,-4.086494932948939e-09
-202.0625,-4.267693074666628e-09
-202.5625,-4.2970980362611655e-09
-203.0625,-4.555384861078047e-09
-203.5625,-4.169941445582085e-09
-204.0625,-4.665057420538753e-09
-204.5625,-4.1739150890408066e-09
-205.0625,-4.449685945076062e-09
-205.5625,-4.458427960685249e-09
-206.0625,-4.325708269163958e-09
-206.5625,-4.498959123964205e-09
-207.0625,-4.444917572925596e-09
-207.5625,-5.60840037763918e-09
-208.0625,-4.805724398977486e-09
-208.5625,-4.481475092745832e-09
-209.0625,-4.475911991903622e-09
-209.5625,-4.264514159899651e-09
-210.0625,-4.486243464896297e-09
-210.5625,-4.550616488927581e-09
-211.0625,-4.2970980362611655e-09
-211.5625,-3.074010579666763e-09
-212.0625,-4.202525321943599e-09
-212.5625,-4.301866408411631e-09
-213.0625,-4.631678815485495e-09
-213.5625,-4.160404701281154e-09
-214.0625,-4.65313649016259e-09
-214.5625,-4.42504935563199e-09
-215.0625,-4.237493384380346e-09
-215.5625,-4.386107649736521e-09
-216.0625,-4.705588583817711e-09
-216.5625,-4.425844084323734e-09
-217.0625,-4.402796952263151e-09
-217.5625,-4.259745787749185e-09
-218.0625,-5.912781466577228e-09
-218.5625,-4.582405636597352e-09
-219.0625,-4.545848116777116e-09
-219.5625,-4.4552490459182715e-09
-220.0625,-4.55776904715328e-09
-220.5625,-4.617373699034099e-09
-221.0625,-4.328092455239191e-09
-221.5625,-3.2846136829789894e-09
-222.0625,-4.2955085788776765e-09
-222.5625,-4.362265788984194e-09
-223.0625,-4.416307340022803e-09
-223.5625,-4.4329966425494325e-09
-224.0625,-4.311403152712562e-09
-224.5625,-4.630089358102007e-09
-225.0625,-4.28120346242628e-09
-225.5625,-4.6483681180121246e-09
-226.0625,-4.529158814250487e-09
-226.5625,-4.394054936653964e-09
-227.0625,-4.5339271864009524e-09
-227.5625,-4.457633231993504e-09
-228.0625,-5.598068904646505e-09
-228.5625,-4.789035096450857e-09
-229.0625,-4.6141947842671216e-09
-229.5625,-4.517237883874323e-09
-230.0625,-4.576842535755141e-09
-230.5625,-4.650752304087357e-09
-231.0625,-4.421870440865013e-09
-231.5625,-4.442533386850363e-09
-232.0625,-3.2377246901660787e-09
-232.5625,-4.244645942606045e-09
-233.0625,-4.708767498584687e-09
-233.5625,-4.444917572925596e-09
-234.0625,-4.540285015934906e-09
-234.5625,-4.52597989948351e-09
-235.0625,-4.513264240415602e-09
-235.5625,-4.504522224806415e-09
-236.0625,-4.4091547817971045e-09
-236.5625,-4.529953542942231e-09
-237.0625,-4.529158814250487e-09
-237.5625,-4.720688428960851e-09
-238.0625,-4.402002223571407e-09
-238.5625,-6.095569065678406e-09
-239.0625,-4.614989512958866e-09
-239.5625,-4.755656491397598e-09
-240.0625,-4.5450533880853715e-09
-240.5625,-4.7492986618636445e-09
-241.0625,-4.484654007512808e-09
-241.5625,-4.738172460179225e-09
-242.0625,-3.813108262988917e-09
-242.5625,-3.7050251609116985e-09
-243.0625,-4.463991061527458e-09
-243.5625,-4.738967188870969e-09
-244.0625,-4.6356524589442165e-09
-244.5625,-4.537106101167929e-09
-245.0625,-4.67936253699015e-09
-245.5625,-4.3519343159915184e-09
-246.0625,-4.65313649016259e-09
-246.5625,-4.7492986618636445e-09
-247.0625,-4.458427960685249e-09
-247.5625,-4.585584551364328e-09
-248.0625,-4.7254568011113165e-09
-248.5625,-5.094210914080649e-09
-249.0625,-5.601247819413481e-09
-249.5625,-4.768372150465506e-09
-250.0625,-4.791419282526089e-09
-250.5625,-4.790624553834345e-09
-251.0625,-4.4671699762944355e-09
