potential,current
-102.25,-8.699894988524316e-09
-103.25,-8.553664909243374e-09
-104.25,-9.403229880717979e-09
-105.25,-9.088517318787255e-09
-106.25,-9.453297788297865e-09
-107.25,-9.660721976843115e-09
-108.25,-9.662311434226604e-09
-109.25,-8.45591328015883e-09
-110.25,-9.631317015248579e-09
-111.25,-9.78867329621394e-09
-112.25,-9.99609748475919e-09
-113.25,-9.539128487006245e-09
-114.25,-9.978613453540816e-09
-115.25,-9.498597323727289e-09
-116.25,-9.859404149779179e-09
-117.25,-9.674232364602769e-09
-118.25,-1.0032655004579425e-08
-119.25,-9.531181200088802e-09
-120.25,-1.0153453765724551e-08
-121.25,-9.495418408960311e-09
-122.25,-9.873709266230574e-09
-123.25,-1.0770957959209834e-08
-124.1875,-1.0069212524399661e-08
-125.1875,-9.541512673081479e-09
-126.1875,-9.771983993687311e-09
-127.1875,-9.6352906587073e-09
-128.1875,-1.010100167206943e-08
-129.1875,-9.637674844782532e-09
-130.1875,-8.903345533610844e-09
-131.1875,-9.305478251633436e-09
-132.1875,-9.616217170105438e-09
-133.1875,-9.354751430521578e-09
-134.1875,-9.702842597505561e-09
-135.1875,-9.516081354945663e-09
-136.1875,-9.499392052419033e-09
-137.1875,-9.535949572239268e-09
-138.1875,-9.458860889140076e-09
-139.1875,-9.132227396833189e-09
-140.1875,-9.702842597505561e-09
-141.1875,-9.214084452082846e-09
-142.1875,-9.195805692172728e-09
-143.1875,-9.663106162918348e-09
-144.1875,-1.0406177489699223e-08
-145.1875,-9.117922280381792e-09
-146.1875,-9.551844146074154e-09
-147.1875,-9.133816854216677e-09
-148.1875,-9.337267399303205e-09
-149.1875,-9.160042901044237e-09
-150.1875,-8.981228945401781e-09
-151.1875,-8.097490640182173e-09
-152.1875,-9.005865534845853e-09
-153.1875,-8.757115454329902e-09
-154.1875,-9.24666832844436e-09
-155.1875,-8.758704911713391e-09
-156.1875,-8.991560418394456e-09
-157.1875,-8.649827080944428e-09
-158.1875,-8.944671425581546e-09
-159.1875,-8.991560418394456e-09
-160.1875,-8.768241656014322e-09
-161.1875,-8.861224912948399e-09
-162.1875,-8.621216848041635e-09
-163.1875,-8.712610647592224e-09
-164.1875,-9.334088484536229e-09
-165.1875,-9.297530964715993e-09
-166.1875,-8.839767238271305e-09
-167.1875,-8.617243204582913e-09
-168.1875,-8.80162026106758e-09
-169.1875,-8.559228010085584e-09
