potential,current
-100.8125,-1.6307832754592032e-08
-101.3125,-1.7368000829378862e-08
-101.8125,-1.7568272459698412e-08
-102.3125,-1.7859937889568555e-08
-102.8125,-1.7974378821179726e-08
-103.3125,-1.8134914016912064e-08
-103.8125,-1.804431494605322e-08
-104.3125,-1.8335185647231617e-08
-104.8125,-1.825173913459847e-08
-105.3125,-1.8777849528533163e-08
-105.8125,-1.8438500377158367e-08
-106.3125,-1.8746060380863392e-08
-106.8125,-1.8343132934149058e-08
-107.3125,-1.8787386272834095e-08
-107.8125,-1.8447242392767554e-08
-108.3125,-1.8802486117977235e-08
-108.8125,-1.8893879917527825e-08
-109.3125,-1.7957689518653098e-08
-109.8125,-1.8802486117977235e-08
-110.3125,-1.9189518990856687e-08
-110.8125,-1.867215061253118e-08
-111.3125,-1.9202234649924593e-08
-111.8125,-1.886129604116631e-08
-112.3125,-1.944462690090659e-08
-112.8125,-1.9099714648689585e-08
-113.3125,-1.9189518990856687e-08
-113.8125,-1.9060772942794116e-08
-114.3125,-1.933972271359635e-08
-114.8125,-1.9441447986139612e-08
-115.3125,-1.9404095737627634e-08
-115.8125,-1.9834043959861274e-08
-116.3125,-1.9713245198716148e-08
-116.8125,-1.9492310622411244e-08
-117.3125,-1.9570988762893925e-08
-117.8125,-1.9294423178166928e-08
-118.3125,-1.967986659366289e-08
-118.8125,-1.9749802718536383e-08
-119.3125,-1.9663972019828003e-08
-119.8125,-1.901865232213167e-08
-120.3125,-1.9843580704162203e-08
-120.8125,-1.9733908144701497e-08
-121.3125,-1.9861064735380577e-08
-121.8125,-1.9774439307980455e-08
-122.3125,-1.9801460083499758e-08
-122.8125,-1.9881727681365927e-08
-123.3125,-2.013604086272409e-08
-123.8125,-1.9965174193999076e-08
-124.3125,-1.9960405821848608e-08
-124.8125,-1.9965968922690818e-08
-125.3125,-2.0305318074065614e-08
-125.8125,-1.9965174193999076e-08
-126.3125,-2.0845733584451706e-08
-126.8125,-2.0135246134032343e-08
-127.3125,-2.0288628771538986e-08
-127.8125,-2.0338696679118873e-08
-128.3125,-2.034584923734457e-08
-128.8125,-2.048969513055028e-08
-129.3125,-2.0199619158063627e-08
-129.8125,-2.000411589989454e-08
-130.3125,-2.0335517764351897e-08
-130.8125,-2.0236176677883866e-08
-131.3125,-2.0666919628809248e-08
-131.8125,-2.0462674355030976e-08
-132.25,-2.0459495440264e-08
-132.75,-2.0538968309438423e-08
-133.25,-2.0620030635996338e-08
-133.75,-2.0616056992537616e-08
-134.25,-2.0879112189504965e-08
-134.75,-2.0520689549528307e-08
-135.25,-2.092361699624264e-08
-135.75,-2.056042598411552e-08
-136.25,-2.1094483664967654e-08
-136.75,-2.1479927080463618e-08
-137.25,-2.0690761489561574e-08
-137.75,-2.1022958082710672e-08
-138.25,-2.096255870213811e-08
-138.75,-2.09228222675509e-08
-139.25,-2.0952227229145435e-08
-139.75,-2.0788513118646117e-08
-140.25,-2.043326939343644e-08
-140.75,-2.1120709711795214e-08
-141.25,-2.0914080251941712e-08
-141.75,-2.1065078703373117e-08
-142.25,-2.1151704130773243e-08
-142.75,-2.1251045217241274e-08
-143.25,-2.110640459534382e-08
-143.75,-2.113501482824661e-08
-144.25,-2.1390122738296516e-08
-144.75,-2.1401248939980937e-08
-145.25,-2.1326544442956978e-08
-145.75,-2.1292371109211974e-08
-146.25,-2.126693979107616e-08
-146.75,-2.135277048978454e-08
-147.25,-2.2070410498429596e-08
-147.75,-2.159039436861607e-08
-148.25,-2.1546684290570136e-08
-148.75,-2.1300318396129418e-08
-149.25,-2.1494232196915015e-08
-149.75,-2.1529200259351762e-08
-150.25,-2.1599136384225256e-08
-150.75,-2.0867985987820544e-08
-151.25,-2.162456770236107e-08
-151.75,-2.168417235424189e-08
-152.25,-2.1853449565583415e-08
-152.75,-2.149343746822327e-08
-153.25,-2.1905901659238536e-08
-153.75,-2.156416832178851e-08
-154.25,-2.1810534216229227e-08
-154.75,-2.1782718712018175e-08
-155.25,-2.1979811427570752e-08
-155.75,-2.182245514660539e-08
-156.25,-2.1939280264291795e-08
-156.75,-2.1719140416678637e-08
-157.25,-2.2552810814318357e-08
-157.75,-2.2006037474398312e-08
-158.25,-2.2018753133466218e-08
-158.75,-2.1961532667660633e-08
-159.25,-2.202828987776715e-08
-159.75,-2.2000474373556102e-08
-160.25,-2.237797050213462e-08
-160.75,-2.185662848035039e-08
-161.25,-2.1483105995230594e-08
-161.75,-2.208233142880576e-08
-162.25,-2.2248429725380308e-08
-162.75,-2.2284192516508798e-08
-163.25,-2.211412057647553e-08
-163.75,-2.2171341042281115e-08
-164.25,-2.2335849881472176e-08
-164.75,-2.2462211743459513e-08
-165.25,-2.2182467243965536e-08
-165.75,-2.2271476857440892e-08
-166.25,-2.2403401820270436e-08
-166.75,-2.2350154997923573e-08
-167.25,-2.262433639657534e-08
-167.75,-2.281507128259396e-08
-168.25,-2.2594136706289057e-08
-168.75,-2.245426445654207e-08
-169.25,-2.2540889883942194e-08
-169.75,-2.2648178257327666e-08
-170.25,-2.2447906627008116e-08
-170.75,-2.2518637480573352e-08
-171.25,-2.2774540119315003e-08
-171.75,-2.1909875302697258e-08
-172.25,-2.2687914691914877e-08
-172.75,-2.2453469727850326e-08
-173.25,-2.288262322139222e-08
-173.75,-2.268235159107267e-08
