id,time,vlt_file,p,p_water,depth,t,oxygen_peak_current,oxygen_conc,oxygen_sat,h2s_conc,mean_depth,mean_oxygen_conc,sd_oxygen_conc,mean_oxygen_sat,sd_oxygen_sat
1,1550892049,20190222_watercolumn-voltammetry_NF18-2-1,102.583,0,0,26.693599,,,,,,,,,
2,1550892065,20190222_watercolumn-voltammetry_NF18-2-2,102.66,0.077,0.007583704,26.595279,102.364,284.0960164,139.706277,,,,,,
8,1550892165,20190222_watercolumn-voltammetry_NF18-2-8,102.695,0.112,0.011030842,26.234206,109.057,306.8194207,150.0252235,,,,,,
5,1550892115,20190222_watercolumn-voltammetry_NF18-2-5,102.697,0.114,0.011227821,26.371291,104.357,290.8624507,142.5517983,,0.01,295.6278131,11.30782234,144.9690879,5.299151243
3,1550892081,20190222_watercolumn-voltammetry_NF18-2-3,102.712,0.129,0.012705166,26.509782,102.642,285.0398542,140.0417816,,,,,,
6,1550892132,20190222_watercolumn-voltammetry_NF18-2-6,102.744,0.161,0.015856835,26.32101,110.383,311.3213233,152.5203592,,,,,,
7,1550892148,20190222_watercolumn-voltammetry_NF18-2-7,102.773,0.19,0.018713036,26.270986,89.292,239.7152692,117.3745774,,,,,,
4,1550892098,20190222_watercolumn-voltammetry_NF18-2-4,102.776,0.193,0.019008505,26.442124,90.799,244.8316849,120.226479,,0.09,252.7128437,14.91052325,122.2458357,5.009575311
9,1550892182,20190222_watercolumn-voltammetry_NF18-2-9,103.083,0.5,0.049244831,26.199004,,,,,,,,,
218,1550895752,20190222_watercolumn-voltammetry_NF18-2-218,104.995,2.412,0.237557062,22.876773,99.27,273.591577,129.1364507,,,,,,
217,1550895736,20190222_watercolumn-voltammetry_NF18-2-217,105.069,2.486,0.244845297,22.464804,,,,,,,,,
10,1550892198,20190222_watercolumn-voltammetry_NF18-2-10,106.056,3.473,0.342054593,26.155296,,,,,,,,,
11,1550892213,20190222_watercolumn-voltammetry_NF18-2-11,107.841,5.258,0.517858638,26.099054,,,,,,,,,
12,1550892230,20190222_watercolumn-voltammetry_NF18-2-12,107.955,5.372,0.529086459,26.040497,,,,,,,,,
17,1550892312,20190222_watercolumn-voltammetry_NF18-2-17,109.041,6.458,0.636046231,25.752542,115.386,328.3070086,169.0796929,,,,,,
16,1550892295,20190222_watercolumn-voltammetry_NF18-2-16,109.071,6.488,0.639000921,25.794049,98.763,271.8702613,140.1508939,,,,,,
14,1550892263,20190222_watercolumn-voltammetry_NF18-2-14,109.075,6.492,0.63939488,25.914454,91.607,247.5749257,127.8898075,,0.64,284.5129347,27.62105103,146.8365544,14.15833448
13,1550892246,20190222_watercolumn-voltammetry_NF18-2-13,109.076,6.493,0.639493369,25.983186,107.267,300.7421917,155.5352634,,,,,,
15,1550892279,20190222_watercolumn-voltammetry_NF18-2-15,109.128,6.545,0.644614832,25.864779,99.411,274.0702861,141.5271143,,,,,,
18,1550892328,20190222_watercolumn-voltammetry_NF18-2-18,110.373,7.79,0.76723446,25.700274,,,,,,,,,
19,1550892344,20190222_watercolumn-voltammetry_NF18-2-19,112.726,10.143,0.998980632,25.633741,107.978,303.1561078,161.0803546,,,,,,
20,1550892360,20190222_watercolumn-voltammetry_NF18-2-20,113.608,11.025,1.085848513,25.538281,116.757,332.9616907,178.0146855,,1.11,317.354416,34.74574429,169.4968319,18.66782429
22,1550892394,20190222_watercolumn-voltammetry_NF18-2-22,114.059,11.476,1.13026735,25.33937,134.746,394.0361446,210.793803,,,,,,
25,1550892445,20190222_watercolumn-voltammetry_NF18-2-25,114.089,11.506,1.13322204,25.107322,112.479,318.4374529,169.7272158,,,,,,
26,1550892461,20190222_watercolumn-voltammetry_NF18-2-26,114.101,11.518,1.134403916,25.034153,,,,,,,,,
21,1550892377,20190222_watercolumn-voltammetry_NF18-2-21,114.109,11.526,1.135191833,25.445771,105.158,293.5819258,157.4066675,,,,,,
24,1550892429,20190222_watercolumn-voltammetry_NF18-2-24,114.119,11.536,1.13617673,25.169575,102.967,286.1432617,152.7157978,,,,,,
23,1550892412,20190222_watercolumn-voltammetry_NF18-2-23,114.181,11.598,1.142283089,25.241597,105.035,293.1643285,156.7392989,,,,,,
216,1550895720,20190222_watercolumn-voltammetry_NF18-2-216,114.364,11.781,1.160306697,21.923616,,,,,,,,,
27,1550892477,20190222_watercolumn-voltammetry_NF18-2-27,117.227,14.644,1.442282596,24.997729,116.552,332.2656952,181.6301328,,,,,,
28,1550892494,20190222_watercolumn-voltammetry_NF18-2-28,118.876,16.293,1.604692047,24.909202,88.02,235.396702,130.2911961,,,,,,
29,1550892511,20190222_watercolumn-voltammetry_NF18-2-29,119.142,16.559,1.630890297,24.760469,,,,,1.58,300.5554612,42.5417066,165.4788507,23.02222278
30,1550892527,20190222_watercolumn-voltammetry_NF18-2-30,119.182,16.599,1.634829884,24.668915,,,,,,,,,
32,1550892560,20190222_watercolumn-voltammetry_NF18-2-32,119.273,16.69,1.643792443,24.535519,120.01,344.005951,189.8271462,,,,,,
31,1550892543,20190222_watercolumn-voltammetry_NF18-2-31,119.275,16.692,1.643989422,24.600965,,,,,,,,,
33,1550892576,20190222_watercolumn-voltammetry_NF18-2-33,119.32,16.737,1.648421457,24.452589,104.266,290.5534966,160.1669279,,,,,,
34,1550892592,20190222_watercolumn-voltammetry_NF18-2-34,120.073,17.49,1.722584172,24.389966,106.631,298.5829081,165.4541344,,,,,,
40,1550892691,20190222_watercolumn-voltammetry_NF18-2-40,123.987,21.404,2.108072705,23.555543,126.585,366.3287335,206.6159888,,2.04,330.9984741,25.31439954,187.0144135,15.23375946
37,1550892642,20190222_watercolumn-voltammetry_NF18-2-37,124.493,21.91,2.157908474,23.891774,119.108,340.9435708,194.2100368,,,,,,
36,1550892625,20190222_watercolumn-voltammetry_NF18-2-36,124.541,21.958,2.162635977,24.047567,112.391,318.1386841,181.7774939,,,,,,
38,1550892658,20190222_watercolumn-voltammetry_NF18-2-38,124.699,22.116,2.178197344,23.764235,127.452,369.2722852,210.2309335,,,,,,
39,1550892674,20190222_watercolumn-voltammetry_NF18-2-39,124.713,22.13,2.179576199,23.658675,123.935,357.3317185,203.0844172,,2.18,347.5730694,22.77194519,198.3778902,12.0673858
35,1550892608,20190222_watercolumn-voltammetry_NF18-2-35,124.885,22.302,2.196516421,24.271184,111.795,316.1152045,181.8183199,,,,,,
43,1550892742,20190222_watercolumn-voltammetry_NF18-2-43,130.496,27.913,2.749141909,23.202518,112.166,317.3747866,187.249096,,,,,,
50,1550892856,20190222_watercolumn-voltammetry_NF18-2-50,130.524,27.941,2.751899619,22.64179,113.605,322.2603355,188.3145299,,2.76,321.31,17.60509048,188.7946164,10.90370471
42,1550892725,20190222_watercolumn-voltammetry_NF18-2-42,130.535,27.952,2.752983006,23.32319,123.174,354.7480474,209.8022485,,,,,,
41,1550892708,20190222_watercolumn-voltammetry_NF18-2-41,130.537,27.954,2.753179985,23.426444,,,,,,,,,
47,1550892808,20190222_watercolumn-voltammetry_NF18-2-47,130.601,28.018,2.759483323,22.826478,106.669,298.7119219,175.2240675,,,,,,
49,1550892840,20190222_watercolumn-voltammetry_NF18-2-49,130.601,28.018,2.759483323,22.698155,109.345,307.7972095,180.1473675,,,,,,
46,1550892791,20190222_watercolumn-voltammetry_NF18-2-46,130.602,28.019,2.759581813,22.896969,114.988,326.9557588,192.030389,,,,,,
44,1550892758,20190222_watercolumn-voltammetry_NF18-2-44,130.627,28.044,2.762044054,23.097881,,,,,,,,,
48,1550892824,20190222_watercolumn-voltammetry_NF18-2-48,130.644,28.061,2.763718379,22.755443,110.871,312.9781321,183.4243649,,,,,,
45,1550892775,20190222_watercolumn-voltammetry_NF18-2-45,130.702,28.119,2.769430779,22.987308,111.995,316.7942245,186.4993499,,2.77,316.0970973,2.315111916,185.4800775,1.453625168
52,1550892889,20190222_watercolumn-voltammetry_NF18-2-52,130.805,28.222,2.779575214,22.55663,,,,,,,,,
51,1550892873,20190222_watercolumn-voltammetry_NF18-2-51,130.9,28.317,2.788931732,22.596719,112.503,318.5189353,186.5165176,,,,,,
56,1550892954,20190222_watercolumn-voltammetry_NF18-2-56,136.192,33.609,3.310139018,22.313489,77.751,200.5324201,121.5655115,,,,,,
55,1550892938,20190222_watercolumn-voltammetry_NF18-2-55,136.218,33.635,3.312699749,22.373489,75.181,191.8070131,116.4215132,,3.31,199.7843664,6.23058378,121.2837101,3.860068864
53,1550892906,20190222_watercolumn-voltammetry_NF18-2-53,136.25,33.667,3.315851418,22.511019,,,,,,,,,
54,1550892923,20190222_watercolumn-voltammetry_NF18-2-54,136.28,33.697,3.318806108,22.443523,79.66,207.013666,125.8641057,,,,,,
215,1550895704,20190222_watercolumn-voltammetry_NF18-2-215,137.168,34.585,3.406264927,21.798153,,,,,,,,,
58,1550892987,20190222_watercolumn-voltammetry_NF18-2-58,141.506,38.923,3.833513077,22.197123,48.481,101.1578431,63.58507309,,,,,,
57,1550892970,20190222_watercolumn-voltammetry_NF18-2-57,141.51,38.927,3.833907036,22.257007,57.176,130.6782376,82.23015804,,,,,,
60,1550893020,20190222_watercolumn-voltammetry_NF18-2-60,141.993,39.41,3.881477542,22.109612,33.034,48.7137334,30.67794123,,,,,,
59,1550893004,20190222_watercolumn-voltammetry_NF18-2-59,142.071,39.488,3.889159735,22.148279,33.421,50.0276371,31.54428723,,3.88,65.22674533,30.36722137,41.0407988,19.10447385
65,1550893100,20190222_watercolumn-voltammetry_NF18-2-65,142.137,39.554,3.895660053,21.951181,30.856,41.3192056,25.97446007,,,,,,
66,1550893116,20190222_watercolumn-voltammetry_NF18-2-66,142.166,39.583,3.898516253,21.927012,33.293,49.5930643,31.16862728,,,,,,
64,1550893084,20190222_watercolumn-voltammetry_NF18-2-64,142.195,39.612,3.901372453,21.971088,32.066,45.4272766,28.5786661,,,,,,
63,1550893067,20190222_watercolumn-voltammetry_NF18-2-63,142.264,39.681,3.90816824,22.003177,42.828,81.9653428,51.61947128,,,,,,
62,1550893050,20190222_watercolumn-voltammetry_NF18-2-62,142.274,39.691,3.909153137,22.038392,,,,,,,,,
67,1550893132,20190222_watercolumn-voltammetry_NF18-2-67,142.283,39.7,3.910039544,21.911431,,,,,,,,,
61,1550893035,20190222_watercolumn-voltammetry_NF18-2-61,142.287,39.704,3.910433502,22.06768,,,,,,,,,
68,1550893148,20190222_watercolumn-voltammetry_NF18-2-68,142.287,39.704,3.910433502,21.894251,29.925,38.1583675,23.98850487,,,,,,
72,1550893214,20190222_watercolumn-voltammetry_NF18-2-72,145.935,43.352,4.269723786,21.832253,31.511,43.5429961,28.04446554,,,,,,
73,1550893231,20190222_watercolumn-voltammetry_NF18-2-73,145.949,43.366,4.271102641,21.822263,33.458,50.1532558,32.2992519,,,,,,
69,1550893164,20190222_watercolumn-voltammetry_NF18-2-69,145.985,43.402,4.274648269,21.876339,39.082,69.2472982,44.6499483,,4.27,49.10009578,10.75012348,31.64106033,6.936576872
71,1550893197,20190222_watercolumn-voltammetry_NF18-2-71,145.99,43.407,4.275140717,21.846371,31.717,44.2423867,28.51281634,,,,,,
70,1550893181,20190222_watercolumn-voltammetry_NF18-2-70,145.991,43.408,4.275239207,21.860356,29.971,38.3145421,24.69881958,,,,,,
74,1550893247,20190222_watercolumn-voltammetry_NF18-2-74,147.373,44.79,4.411351918,21.809942,33.864,51.5316664,33.50341714,,,,,,
214,1550895688,20190222_watercolumn-voltammetry_NF18-2-214,147.565,44.982,4.430261933,21.812606,29.332,36.1450732,23.5315239,,,,,,
213,1550895672,20190222_watercolumn-voltammetry_NF18-2-213,147.619,45.036,4.435580375,21.82133,30.827,41.2207477,26.84992786,,4.43,41.2513036,6.289212214,26.85309983,4.071824193
212,1550895655,20190222_watercolumn-voltammetry_NF18-2-212,147.621,45.038,4.435777354,21.839845,29.321,36.1077271,23.52753041,,,,,,
78,1550893313,20190222_watercolumn-voltammetry_NF18-2-78,149.424,46.841,4.613354213,21.76112,24.346,19.2171046,12.65691446,,,,,,
79,1550893329,20190222_watercolumn-voltammetry_NF18-2-79,149.51,46.927,4.621824324,21.749929,24.434,19.5158734,12.85852656,,,,,,
76,1550893280,20190222_watercolumn-voltammetry_NF18-2-76,149.516,46.933,4.622415262,21.782567,24.849,20.9248399,13.79542851,,4.62,21.76750372,2.998998048,14.35025189,1.983406411
