id,time,vlt_file,p,p_water,depth,t,oxygen_conc,oxygen_sat,H2S_conc,mean_depth,mean_oxygen_conc,sd_oxygen_conc,mean_oxygen_sat,sd_oxygen_sat,FeS_current
147,1550944134,20190223_watercolumn-voltammetry_NF07-147,101.981,0,0.00,22.234119,,,,,,,,,
148,1550944150,20190223_watercolumn-voltammetry_NF07-148,102.077,0.096,0.01,22.416256,229.42,104.4291648,,,,,,,
149,1550944165,20190223_watercolumn-voltammetry_NF07-149,102.119,0.138,0.01,22.573584,211.22,96.45333191,,,,,,,
150,1550944182,20190223_watercolumn-voltammetry_NF07-150,102.302,0.321,0.03,22.709587,215.42,98.78231819,,0.03,218.7,7.036772866,100.5,3.454994956,
151,1550944198,20190223_watercolumn-voltammetry_NF07-151,102.362,0.381,0.04,22.821361,212.99,97.91437665,,,,,,,
1,1550941209,20190223_watercolumn-voltammetry_NF07-001,102.553,0.572,0.06,23.582141,224.48,104.7707978,,,,,,,
2,1550941226,20190223_watercolumn-voltammetry_NF07-002,102.575,0.594,0.06,23.609201,313.79,146.5536132,,,,,,,
3,1550941244,20190223_watercolumn-voltammetry_NF07-003,102.847,0.866,0.09,23.641366,,,,,,,,,
5,1550941276,20190223_watercolumn-voltammetry_NF07-005,105.094,3.113,0.31,23.680227,218.4913621,104.680944,,,,,,,
7,1550941308,20190223_watercolumn-voltammetry_NF07-007,105.129,3.148,0.31,23.712055,218.42,104.7414536,,0.31,225.6,7.427750383,108.2,3.601136263,
8,1550941325,20190223_watercolumn-voltammetry_NF07-008,105.145,3.164,0.31,23.729427,235.66,113.0568325,,,,,,,
6,1550941292,20190223_watercolumn-voltammetry_NF07-006,105.155,3.174,0.31,23.696539,229.7827144,110.1857411,,,,,,,
4,1550941260,20190223_watercolumn-voltammetry_NF07-004,105.192,3.211,0.32,23.665373,,,,,,,,,
10,1550941359,20190223_watercolumn-voltammetry_NF07-010,107.857,5.876,0.58,23.761252,231.96,114.2155414,,,,,,,
9,1550941342,20190223_watercolumn-voltammetry_NF07-009,107.864,5.883,0.58,23.745671,217.27,106.9622073,,0.67,221.5,8.133850839,110.1,4.063123749,
11,1550941375,20190223_watercolumn-voltammetry_NF07-011,109.22,7.239,0.71,23.773716,,,,,,,,,
12,1550941391,20190223_watercolumn-voltammetry_NF07-012,109.253,7.272,0.72,23.783329,210.70,105.1322074,,,,,,,
13,1550941407,20190223_watercolumn-voltammetry_NF07-013,110.33,8.349,0.82,23.789096,226.06,113.9184904,,,,,,,
14,1550941423,20190223_watercolumn-voltammetry_NF07-014,111.358,9.377,0.92,23.806664,281.9776942,143.4636153,,,,,,,
15,1550941439,20190223_watercolumn-voltammetry_NF07-015,111.372,9.391,0.92,23.800565,211.38,107.5478378,,1.01,218.1,13.18583539,111.9,6.917594674,
146,1550944117,20190223_watercolumn-voltammetry_NF07-146,112.01,10.029,0.99,21.912297,,,,,,,,,
19,1550941503,20190223_watercolumn-voltammetry_NF07-019,112.468,10.487,1.03,23.830396,238.98,122.8501635,,,,,,,
18,1550941487,20190223_watercolumn-voltammetry_NF07-018,112.56,10.579,1.04,23.827612,203.47,104.6763588,,,,,,,
17,1550941471,20190223_watercolumn-voltammetry_NF07-017,112.569,10.588,1.04,23.814752,,,,,,,,,
16,1550941455,20190223_watercolumn-voltammetry_NF07-016,112.627,10.646,1.05,23.812962,218.64,112.5197451,,,,,,,
20,1550941520,20190223_watercolumn-voltammetry_NF07-020,113.809,11.828,1.16,23.836097,,,,,,,,,
22,1550941553,20190223_watercolumn-voltammetry_NF07-022,116.658,14.677,1.45,23.839941,216.3841633,115.3972299,,,,,,,
21,1550941536,20190223_watercolumn-voltammetry_NF07-021,116.689,14.708,1.45,23.837422,260.90,139.1699067,,,,,,,
23,1550941569,20190223_watercolumn-voltammetry_NF07-023,118.76,16.779,1.65,23.837688,226.42,122.9194096,,1.57,229.8,15.99015232,123.9,8.109426346,
24,1550941585,20190223_watercolumn-voltammetry_NF07-024,118.805,16.824,1.66,23.84067,225.89,122.6877208,,,,,,,
25,1550941601,20190223_watercolumn-voltammetry_NF07-025,118.865,16.884,1.66,23.843587,219.5839837,119.3266369,,,,,,,
27,1550941634,20190223_watercolumn-voltammetry_NF07-027,122.332,20.351,2.00,23.8471,224.58,125.6113173,,2.15,250.2,25.60274415,141.7,16.10608034,
26,1550941618,20190223_watercolumn-voltammetry_NF07-026,122.374,20.393,2.01,23.846504,,,,,,,,,
29,1550941667,20190223_watercolumn-voltammetry_NF07-029,125.375,23.394,2.30,23.750312,275.79,157.8234779,,,,,,,
