file,current,scan_rate
NF02_Fe_050_0500mvs_1,8.847,500
NF02_Fe_050_0500mvs_2,10.964,500
NF02_Fe_050_0500mvs_3,11.445,500
NF02_Fe_050_1500mvs_1,19.537,1500
NF02_Fe_050_1500mvs_2,23.268,1500
NF02_Fe_050_1500mvs_3,23.794,1500
NF02_Fe_050_2500mvs_1,33.494,2500
NF02_Fe_050_2500mvs_2,35.963,2500
NF02_Fe_050_2500mvs_3,37.97,2500
NF02_Fe_100_0500mvs_1,15.501,500
NF02_Fe_100_0500mvs_2,14.682,500
NF02_Fe_100_0500mvs_3,14.741,500
NF02_Fe_100_1500mvs_1,32.716,1500
NF02_Fe_100_1500mvs_2,35.883,1500
NF02_Fe_100_1500mvs_3,35.619,1500
NF02_Fe_100_2500mvs_1,53.748,2500
NF02_Fe_100_2500mvs_2,53.748,2500
NF02_Fe_100_2500mvs_3,57.417,2500
NF02_Fe_200_0500mvs_1,51.523,500
NF02_Fe_200_0500mvs_2,52.92,500
NF02_Fe_200_0500mvs_3,50.098,500
NF02_Fe_200_1500mvs_1,85.72,1500
NF02_Fe_200_1500mvs_2,84.141,1500
NF02_Fe_200_1500mvs_3,84.387,1500
NF02_Fe_200_2500mvs_1,109.963,2500
NF02_Fe_200_2500mvs_2,108.87,2500
NF02_Fe_200_2500mvs_3,108.443,2500
NF02_HS_010_0500mvs_1,20.909,500
NF02_HS_010_0500mvs_2,20.6,500
NF02_HS_010_0500mvs_3,21.113,500
NF02_HS_010_1500mvs_1,44.247,1500
NF02_HS_010_1500mvs_2,46.995,1500
NF02_HS_010_1500mvs_3,45.17,1500
NF02_HS_010_2500mvs_1,63.405,2500
NF02_HS_010_2500mvs_2,70.115,2500
NF02_HS_010_2500mvs_3,65.008,2500
NF02_HS_025_0500mvs_1,40.959,500
NF02_HS_025_0500mvs_2,41.591,500
NF02_HS_025_0500mvs_3,36.993,500
NF02_HS_025_1500mvs_1,91.928,1500
NF02_HS_025_1500mvs_2,76.101,1500
NF02_HS_025_1500mvs_3,84.314,1500
NF02_HS_025_2500mvs_1,134.163,2500
NF02_HS_025_2500mvs_2,113.417,2500
NF02_HS_025_2500mvs_3,127.706,2500
NF02_HS_050_0500mvs_1,108.562,500
NF02_HS_050_0500mvs_2,116.611,500
NF02_HS_050_0500mvs_3,103.078,500
NF02_HS_050_1500mvs_1,220.521,1500
NF02_HS_050_1500mvs_2,245.803,1500
NF02_HS_050_1500mvs_3,229.503,1500
NF02_HS_050_2500mvs_1,318.488,2500
NF02_HS_050_2500mvs_2,313.002,2500
NF02_HS_050_2500mvs_3,297.038,2500
NF02_HS_100_0500mvs_1,181.923,500
NF02_HS_100_0500mvs_2,175.437,500
NF02_HS_100_0500mvs_3,175.437,500
NF02_HS_100_1500mvs_1,399.08,1500
NF02_HS_100_1500mvs_2,403.395,1500
NF02_HS_100_1500mvs_3,381.049,1500
NF02_HS_100_2500mvs_1,584.077,2500
NF02_HS_100_2500mvs_2,587.356,2500
NF02_HS_100_2500mvs_3,571.336,2500
NF02_Mn_025_0500mvs_1,3.781,500
NF02_Mn_025_0500mvs_2,3.781,500
NF02_Mn_025_0500mvs_3,4.096,500
NF02_Mn_025_1500mvs_1,5.986,1500
NF02_Mn_025_1500mvs_2,7.247,1500
NF02_Mn_025_1500mvs_3,6.616,1500
NF02_Mn_025_2500mvs_1,20.164,2500
NF02_Mn_025_2500mvs_2,22.37,2500
NF02_Mn_025_2500mvs_3,18.904,2500
NF02_Mn_050_0500mvs_1,5.055,500
NF02_Mn_050_0500mvs_2,5.104,500
NF02_Mn_050_0500mvs_3,5.393,500
NF02_Mn_050_1500mvs_1,18.932,1500
NF02_Mn_050_1500mvs_2,16.519,1500
NF02_Mn_050_1500mvs_3,15.512,1500
NF02_Mn_050_2500mvs_1,29.498,2500
NF02_Mn_050_2500mvs_2,27.58,2500
NF02_Mn_050_2500mvs_3,26.864,2500
NF02_Mn_100_0500mvs_1,8.981,500
NF02_Mn_100_0500mvs_2,8.838,500
NF02_Mn_100_0500mvs_3,8.457,500
NF02_Mn_100_1500mvs_1,27.486,1500
NF02_Mn_100_1500mvs_2,27.49,1500
NF02_Mn_100_1500mvs_3,26.494,1500
NF02_Mn_100_2500mvs_1,41.256,2500
NF02_Mn_100_2500mvs_2,41.215,2500
NF02_Mn_100_2500mvs_3,40.796,2500
NF02_Mn_200_0500mvs_1,24.027,500
NF02_Mn_200_0500mvs_2,21.969,500
NF02_Mn_200_0500mvs_3,21.119,500
NF02_Mn_200_1500mvs_1,47.236,1500
NF02_Mn_200_1500mvs_2,45.743,1500
NF02_Mn_200_1500mvs_3,45.318,1500
NF02_Mn_200_2500mvs_1,65.528,2500
NF02_Mn_200_2500mvs_2,64.392,2500
NF02_Mn_200_2500mvs_3,64.746,2500
NF02_O2_100_0500mvs_1,48.169,500
NF02_O2_100_0500mvs_3,44.824,500
NF02_O2_100_1500mvs_1,83.626,1500
NF02_O2_100_1500mvs_2,79.612,1500
NF02_O2_100_1500mvs_3,76.267,1500
NF02_O2_100_2500mvs_1,111.725,2500
NF02_O2_100_2500mvs_2,108.38,2500
NF02_O2_100_2500mvs_3,105.035,2500
NF02_O2_000_0500mvs_1,17.339,500
NF02_O2_000_0500mvs_2,17.029,500
NF02_O2_000_0500mvs_3,16.1,500
NF02_O2_000_1500mvs_1,36.226,1500
NF02_O2_000_1500mvs_2,38.084,1500
NF02_O2_000_1500mvs_3,37.465,1500
NF02_O2_000_2500mvs_1,66.569,2500
NF02_O2_000_2500mvs_2,62.544,2500
NF02_O2_000_2500mvs_3,59.758,2500
NF04_Fe_050_0500mvs_1,8.754,500
NF04_Fe_050_0500mvs_2,7.327,500
NF04_Fe_050_0500mvs_3,8.313,500
