type,Bottle,S temp,salt,counts,RT,TCO2,TCO2corrected,TCO2mean,TCO2sd,Calfact,blank,TCT,last CRM,cert CRM,CRM sal,cert sal,batch,pip vol,SBE T,date,time,cell ID,B_Salt
junk,,21.76,,189178,12,2066.48,,,,1.008,34.2,1.6,2049.87,2050.84,-9,33.408,174,19.1273,16.27,06.08.2018,10:17,C_Aug06-18_0908,
junk,,21.97,,188849,12,2062.97,,,,1.008,34.2,2.1,2049.87,2050.84,-9,33.408,174,19.1274,16.27,06.08.2018,10:34,C_Aug06-18_0908,
junk,,22.19,,188730,12,2061.76,,,,1.008,34.2,2.5,2049.87,2050.84,-9,33.408,174,19.1274,16.27,06.08.2018,10:50,C_Aug06-18_0908,
blank,,,,355,10,,,,,,35.5,3,,,,,,,,06.08.2018,11:06,C_Aug06-18_0908,
blank,,,,364,10,,,,,,36.4,3,,,,,,,,06.08.2018,11:18,C_Aug06-18_0908,
blank,,,,485,10,,,,,,48.5,3,,,,,,,,06.08.2018,11:31,C_Aug06-18_0908,
SS1,6,21.98,35,183471,13,1950,,,,1.008,48.5,3,2049.87,2050.84,-9,33.408,174,19.1274,16.27,06.08.2018,11:54,C_Aug06-18_0908,21.98
CRM,1040,21.79,,192687,13,2050.61,,,,1.008,48.5,3.5,2050.61,2050.56,,33.408,174,19.1273,16.27,06.08.2018,33.408,C_Aug06-18_0908,12:19
CRM,1040,21.84,,192811,15,2050.92,,,,1.008,48.5,4,2050.92,2050.56,,33.408,174,19.1273,16.27,06.08.2018,33.408,C_Aug06-18_0908,12:41
NA-DIC-08,8,21.82,38.84,247266,11,2623.81,2623.45,2625.01,1.56,1.008,48.5,4.4,2050.92,2050.56,-9,33.408,174,19.1273,16.27,06.08.2018,13:13,C_Aug06-18_0908,21.82
NA-DIC-08,8,21.88,38.84,247846,17,2626.93,2626.57,,,1.008,48.5,5.1,2050.92,2050.56,-9,33.408,174,19.1273,16.27,06.08.2018,13:30,C_Aug06-18_0908,21.88
NA-DIC-09,9,22.11,38.59,246997,14,2620.09,2619.73,2622.89,3.16,1.008,48.5,5.7,2050.92,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,13:55,C_Aug06-18_0908,22.11
NA-DIC-09,9,21.95,38.59,247650,15,2626.41,2626.05,,,1.008,48.5,6.3,2050.92,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,14:14,C_Aug06-18_0908,21.95
NA-DIC-10,10,22.16,38.563,247463,14,2625.14,2624.78,2624.465,0.315,1.008,48.5,6.9,2050.92,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,14:41,C_Aug06-18_0908,22.16
NA-DIC-10,10,22.14,38.563,247308,12,2624.51,2624.15,,,1.008,48.5,7.5,2050.92,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,15:01,C_Aug06-18_0908,22.14
NA-DIC-11,11,22.2,38.558,248305,13,2634.65,2634.29,2632.4,1.89,1.008,48.5,8.1,2050.92,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,15:21,C_Aug06-18_0908,22.2
NA-DIC-11,11,22.27,38.558,247945,13,2630.87,2630.51,,,1.008,48.5,8.8,2050.92,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,15:40,C_Aug06-18_0908,
CRM,1040,22.28,,192790,11,2053.01,,,,1.008,48.5,9.4,2053.01,2050.56,,33.408,174,19.1274,16.27,06.08.2018,16:01,C_Aug06-18_0908,33.408
NA-DIC-12,12,22.2,38.742,267273,14,2835.52,2833.07,2833.3,0.23,1.008,48.5,9.9,2053.01,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,16:20,C_Aug06-18_0908,
NA-DIC-12,12,22.09,38.742,267227,12,2835.98,2833.53,,,1.008,48.5,10.5,2053.01,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,16:41,C_Aug06-18_0908,
NA-DIC-13,13,22.36,38.838,272527,13,2891.84,2889.39,2888.835,0.555,1.008,48.5,11.2,2053.01,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,17:07,C_Aug06-18_0908,
NA-DIC-13,13,22.26,38.838,272479,14,2890.73,2888.28,,,1.008,48.5,11.9,2053.01,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,17:27,C_Aug06-18_0908,
NA-DIC-14,14,22.34,52.35,3065506,20,32269.14,32266.69,32259.885,6.805,1.008,48.5,12.5,2053.01,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,17:49,C_Aug06-18_0908,
NA-DIC-14,14,22.66,52.35,3063930,20,32255.53,32253.08,,,1.008,48.5,20.4,2053.01,2050.56,-9,33.408,174,19.1275,16.27,06.08.2018,18:15,C_Aug06-18_0908,
NA-DIC-07,7,22.28,51.9,3062500,20,32247.67,32245.22,32226.135,19.085,1.008,48.5,28.2,2053.01,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,18:58,C_Aug06-18_0908,
NA-DIC-07,7,22.38,51.9,3058788,20,32209.5,32207.05,,,1.008,48.5,36.4,2053.01,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,19:25,C_Aug06-18_0908,
junk,,23.73,,207452,12,2265.65,,,,1.008,48.5,44.5,2053.01,2050.56,-9,33.408,174,19.1277,16.27,06.08.2018,19:54,C_Aug06-18_0908,
blank,,,,684,10,,,,,,68.4,45,,,,,,,,06.08.2018,20:11,C_Aug06-18_0908,
junk,,22.76,,199463,12,2179.62,,,,1.008,33.7,0,2066.74,2067.06,-9,33.458,175,19.1275,16.27,08.04.2019,11:10,C_Apr08-19_1104,
junk,,22.79,,198956,12,2174.08,,,,1.008,33.7,0.5,2066.74,2067.06,-9,33.458,175,19.1275,16.27,08.04.2019,11:26,C_Apr08-19_1104,
junk,,22.94,,199883,12,2184.3,,,,1.008,33.7,1,2066.74,2067.06,-9,33.458,175,19.1275,16.27,08.04.2019,11:42,C_Apr08-19_1104,
blank,,,,389,10,,,,,,38.9,1.5,,,,,,,,08.04.2019,11:59,C_Apr08-19_1104,
blank,,,,321,10,,,,,,32.1,1.5,,,,,,,,08.04.2019,12:11,C_Apr08-19_1104,
blank,,,,281,10,,,,,,28.1,1.5,,,,,,,,08.04.2019,12:23,C_Apr08-19_1104,
SUB,6,22.28,35,192939,16,2052.39,,,,1.008,32.1,1.5,2066.74,2067.06,-9,33.458,175,19.1274,16.27,08.04.2019,12:39,C_Apr08-19_1104,22.28
CRM,,22.38,,192591,17,2050.81,,,,1.008,32.1,2,2050.81,2050.56,,33.408,174,19.1274,16.27,08.04.2019,13:06,C_Apr08-19_1104,33.408
WK-01A,,22.09,7.63,261128,13,2837.86,2837.61,2832.66,4.95,1.008,32.1,2.5,2050.81,2050.56,-9,33.408,174,19.1274,16.27,08.04.2019,13:50,C_Apr08-19_1104,
WK-01A,,22.31,7.63,260141,11,2827.96,2827.71,,,1.008,32.1,3.1,2050.81,2050.56,-9,33.408,174,19.1274,16.27,08.04.2019,14:09,C_Apr08-19_1104,
