type,Bottle,S temp,salt,counts,RT,TCO2,TCO2corrected,TCO2mean,TCO2sd,Calfact,blank,TCT,last CRM,cert CRM,CRM sal,cert sal,batch,pip vol,SBE T,date,time,cell ID,B_Salt
NA-DIC-08,8,21.82,38.84,247266,11,2623.81,2623.45,2625.01,1.56,1.008,48.5,4.4,2050.92,2050.56,-9,33.408,174,19.1273,16.27,06.08.2018,13:13,C_Aug06-18_0908,21.82
NA-DIC-09,9,22.11,38.59,246997,14,2620.09,2619.73,2622.89,3.16,1.008,48.5,5.7,2050.92,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,13:55,C_Aug06-18_0908,22.11
NA-DIC-10,10,22.16,38.563,247463,14,2625.14,2624.78,2624.465,0.315,1.008,48.5,6.9,2050.92,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,14:41,C_Aug06-18_0908,22.16
NA-DIC-11,11,22.2,38.558,248305,13,2634.65,2634.29,2632.4,1.89,1.008,48.5,8.1,2050.92,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,15:21,C_Aug06-18_0908,22.2
NA-DIC-12,12,22.2,38.742,267273,14,2835.52,2833.07,2833.3,0.23,1.008,48.5,9.9,2053.01,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,16:20,C_Aug06-18_0908,
NA-DIC-13,13,22.36,38.838,272527,13,2891.84,2889.39,2888.835,0.555,1.008,48.5,11.2,2053.01,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,17:07,C_Aug06-18_0908,
NA-DIC-14,14,22.34,52.35,3065506,20,32269.14,32266.69,32259.885,6.805,1.008,48.5,12.5,2053.01,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,17:49,C_Aug06-18_0908,
NA-DIC-07,7,22.28,51.9,3062500,20,32247.67,32245.22,32226.135,19.085,1.008,48.5,28.2,2053.01,2050.56,-9,33.408,174,19.1274,16.27,06.08.2018,18:58,C_Aug06-18_0908,
WK-01A,,22.09,7.63,261128,13,2837.86,2837.61,2832.66,4.95,1.008,32.1,2.5,2050.81,2050.56,-9,33.408,174,19.1274,16.27,08.04.2019,13:50,C_Apr08-19_1104,
WK-01B,,22.59,7.62,261108,11,2838.69,2838.44,2838.025,0.415,1.008,32.1,3.8,2050.81,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,14:29,C_Apr08-19_1104,
WK-01C,,22.49,7.63,263413,12,2863.34,2863.09,2862.45,0.64,1.008,32.1,5.1,2050.81,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,15:13,C_Apr08-19_1104,
WK-05A,,22.54,7.65,261875,12,2846.59,2846.34,2840.71,5.63,1.008,32.1,6.4,2050.81,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,15:54,C_Apr08-19_1104,
WK-03C,,22.65,7.62,263099,16,2858.66,2858.41,2856.02,2.39,1.008,32.1,7.7,2050.81,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,16:41,C_Apr08-19_1104,
WK-12A,,22.56,7.67,261745,14,2844.45,2844.2,2841.135,3.065,1.008,32.1,9,2050.81,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,17:24,C_Apr08-19_1104,
WK-07A,,22.57,7.67,260833,10,2830.29,2827.92,2829.56,1.64,1.008,83.9,10.8,2052.93,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,19:06,C_Apr08-19_1104,
WK-02C,,22.63,7.62,264300,10,2868.17,2865.8,2862.26,3.54,1.008,83.9,12.1,2052.93,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,19:41,C_Apr08-19_1104,
WK-09B,,22.68,7.68,260910,8,2833,2830.63,2831.09,0.46,1.008,83.9,13.4,2052.93,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,20:12,C_Apr08-19_1104,
WK-04B,,22.77,7.62,263934,8,2866.11,2863.74,2862.91,0.83,1.008,83.9,14.7,2052.93,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,20:43,C_Apr08-19_1104,
WK-11C,,22.57,7.67,261293,8,2838.24,2841.37,2841.83,0.46,1.008,71,17,2047.43,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,22:20,C_Apr08-19_1104,
WK-07C,,22.65,7.67,261266,8,2838,2841.13,2840.88,0.25,1.008,71,18.3,2047.43,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,22:48,C_Apr08-19_1104,
WK-02A,,22.65,7.62,262645,8,2853.12,2856.25,2853.22,3.03,1.008,71,19.6,2047.43,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,23:19,C_Apr08-19_1104,
WK-12C,,22.81,7.67,262166,8,2847.9,2851.03,2850.97,0.06,1.008,71,20.9,2047.43,2050.56,-9,33.408,174,19.1275,16.27,08.04.2019,23:48,C_Apr08-19_1104,
WK-07B,,22.72,7.67,260726,9,2834.17,2832.89,2833.195,0.305,1.008,42.7,23.3,2051.84,2050.56,-9,33.408,174,19.1275,16.27,09.04.2019,01:05,C_Apr08-19_1104,
